loss,time,l2_error,step,_step,_timestamp,_runtime,loss_boundary,loss_interior
0.5313861176523478,1.0434050559997559,1.0241693019926108,0,0,1715987480.8949864,5.119024276733398,0.5309590269584935,0.0004270906938542883
0.5306492288339909,1.4475605487823486,1.0234284240838567,1,1,1715987480.9396486,5.163686513900757,0.5302078321154197,0.0004413967185712258
0.5299130785263196,1.4870343208312988,1.0226874960297707,2,2,1715987480.97912,5.203157901763916,0.5294571194980084,0.0004559590283112204
0.529177678853987,1.5267460346221924,1.0219465314298672,3,3,1715987481.0189586,5.242996454238892,0.5287069019491718,0.0004707769048151899
0.5284430416624515,1.5667121410369873,1.0212055432004077,4,4,1715987481.058802,5.282839775085449,0.5279571917669479,0.00048584989550365203
0.5277091782402755,1.6063110828399658,1.0204645434321067,5,5,1715987481.0985203,5.322558164596558,0.527208000697386,0.0005011775428894783
0.5269760991849379,1.6459157466888428,1.0197235434388225,6,6,1715987481.1311216,5.355159521102905,0.5264593397973859,0.0005167593875519945
0.5262438143258152,1.678572654724121,1.018982553808145,7,7,1715987481.1641562,5.3881940841674805,0.5257112193721881,0.0005325949536270794
0.5255123326724526,1.7109630107879639,1.0182415842245676,8,8,1715987481.1967077,5.420745611190796,0.5249636489397755,0.0005486837326770536
0.5247816623806182,1.743506908416748,1.0175006432819063,9,9,1715987481.2299871,5.454025030136108,0.5242166371619061,0.0005650252187120681
0.5240518107442057,1.7759368419647217,1.0167597384172946,10,10,1715987481.2613623,5.485400199890137,0.5234701917914977,0.0005816189527080743
0.5233227842115472,1.807706594467163,1.01601887595428,11,11,1715987481.2930036,5.517041444778442,0.5227243196665815,0.0005984645449656545
0.5225945884180544,1.8393833637237549,1.0152780612112424,12,12,1715987481.3247225,5.548760414123535,0.521979026743646,0.0006155616744083585
0.5218672282261579,1.8710966110229492,1.0145372986370502,13,13,1715987481.356337,5.5803749561309814,0.5212343181516538,0.0006329100745041615
0.5211407077727835,1.9030296802520752,1.0137965919520027,14,14,1715987481.38818,5.612217903137207,0.5204901982559886,0.000650509516794911
0.5204150305332195,1.9346132278442383,1.013055944287558,15,15,1715987481.419908,5.643945932388306,0.5197466707334341,0.000668359799785382
0.5196901994070334,1.9662494659423828,1.0123153583212123,16,16,1715987481.4514575,5.675495386123657,0.5190037386620062,0.0006864607450271596
0.5189662168203686,1.9977738857269287,1.0115748363960835,17,17,1715987481.4834151,5.707453012466431,0.5182614046226939,0.0007048121976746782
0.5182430848285995,2.031062126159668,1.010834380609898,18,18,1715987481.5158856,5.739923477172852,0.5175196708010563,0.0007234140275431517
0.5175208052002797,2.0625123977661133,1.010093992862577,19,19,1715987481.547704,5.77174186706543,0.5167785390722188,0.0007422661280608156
0.5167993794689838,2.094526529312134,1.0093536748627607,20,20,1715987481.5796459,5.803683757781982,0.5160380110563054,0.0007613684126783743
0.516078808950344,2.1261823177337646,1.0086134281036379,21,21,1715987481.6113234,5.8353612422943115,0.515298088140491,0.0007807208098529391
0.5153590947312223,2.157240867614746,1.007873253822414,22,22,1715987481.64259,5.866627931594849,0.5145587714730512,0.0008003232581711914
0.5146402376426183,2.1892004013061523,1.007133152956054,23,23,1715987481.6744275,5.898465394973755,0.5138200619398325,0.0008201757027858084
0.5139222382275196,2.2206032276153564,1.006393126101653,24,24,1715987481.7059913,5.9300291538238525,0.5130819601338638,0.0008402780936558012
0.5132050967117355,2.2525534629821777,1.005653173485595,25,25,1715987481.737797,5.961834907531738,0.5123444663262218,0.0008606303855137547
0.5124888129821167,2.2839949131011963,1.0049132949427482,26,26,1715987481.769307,5.993344783782959,0.5116075804429436,0.0008812325391729979
0.5117733865737297,2.315345048904419,1.0041734899053423,27,27,1715987481.800724,6.024761915206909,0.5108713020500322,0.0009020845236975112
0.51105881666579,2.3471202850341797,1.003433757400455,28,28,1715987481.8321981,6.056236028671265,0.5101356303467958,0.0009231863189941974
0.5103451020852539,2.378530979156494,1.0026940960548179,29,29,1715987481.863861,6.0878989696502686,0.5094005641667794,0.0009445379184745376
0.5096322413166254,2.410041093826294,1.0019545041056346,30,30,1715987481.8955238,6.119561672210693,0.5086661019850982,0.0009661393315272737
0.5089202325164829,2.441648006439209,1.0012149794161678,31,31,1715987481.9270792,6.1511170864105225,0.5079322419308554,0.0009879905856275135
0.5082090735313333,2.473562002182007,1.0004755194949426,32,32,1715987481.9591606,6.18319845199585,0.5071989818033571,0.0010100917279761543
0.5074987619175704,2.5055105686187744,0.9997361215175099,33,33,1715987481.9906845,6.214722394943237,0.5064663190909524,0.0010324428266180103
0.5067892949625191,2.5369272232055664,0.9989967823498267,34,34,1715987482.022239,6.24627685546875,0.5057342509914888,0.0010550439710302535
0.5060806697057463,2.5683040618896484,0.9982574985724363,35,35,1715987482.0538383,6.277876138687134,0.505002774433539,0.0010778952722072077
0.5053728829600361,2.6002349853515625,0.9975182665047579,36,36,1715987482.0855758,6.3096137046813965,0.5042718860977414,0.0011009968622946703
0.5046659313316076,2.6317203044891357,0.9967790822289371,37,37,1715987482.117014,6.341051816940308,0.5035415824377606,0.001124348893847091
0.5039598112393139,2.6633548736572266,0.9960399416128345,38,38,1715987482.148786,6.37282395362854,0.5028118597005201,0.001147951538793823
0.5032545189326952,2.694952964782715,0.995300840331853,39,39,1715987482.1802702,6.404308080673218,0.5020827139454894,0.001171804987205769
0.5025500505088505,2.7264795303344727,0.994561773889412,40,40,1715987482.2116997,6.435737609863281,0.5013541410628991,0.0011959094459513396
