step,loss_boundary,loss,_step,l2_error,loss_interior,_runtime,_timestamp,time
0,0.5483371280728512,0.5487539084360749,0,0.376983747623434,0.00041678036322372915,5.7880706787109375,1715990538.9938047,1.8905463218688965
1,0.08096241130251698,0.1562308738252261,1,0.36647957769461276,0.0752684625227091,6.261599540710449,1715990539.4673336,2.6515612602233887
2,0.07920382838439023,0.08124473775571742,2,0.3108002143826087,0.002040909371327188,6.733540058135986,1715990539.939274,3.1238813400268555
3,0.05855469426004907,0.065900577979435,3,0.30427919242710033,0.007345883719385924,7.206348419189453,1715990540.4120824,3.596740484237671
4,0.05637103793309917,0.057021847074000695,4,0.27286641509006127,0.0006508091409015222,7.67973518371582,1715990540.8854692,4.070071697235107
5,0.04558909666264786,0.047784655257862775,5,0.26145475496948684,0.0021955585952149114,8.153143882751465,1715990541.358878,4.543515920639038
6,0.04194781222418393,0.04298384561571326,6,0.22098002063468195,0.0010360333915293252,8.627132654190063,1715990541.8328667,5.017326831817627
7,0.03085674771634836,0.03138299720914794,7,0.19004923447897135,0.0005262494927995796,9.104033946990967,1715990542.309768,5.49409294128418
8,0.02351689255726757,0.025448578471303794,8,0.18738449243784672,0.0019316859140362252,9.580273389816284,1715990542.7860074,5.970489978790283
9,0.022908148914189408,0.023258479594203546,9,0.18322596371093394,0.00035033068001413754,10.053697109222412,1715990543.2594311,6.443943023681641
10,0.021941292875864736,0.022824831503565377,10,0.18163740112569424,0.0008835386277006405,10.527666568756104,1715990543.7334006,6.917973518371582
11,0.021569976283629992,0.021786466932917335,11,0.17409302296979878,0.00021649064928734273,11.004726886749268,1715990544.210461,7.394624471664429
12,0.019854442669377793,0.020717927402670595,12,0.17206738791250337,0.000863484733292802,11.479624032974243,1715990544.685358,7.869704246520996
13,0.019392496849389932,0.01953510176920637,13,0.1685786217782373,0.00014260491981643917,11.954496622085571,1715990545.1602306,8.344812154769897
14,0.018608696133693155,0.019113456479278004,14,0.16725950090949643,0.0005047603455848504,12.428738355636597,1715990545.6344724,8.819100379943848
15,0.018323712202683074,0.018439808360283326,15,0.15132423223341218,0.00011609615760025268,12.902135372161865,1715990546.1078694,9.292410373687744
16,0.015046430351744085,0.017243124033853485,16,0.14903647673302903,0.0021966936821093985,13.376933574676514,1715990546.5826676,9.766757488250732
17,0.014565113796866874,0.015101527988145612,17,0.1440782665464599,0.0005364141912787383,13.853762865066528,1715990547.0594969,10.243915319442749
18,0.01360323268674606,0.013844143896098272,18,0.14177748728193412,0.00024091120935221274,14.327821731567383,1715990547.5335557,10.71817922592163
19,0.013166374095764462,0.01336426863320224,19,0.1397249589862352,0.00019789453743777755,14.801520109176636,1715990548.0072541,11.191834688186646
20,0.012789436655894335,0.012974351591580717,20,0.137318654926841,0.00018491493568638284,15.275057315826416,1715990548.4807913,11.665369749069214
21,0.012334878875953012,0.012589010721181876,21,0.13527242344345497,0.00025413184522886406,15.748996496200562,1715990548.9547305,12.13930368423462
22,0.011970068492385487,0.012227307522474123,22,0.13414216495366502,0.0002572390300886353,16.22371816635132,1715990549.4294522,12.613524198532104
23,0.01176131732869621,0.011834542169966787,23,0.12384112293051923,7.322484127057786e-05,16.7011935710907,1715990549.9069276,13.09122371673584
24,0.009981490741267269,0.011239848206435098,24,0.12295220931639987,0.0012583574651678295,17.176297187805176,1715990550.3820312,13.566424131393433
25,0.009847122808775038,0.010063066276060269,25,0.11870333336942863,0.00021594346728523163,17.651134252548218,1715990550.8568683,14.04131531715393
26,0.009148277054432658,0.009333722297106509,26,0.11698686050931913,0.00018544524267385154,18.1257643699646,1715990551.3314984,14.515876531600952
27,0.008884974445056558,0.009038727301279689,27,0.11605071820742971,0.00015375285622313116,18.600527048110962,1715990551.806261,14.99072551727295
28,0.008735179811931263,0.008801930314959065,28,0.09957009491851189,6.675050302780266e-05,19.07434582710266,1715990552.2800798,15.464457273483276
29,0.006348160475553217,0.007211575310648009,29,0.09930140274576271,0.0008634148350947917,19.548861503601074,1715990552.7545955,15.938940286636353
30,0.006317469928722403,0.006443607814243831,30,0.09903957605470945,0.00012613788552142787,20.02310848236084,1715990553.2288425,16.41330575942993
31,0.006284996462431106,0.006368198102334995,31,0.09652534448307874,8.320163990388892e-05,20.49780535697937,1715990553.7035394,16.8879497051239
32,0.005954374390529478,0.0060816080963536304,32,0.09379015631096517,0.0001272337058241524,20.977778911590576,1715990554.183513,17.36763048171997
33,0.005597189568385376,0.005825555158983911,33,0.09271018531769754,0.0002283655905985344,21.45300030708313,1715990554.6587343,17.842939138412476
34,0.00546714146300731,0.005527444512745888,34,0.09145574997001026,6.0303049738578296e-05,21.927922248840332,1715990555.1336563,18.317888736724854
35,0.005310948733976656,0.005409631758264306,35,0.0909209268498328,9.868302428765014e-05,22.402475357055664,1715990555.6082094,18.79258918762207
36,0.00524638816146235,0.005301284633530351,36,0.08598614510018229,5.4896472068001074e-05,22.87703227996826,1715990556.0827663,19.267133235931396
37,0.004654282324308171,0.004904250655145627,37,0.08556018727500686,0.00024996833083745616,23.35267949104309,1715990556.5584135,19.742785453796387
38,0.0046094262781130905,0.004692397962329509,38,0.08448332055483183,8.297168421641832e-05,23.827989101409912,1715990557.033723,20.2181396484375
39,0.004488126093572604,0.004579515702490467,39,0.08346456653561797,9.138960891786326e-05,24.302005529403687,1715990557.5077395,20.692166328430176
40,0.004374184091113603,0.0044479582316073515,40,0.08288991646626567,7.377414049374839e-05,24.77657675743103,1715990557.9823108,21.166720390319824
