step,_runtime,_timestamp,_step,l2_error,loss_boundary,loss_interior,loss,time
0,5.745631694793701,1714209587.9332638,0,0.1406445608619335,0.06064752632213642,0.0002182996565360616,0.06086582597867248,1.5238754749298096
1,5.875511884689331,1714209588.063144,1,0.13884428841835267,0.05965507934591107,0.00015580154123467872,0.05981088088714575,2.027726650238037
2,5.998667001724243,1714209588.186299,2,0.13542978453998078,0.05893280757646716,0.00023055648008111446,0.059163364056548276,2.144399881362915
3,6.09021782875061,1714209588.27785,3,0.11514629580401879,0.058318995307188405,0.00019646716470991926,0.05851546247189832,2.247976303100586
4,6.157381057739258,1714209588.3450131,4,0.11201600374078073,0.04308827178560573,0.0041610299275400475,0.04724930171314578,2.315241813659668
5,6.224166631698608,1714209588.4117987,5,0.11208609372683159,0.04248036336870539,0.0018557163978596956,0.04433607976656509,2.3818726539611816
6,6.307502269744873,1714209588.4951344,6,0.10925804087086184,0.04161447271068457,0.001193815382156227,0.0428082880928408,2.4625144004821777
7,6.3726441860198975,1714209588.5602763,7,0.10876182023601913,0.04104506610655466,0.0006122158528839481,0.04165728195943861,2.5302670001983643
8,6.43747615814209,1714209588.6251082,8,0.10582465722717317,0.040208972717423,0.00041865927748512276,0.04062763199490812,2.594815254211426
9,6.5174126625061035,1714209588.7050447,9,0.10556709796564302,0.039668493660854585,0.00026207556752217423,0.03993056922837676,2.674644708633423
10,6.585331439971924,1714209588.7729635,10,0.10179763295434406,0.03609400078362923,0.0004784520505732111,0.03657245283420244,2.742388963699341
11,6.653099060058594,1714209588.8407311,11,0.1018847678267805,0.03565752568052221,0.00037179518039090736,0.036029320860913115,2.810401439666748
12,6.715268850326538,1714209588.902901,12,0.09601620657318863,0.03542147211784664,0.00011894749032046656,0.035540419608167104,2.872830629348755
13,6.776829719543457,1714209588.9644618,13,0.09616909345751817,0.03215385818552982,0.0015475121349625956,0.03370137032049242,2.9343416690826416
14,6.838622570037842,1714209589.0262547,14,0.09573309256145726,0.03171515611198198,0.00021268987936450193,0.03192784599134648,2.995964288711548
15,6.902331113815308,1714209589.0899632,15,0.0928816561714825,0.02987683625679821,0.00024187920795965182,0.030118715464757865,3.0595412254333496
16,6.964239835739136,1714209589.151872,16,0.10460728795848158,0.029093100091458147,0.0002519637697213333,0.02934506386117948,3.121818780899048
17,7.025945425033569,1714209589.2135775,17,0.1003209673785278,0.027628944428187974,0.0009998677704004515,0.028628812198588427,3.183471202850342
18,7.089012384414673,1714209589.2766445,18,0.09770518997621425,0.02695123381367635,0.000369069269017707,0.027320303082694057,3.246417760848999
