_step,_runtime,time,l2_error,_timestamp,loss_interior,loss,step,loss_boundary
0,5.444573640823364,1.017395257949829,0.14581934730406426,1714086651.8177187,0.0002182996565360616,0.06086582597867248,0,0.06064752632213642
1,5.450656175613403,1.4309916496276855,0.14848437257758756,1714086651.8238013,0.00021486907946883428,0.05840141000514747,1,0.05818654092567863
2,5.455570459365845,1.43601393699646,0.1525205811962042,1714086651.8287156,0.00021069246531529013,0.05623382557228236,2,0.05602313310696707
3,5.460461378097534,1.4408671855926514,0.1576388200408499,1714086651.8336065,0.000205345767357796,0.054354047502310675,3,0.05414870173495288
4,5.465558767318726,1.4460134506225586,0.16353933898916662,1714086651.8387039,0.00020139513534092162,0.0527506247248895,4,0.05254922958954858
5,5.470495223999023,1.450953483581543,0.16990711072196787,1714086651.8436403,0.00020139093321762914,0.05141019021862831,5,0.05120879928541068
6,5.475452899932861,1.455887794494629,0.17643479420781258,1714086651.848598,0.0002080608914132846,0.05031537938770556,6,0.050107318496292276
7,5.48042368888855,1.460890293121338,0.18283573758463156,1714086651.8535688,0.0002245850281201211,0.049444574370618166,7,0.04921998934249804
8,5.485445499420166,1.4659061431884766,0.18885284771663946,1714086651.8585906,0.0002545740839389751,0.048772232341872376,8,0.0485176582579334
9,5.490442752838135,1.4708728790283203,0.19426745338428303,1714086651.8635879,0.0003018982547727815,0.048269607086376516,9,0.047967708831603735
10,5.495415210723877,1.4758598804473877,0.19890725478085827,1714086651.8685603,0.00037040259956170056,0.047906090117792816,10,0.04753568751823112
11,5.500500917434692,1.4809231758117676,0.20265175232591032,1714086651.873646,0.00046351394432676157,0.04765103721314061,11,0.04718752326881385
12,5.506328821182251,1.4864716529846191,0.20543407542355027,1714086651.879474,0.0005837644382515308,0.047475709632313484,12,0.04689194519406195
13,5.512623310089111,1.491741418838501,0.2072388404905254,1714086651.8857684,0.0007322852984507776,0.047354907688684396,13,0.04662262239023362
14,5.517428636550903,1.4978575706481934,0.20809590108933532,1714086651.8905737,0.0009083649414315253,0.047267995385581706,14,0.04635963044415018
15,5.526204824447632,1.506575345993042,0.20725674999953247,1714086651.89935,0.0013303037184165239,0.047137650913351314,16,0.04580734719493479
16,5.531025409698486,1.511437177658081,0.20576614659509046,1714086651.9041705,0.0015654375219477028,0.04707638794580018,17,0.045510950423852475
17,5.53584361076355,1.516237735748291,0.20372696344001628,1714086651.9089887,0.0018073509509358935,0.047011943567298105,18,0.04520459261636221
18,5.544567823410034,1.5249817371368408,0.1985507294110832,1714086651.917713,0.002278020439008235,0.046869803700219974,20,0.044591783261211736
19,5.54935359954834,1.5297725200653076,0.19568705766817332,1714086651.9224987,0.00248917413199492,0.04679260096008567,21,0.04430342682809075
20,5.557821273803711,1.5382251739501953,0.1900298800882812,1714086651.9309664,0.002822453294024376,0.04662751604736548,23,0.043805062753341104
21,5.562542915344238,1.5429530143737793,0.18744076749134528,1714086651.935688,0.0029320901664975575,0.046539274728395794,24,0.043607184561898236
22,5.57114577293396,1.5515375137329102,0.18311072694556998,1714086651.9442909,0.0030208911315501505,0.0463488636484402,26,0.04332797251689005
23,5.579573392868042,1.5599918365478516,0.18017548563279098,1714086651.9527185,0.0029392605813809533,0.04613841904323327,28,0.043199158461852315
24,5.5933966636657715,1.5735728740692139,0.17847851899047584,1714086651.9665418,0.0025694141205046817,0.04579953978277548,31,0.043230125662270795
25,5.60270619392395,1.5830211639404297,0.178860750208245,1714086651.9758513,0.0022324490351139066,0.045581060166963006,33,0.043348611131849096
26,5.611836194992065,1.592158317565918,0.18003255543759358,1714086651.9849813,0.0018847073906891089,0.04538959901410107,35,0.043504891623411965
27,5.624598026275635,1.6048736572265625,0.1822994200325219,1714086651.9977431,0.0014303183197554906,0.045173903350873616,38,0.04374358503111812
28,5.637981176376343,1.6182563304901123,0.18395467468819593,1714086652.0111263,0.0011187985376083583,0.045029615703751774,41,0.043910817166143416
29,5.651483535766602,1.6317620277404785,0.18418166590969573,1714086652.0246286,0.0009592467115578277,0.04490876944593024,44,0.04394952273437241
30,5.669016361236572,1.6493046283721924,0.18240839674426612,1714086652.0421615,0.0009378511269760079,0.04472914464796264,48,0.04379129352098663
31,5.681954860687256,1.6623423099517822,0.18048305324095948,1714086652.0551,0.0010203764143819384,0.04458663403691114,51,0.0435662576225292
32,5.698180913925171,1.6785717010498047,0.17872993076841567,1714086652.071326,0.0011846086360006156,0.04441523003336814,55,0.043230621397367525
33,5.71417760848999,1.6946256160736084,0.1787465749083538,1714086652.0873227,0.0013188798460983405,0.04426949170698369,59,0.04295061186088535
34,5.736045598983765,1.7164123058319092,0.18028925578512042,1714086652.1091907,0.0013655505925533784,0.044109303812115086,64,0.042743753219561705
35,5.7570273876190186,1.7373290061950684,0.18106493771604706,1714086652.1301725,0.0013156415936646675,0.043961910043923795,69,0.04264626845025913
36,5.778282403945923,1.7585422992706299,0.18003296724155407,1714086652.1514275,0.0012497958009489417,0.04381768516895162,74,0.042567889368002675
37,5.803584814071655,1.7839138507843018,0.17826967573725797,1714086652.17673,0.0011879142149795116,0.04365356765922485,80,0.04246565344424534
38,5.828579425811768,1.8087997436523438,0.17787494623452757,1714086652.2017245,0.0011400435761922153,0.043495783795673926,86,0.04235574021948171
39,5.858706951141357,1.8388030529022217,0.1780276189875129,1714086652.231852,0.0011237388801524715,0.04331191983592497,93,0.0421881809557725
40,5.888810634613037,1.869049310684204,0.17731529223109288,1714086652.2619557,0.0011461316367143725,0.043127834508504444,100,0.04198170287179007
