_runtime,loss_boundary,l2_error,_timestamp,step,_step,loss_interior,loss,time
5.461984634399414,1088.7316653859284,10.112026895458744,1726496838.2683306,0,0,10.066191901282938,1098.7978572872114,4.367117404937744
7.441731691360474,136.4611439853015,9.470246151401994,1726496840.2480776,1,1,11.493570854556499,147.954714839858,6.675047397613525
9.408549308776855,79.0327038495481,12.078260326606289,1726496842.2148952,2,2,21.250840304595325,100.28354415414343,8.648187637329102
11.377992630004883,60.38617278206861,12.663399325028212,1726496844.1843386,3,3,15.79388463223406,76.18005741430267,10.611550569534302
13.342972040176392,60.5870923401511,13.206420965580529,1726496846.149318,4,4,14.559951231308778,75.14704357145988,12.581912994384766
15.305296897888184,61.15013548269388,13.148359112238685,1726496848.1116428,5,5,12.582519655439187,73.73265513813307,14.544991493225098
17.263766527175903,60.22290633718648,12.618092355615541,1726496850.0701125,6,6,10.22883747820021,70.45174381538669,16.503544330596924
19.2225022315979,59.341006393829,12.33337083225964,1726496852.0288482,7,7,10.065796707962432,69.40680310179143,18.462409734725952
21.182340621948242,59.129293751193636,12.089661633375428,1726496853.9886866,8,8,10.04745004748616,69.1767437986798,20.42223024368286
23.14119577407837,59.06874960603872,11.91272224181027,1726496855.9475417,9,9,10.019017915506163,69.08776752154489,22.380573987960815
25.134865522384644,62.936422206327634,11.562408293758665,1726496857.9412115,10,10,9.966003614919154,72.9024258212468,24.371829509735107
27.094193696975708,63.2339293089451,12.7883994478836,1726496859.9005396,11,11,9.470732326015698,72.7046616349608,26.33410906791687
29.05475401878357,61.10954890227676,13.923042650444076,1726496861.8611,12,12,8.488615332649067,69.59816423492582,28.294412851333618
31.01358127593994,61.34129701332943,12.056497160371139,1726496863.8199272,13,13,6.964459809424665,68.30575682275409,30.25476384162903
32.97399187088013,59.27163415321991,13.416472085857414,1726496865.7803378,14,14,6.728992862832873,66.00062701605277,32.21264457702637
34.93156099319458,56.97422090198653,12.285654222692878,1726496867.737907,15,15,1.7463934913879577,58.72061439337448,34.17141842842102
36.8884174823761,54.57015355132053,11.799132994746076,1726496869.6947634,16,16,1.6633516016074887,56.23350515292802,36.128318548202515
38.853667974472046,54.22698106181517,11.251699751466827,1726496871.660014,17,17,1.5924568690114962,55.819437930826666,38.085431814193726
40.81639552116394,54.18484531761437,11.770317526710912,1726496873.6227415,18,18,1.3561464824533511,55.54099180006772,40.054006576538086
42.7767174243927,52.357881405131415,11.756065744901017,1726496875.5830634,19,19,0.3446401634720102,52.70252156860342,42.014108657836914
44.755106687545776,53.38694227475938,10.883406787703334,1726496877.5614526,20,20,0.4705265028272759,53.857468777586654,43.99453163146973
46.71354579925537,51.85081263201236,10.586151399719048,1726496879.5198917,21,21,0.41376834751127156,52.26458097952363,45.95306086540222
48.66941690444946,51.71650893436611,10.160769168334097,1726496881.4757628,22,22,0.4055209659718537,52.122029900337964,47.909106492996216
50.62922811508179,51.38512803170696,10.738635703676046,1726496883.435574,23,23,0.4292777259364006,51.814405757643364,49.86642932891846
52.58842730522156,50.11213792260133,10.965847358593132,1726496885.3947732,24,24,0.5728060265497399,50.68494394915107,51.828139781951904
54.54752707481384,49.55066857880251,10.326375689854531,1726496887.353873,25,25,0.7112214748760145,50.26189005367852,53.787293910980225
56.50520348548889,48.25961685117404,10.048626145364283,1726496889.3115494,26,26,0.602459701314683,48.86207655248872,55.746304750442505
58.46399545669556,46.37712152704498,10.754756863552739,1726496891.2703414,27,27,0.8588028430684845,47.23592437011346,57.70358920097351
60.423558473587036,43.697469954293815,10.737825579043005,1726496893.2299044,28,28,1.0394616438664592,44.736931598160275,59.66309380531311
62.38480830192566,42.37890200133712,10.312109584462295,1726496895.1911542,29,29,1.142505802888275,43.52140780422539,61.624231815338135
64.34630060195923,48.546453052942034,9.962922905073214,1726496897.1526465,30,30,1.1183357913575025,49.66478884429954,63.586161851882935
66.30657768249512,48.306534179758586,10.07810185783391,1726496899.1129236,31,31,1.0169624652666707,49.32349664502526,65.54792094230652
68.26914954185486,46.58018187700646,10.644102062098195,1726496901.0754955,32,32,1.350829373410257,47.93101125041672,67.50543189048767
70.23029327392578,45.35157420059604,10.728956784358022,1726496903.0366392,33,33,1.421174367551591,46.772748568147634,69.46995735168457
72.19564700126648,43.740965549789884,9.589976663563554,1726496905.001993,34,34,1.2932379472998572,45.03420349708974,71.43011403083801
74.15779662132263,42.737793593276336,10.42266255853903,1726496906.9641426,35,35,0.9215310238753676,43.659324617151704,73.39706325531006
76.11845993995667,40.29282374331875,10.704524596668257,1726496908.9248059,36,36,1.1611513196478895,41.45397506296664,75.35800004005432
78.08541679382324,39.87357065291902,9.96554097438165,1726496910.8917627,37,37,1.2500764242491575,41.12364707716818,77.32479453086853
80.0465259552002,36.75799193869108,10.93896551173558,1726496912.852872,38,38,1.9584247023290178,38.716416641020096,79.2859628200531
82.00789785385132,34.15404104851324,10.061167106850442,1726496914.8142438,39,39,2.125257576247559,36.2792986247608,81.24732732772827
83.9916398525238,43.99224322080062,9.892728888654649,1726496916.7979858,40,40,2.058483792617671,46.05072701341829,83.22703289985657
87.89185905456543,40.95166610450686,9.841326914764776,1726496920.698205,42,41,2.264380630823572,43.21604673533044,87.13134741783142
95.67127537727356,33.576209032020344,10.572535457170698,1726496928.4776213,46,42,1.8447253524128098,35.42093438443315,94.90836906433105
103.45801210403442,39.93151361587458,10.53533538907944,1726496936.264358,50,43,4.041230352712192,43.97274396858677,102.69783401489258
113.16201901435852,29.19014349575915,9.553084714609586,1726496945.968365,55,44,2.9506639306072766,32.14080742636642,112.40119171142578
