step,_runtime,l2_error,time,_step,_timestamp,loss_boundary,loss,loss_interior
0,18.436564683914185,38.46846081082082,1.1358470916748047,0,1723494734.1352916,1088.7316653859284,1098.7978572872114,10.066191901282938
1,18.619250774383545,38.45906518903272,1.810333251953125,1,1723494734.3179777,1133.5736033364774,1143.6456405288582,10.07203719238071
2,18.801366806030273,38.44966527552007,1.992074728012085,2,1723494734.5000937,1094.0514875143099,1104.1262801218213,10.074792607511473
3,18.979676485061646,38.440207934763905,2.169971466064453,3,1723494734.6784034,1084.0828917603171,1094.1610736112589,10.078181850941643
4,19.162451028823853,38.43063864649735,2.3525078296661377,4,1723494734.861178,1088.4142755499329,1098.4976405441525,10.083364994219764
5,19.345128297805786,38.420933696391955,2.5354526042938232,5,1723494735.0438552,1144.6718548420388,1154.7586627653948,10.086807923355934
6,19.52701997756958,38.41107516824386,2.7161526679992676,6,1723494735.2257469,1101.7220691003693,1111.813069249282,10.091000148912892
7,19.697211503982544,38.401013489486786,2.8874900341033936,7,1723494735.3959384,1117.164641691298,1127.2591543362796,10.094512644981766
8,19.871992111206055,38.390755924875144,3.0617287158966064,8,1723494735.570719,1091.587996394666,1101.6889459085985,10.100949513932344
9,20.029231548309326,38.38027942341789,3.219855785369873,9,1723494735.7279584,1077.4647146251482,1087.5690021278383,10.10428750269011
10,20.18631410598755,38.36957789897423,3.3765170574188232,10,1723494735.885041,1068.4187689223681,1078.5295134614626,10.110744539094402
11,20.343623876571655,38.35856693762771,3.5344057083129883,11,1723494736.0423508,1114.3578742623158,1124.4706047222537,10.11273045993792
12,20.50201392173767,38.34720145387503,3.692950963973999,12,1723494736.2007408,1093.0966224080144,1103.2157673080933,10.119144900078874
13,20.66777229309082,38.33546690595989,3.8579163551330566,13,1723494736.3664992,1077.0912354899972,1087.2163322986112,10.125096808613943
14,20.82425594329834,38.323353399200336,4.014374732971191,14,1723494736.5229828,1114.122455823855,1124.2540079127843,10.131552088929267
15,20.985496520996094,38.310783238568135,4.175195932388306,15,1723494736.6842234,1094.7000858297915,1104.8363445938205,10.136258764028947
16,21.15604591369629,38.29771863458532,4.346479177474976,16,1723494736.8547728,1074.5608500881972,1084.7070460432456,10.146195955048467
17,21.312386989593506,38.28413660166258,4.502321004867554,17,1723494737.011114,1101.042972424113,1111.193554119847,10.150581695733978
18,21.468782424926758,38.269946118341245,4.658995151519775,18,1723494737.1675093,1112.442235014046,1122.6021978210601,10.159962807014102
19,21.64361810684204,38.25518950704012,4.833786725997925,19,1723494737.342345,1075.7378961451695,1085.9051923129316,10.167296167761995
20,21.82257580757141,38.239813335287835,5.012941837310791,20,1723494737.5213027,1071.9162051207027,1082.0937417560122,10.177536635309512
21,22.00144052505493,38.22370198015459,5.191735506057739,21,1723494737.7001674,1086.498146111068,1096.6835533109456,10.185407199877522
22,22.173231601715088,38.20681323442892,5.363301515579224,22,1723494737.8719585,1089.7339010594185,1099.9289559653512,10.195054905932784
