step,_runtime,l2_error,time,_step,_timestamp,loss_boundary,loss,loss_interior
98,33.654032468795776,32.951568958060115,16.843084812164307,50,1723494749.3527594,874.8951388813371,886.6191835495584,11.724044668221385
107,35.00155019760132,32.42675543037309,18.19002676010132,51,1723494750.700277,855.8509322619334,867.2814724315873,11.430540169653868
118,36.51997447013855,31.933907461293444,19.707278728485107,52,1723494752.2187014,829.2279570541584,840.3232117883719,11.095254734213453
130,38.336079835891724,31.516073872650473,21.531521797180176,53,1723494754.0348067,799.542794264463,810.4406172827751,10.897823018312032
143,40.2277991771698,31.147951438997637,23.41716694831848,54,1723494755.926526,778.5983208736761,789.2918558239776,10.693534950301459
157,42.334707736968994,30.809208310342196,25.523526430130005,55,1723494758.0334346,778.1160847232335,788.6884898506223,10.572405127388867
172,44.42000889778137,30.485373482492758,27.60979151725769,56,1723494760.1187358,775.6535359749837,786.1442848061939,10.490748831210277
190,47.25204920768738,30.132134717581824,30.4417667388916,57,1723494762.950776,739.9496480007306,750.3495149344864,10.399866933755744
208,50.07568383216858,29.80516246273825,33.274742603302,58,1723494765.7744107,753.0277720574371,763.3716486612831,10.343876603845946
229,53.185341358184814,29.44625402196355,36.37528920173645,59,1723494768.8840683,707.1248865818258,717.414769161388,10.289882579562212
252,56.62345814704895,29.07320839871152,39.81293606758118,60,1723494772.322185,701.5189867591533,711.7891944133216,10.270207654168262
277,60.43366456031799,28.68488189425679,43.63114380836487,61,1723494776.1323915,691.1038441587082,701.3291356522828,10.225291493574654
305,64.4403018951416,28.265693759514296,47.63699722290039,62,1723494780.1390288,663.8877553634638,674.1491309878678,10.261375624404018
335,68.72493648529053,27.83039083174911,51.923229455947876,63,1723494784.4236634,686.264690893929,696.4717640214334,10.207073127504358
369,73.50177001953125,27.353448765060758,56.69100737571716,64,1723494789.200497,663.6964268320587,673.8468974126728,10.15047058061411
406,78.79437398910522,26.84936993932942,61.98285937309265,65,1723494794.493101,628.0178184883805,638.1880326369833,10.170214148602792
446,84.62378239631653,26.318243649534455,67.81220388412476,66,1723494800.3225093,606.9850998361466,617.1110724452516,10.125972609104998
491,90.9215760231018,25.73512403866206,74.1112859249115,67,1723494806.620303,559.700725512082,569.8101828518285,10.109457339746426
540,98.10766816139221,25.1160900764739,81.2952606678009,68,1723494813.806395,538.7412245927262,548.8286359373208,10.087411344594521
594,106.1556990146637,24.45019029086292,89.35453748703003,69,1723494821.854426,555.6711495891693,565.742476224287,10.071326635117613
653,114.71391701698303,23.74359433391392,97.9090895652771,70,1723494830.412644,522.6657313990668,532.725514272706,10.059782873639293
718,124.25088596343994,22.980007086094222,107.43934321403503,71,1723494839.9496129,497.9019284319966,507.9130674771784,10.011139045181793
790,134.54960894584656,22.166553510506738,117.7458701133728,72,1723494850.2483358,458.00073172451187,467.92995614219296,9.929224417681121
869,146.43542170524597,21.30307087702921,129.62482476234436,73,1723494862.1341486,449.8924820444141,459.69488968415396,9.802407639739855
956,159.0454204082489,20.373294457994803,142.2336823940277,74,1723494874.7441473,412.46100247171336,422.1442461698035,9.683243698090163
1052,172.42324805259705,19.37299868415721,155.61147928237915,75,1723494888.121975,382.33302753271306,392.0800058346772,9.746978301964152
1157,187.6492350101471,18.358483107766396,170.83901453018188,76,1723494903.347962,341.2819569024484,350.4775145202437,9.195557617795277
1272,204.2767984867096,17.285996045217168,187.47628259658813,77,1723494919.9755254,338.6000862529147,347.5222999555166,8.92221370260188
1400,223.1055600643158,16.18650229820942,206.29353141784668,78,1723494938.804287,303.1747237361526,311.5620616718918,8.3873379357392
1539,243.05104184150696,15.057700717787734,226.24042057991028,79,1723494958.7497687,262.2761802755025,270.2011909542882,7.925010678785753
1693,265.6388120651245,13.877973916777133,248.82439279556274,80,1723494981.337539,237.79580412893748,245.7383679600959,7.942563831158417
1863,290.7578058242798,12.70950121573398,273.9474859237671,81,1723495006.4565327,203.24152642269024,210.7875520662849,7.546025643594658
2049,318.2972376346588,11.600993615774845,301.48707580566406,82,1723495033.9959645,186.23312211499677,193.555217741521,7.322095626524234
2254,347.4063763618469,10.590994945130882,330.60153365135193,83,1723495063.1051033,158.27313278648012,165.51114518334865,7.238012396868538
2479,380.621150970459,9.782951630050926,363.80997610092163,84,1723495096.3198779,122.82820889244549,129.66034558978032,6.832136697334818
2727,416.2785098552704,9.244541298659396,399.4675590991974,85,1723495131.9772367,111.73334795489981,114.23662403226788,2.503276077368075
3000,456.0099227428436,8.838193462275953,439.2074990272522,86,1723495171.7086496,97.30983253792375,98.50495699915545,1.1951244612317027
3299,499.4979236125946,8.742584827918144,482.68661427497864,87,1723495215.1966505,82.00742854124665,82.70982266536505,0.7023941241183936
3629,548.3866913318634,8.948736022157936,531.5759074687958,88,1723495264.0854182,72.69360483915662,73.08165968033931,0.38805484118268957
3992,601.1377580165863,9.283844171521062,584.3352768421173,89,1723495316.836485,62.50819310279473,62.705978344941364,0.19778524214663382
4391,658.7513573169708,9.439680577471684,641.9397304058075,90,1723495374.4500842,55.775198407070604,56.63904604640693,0.8638476393363268
4831,722.6036064624786,8.376949285799498,705.800265789032,91,1723495438.3023334,35.842869586592165,37.43093161161301,1.5880620250208484
5314,792.8440816402435,6.818322262793932,776.0374314785004,92,1723495508.5428085,22.925565935186512,25.89615051096249,2.970584575775977
5845,868.3092980384827,5.868958679993118,851.498025894165,93,1723495584.008025,13.712530355435298,16.51119609543155,2.7986657399962525
6429,950.8575839996338,4.809313576607342,934.0457756519318,94,1723495666.556311,9.606915764899965,12.130875331047493,2.5239595661475285
7072,1041.8289806842804,3.8692619121237786,1025.0181214809418,95,1723495757.5277076,5.347193762760515,7.411796037017563,2.064602274257048
7779,1142.326992034912,2.9519915769856238,1125.5165557861328,96,1723495858.025719,3.808772434193193,5.305164119055283,1.4963916848620908
8557,1251.9746522903442,2.399308890606319,1235.1615788936615,97,1723495967.6733792,1.7583803008306405,3.039173117945731,1.2807928171150904
9413,1373.3362848758698,2.0325107200557406,1356.5248529911041,98,1723496089.0350118,1.132676397258642,1.9493250637385542,0.8166486664799122
10354,1509.4596631526947,1.6064428196297609,1492.6538469791412,99,1723496225.15839,0.689479346893221,1.303427176527153,0.613947829633932
11389,1658.2925260066986,1.347185125481694,1641.4808022975922,100,1723496373.991253,0.2949399116527917,0.7327448557627394,0.4378049441099477
12528,1820.782503604889,1.116253455756892,1803.9708497524261,101,1723496536.4812305,0.24814847655976827,0.5892813387675482,0.3411328622077799
13781,1996.8628973960876,0.9432114337468802,1980.0510094165802,102,1723496712.5616243,0.1017692184155208,0.3396216396569066,0.23785242124138584
15159,2192.125190973282,0.7783084995720025,2175.3138892650604,103,1723496907.8239179,0.03687013704672154,0.20000830646282722,0.16313816941610568
16675,2408.2712259292603,0.6741497962860113,2391.4598064422607,104,1723497123.9699528,0.03149597392128113,0.15179354750795518,0.12029757358667405
18342,2647.3412368297577,0.5845141525713534,2630.52925658226,105,1723497363.0399637,0.03795449642333165,0.16586511605150775,0.1279106196281761
20177,2909.4409744739532,0.47360351668150286,2892.629634141922,106,1723497625.1397014,0.015431433960880814,0.0940989573860099,0.07866752342512909
22194,3198.553610086441,0.36443514277035405,3181.742636203766,107,1723497914.252337,0.012789926886493178,0.06981072242043254,0.05702079553393936
24414,3512.5262031555176,0.30994231249649323,3495.7238025665283,108,1723498228.22493,0.01710713579686971,0.0702643604132952,0.05315722461642549
26855,3860.308015346527,0.3202197742459719,3843.503353834152,109,1723498576.0067422,0.011475924943514855,0.04896929397337632,0.037493369029861466
29540,4243.0853061676025,0.26651909838631277,4226.273912906647,110,1723498958.784033,0.010637802390741349,0.04416257255285106,0.03352477016210971
32494,4657.905511379242,0.23131070639326465,4641.093910217285,111,1723499373.6042383,0.007922854383277141,0.032057341153170535,0.024134486769893396
35744,5116.740184545517,0.22251495847733074,5099.93687748909,112,1723499832.4389114,0.00377520120273409,0.02408901807750473,0.02031381687477064
39318,5625.053178310394,0.18510681369227897,5608.242033958435,113,1723500340.7519052,0.0046421127562440495,0.023489425658943065,0.018847312902699014
42113,6016.861936807632,0.18268596305873613,6000.059108495712,114,1723500732.5606637,0.008303520321852066,0.025753041778239998,0.01744952145638793
