_timestamp,step,loss_boundary,loss_interior,loss,time,_step,_runtime,l2_error
1723489512.568334,0,1088.7316653859284,10.066191901282938,1098.7978572872114,3.839600086212158,0,4.64633321762085,9.704417422182745
1723489515.3489826,1,82.19108984039535,11.84344200445356,94.03453184484891,6.913090467453003,1,7.426981687545776,11.06365897222252
1723489518.1612902,2,63.7969093164852,2.77223496485291,66.56914428133811,9.725796937942505,2,10.239289283752441,9.822913284611868
1723489521.0129414,3,58.237748672418384,1.0479705961909536,59.285719268609334,12.57723355293274,3,13.090940475463867,10.131600704336499
1723489523.919893,4,51.25535169363911,2.5474207275748193,53.80277242121393,15.48415231704712,4,15.997892141342163,10.619155723702974
1723489526.8608794,5,45.99423523350709,3.2844230833436074,49.278658316850695,18.425023078918457,5,18.938878536224365,9.36414149187138
1723489529.844329,6,36.990364727887304,5.698889906813472,42.689254634700774,21.4070885181427,6,21.922328233718872,8.000626314039563
1723489532.8813808,7,26.75625990008945,8.051822419470986,34.808082319560434,24.445729732513428,7,24.95937991142273,7.867348839264303
1723489535.9539704,8,22.260984737877106,7.963765878081986,30.224750615959092,27.518099308013916,8,28.03196954727173,7.6307741577910075
1723489539.0700126,9,15.220345563695716,8.647407940947334,23.867753504643048,30.63454008102417,9,31.148011684417725,6.541571107072495
1723489542.2451267,10,9.655493321922824,8.280139908228291,17.935633230151115,33.80924868583679,10,34.3231258392334,6.3757424680199195
1723489545.436536,11,9.121384134777465,7.110967672928197,16.232351807705662,37.0004723072052,11,37.51453518867493,6.659548521827771
1723489548.656038,12,8.434400177197402,6.486180144642742,14.920580321840145,40.219993591308594,12,40.73403716087341,5.868997772382851
1723489551.8678455,13,6.452946173926233,6.420303192740863,12.873249366667096,43.432509660720825,13,43.945844650268555,4.8983991714762425
1723489555.0580416,14,5.01982496115814,5.71601541593253,10.73584037709067,46.62232995033264,14,47.136040687561035,4.85035316428872
1723489558.2399452,15,4.201961214399696,5.317540538330389,9.519501752730086,49.804358959198,15,50.317944288253784,4.386320475503729
1723489561.4637878,16,2.965620556755316,5.038598740265021,8.004219297020338,53.0261766910553,16,53.541786909103394,3.819277889900205
1723489564.6763062,17,2.975611377340017,4.312831069747693,7.28844244708771,56.24017667770386,17,56.754305362701416,3.555175066314458
1723489567.897062,18,2.3681367197602983,3.9761040251381465,6.344240744898444,59.461761713027954,18,59.9750611782074,3.482602909548052
1723489571.1236544,19,1.8605129154741638,3.5127166192417256,5.37322953471589,62.68822407722473,19,63.201653480529785,2.8348243754941724
1723489574.3302145,20,1.578868681501243,3.29967524782754,4.878543929328783,65.89464974403381,20,66.40821361541748,2.4608424803536058
1723489577.54348,21,1.2485438218030356,2.956587186220273,4.205131008023308,69.10809707641602,21,69.62147903442383,2.1578058731095435
1723489580.7551987,22,1.083493660665105,2.4864195639860385,3.5699132246511436,72.31947088241577,22,72.83319783210754,1.851514663510163
1723489583.9504948,23,0.8030375718953756,2.301327953019324,3.1043655249146997,75.51514840126038,23,76.02849388122559,1.9079310766583284
1723489587.1572094,24,0.8014051314010311,2.1665665756603714,2.9679717070614027,78.72170495986938,24,79.23520851135254,1.8258751717842343
1723489590.3415985,25,0.6561415931585145,2.0745078389464595,2.730649432104974,81.9062910079956,25,82.41959762573242,1.7983159256990424
1723489593.5376399,26,0.5608351208228258,1.6806096200913876,2.2414447409142135,85.10229921340942,26,85.61563897132874,1.6857887364607034
1723489596.7288353,27,0.582324339249611,1.542490757446398,2.124815096696009,88.2930977344513,27,88.80683445930481,1.5133116227294179
1723489599.959983,28,0.5301694517703132,1.5478976498946504,2.0780671016649634,91.52398610115051,28,92.03798222541809,1.457494198022443
1723489603.166347,29,0.47364975536160187,1.3662130410507567,1.8398627964123586,94.73063588142395,29,95.24434614181519,1.3717423276379943
1723489606.3676517,30,0.3669969489360411,1.2462371436814168,1.613234092617458,97.93225026130676,30,98.44565081596375,1.2485338853110697
1723489609.5772305,31,0.3347003987127686,1.281287965388147,1.6159883641009156,101.14147114753723,31,101.65522956848145,1.297759976999152
1723489612.7710836,32,0.2621609475860672,1.1831664406534617,1.4453273882395288,104.33588218688965,32,104.84908270835876,1.4102377623059978
1723489615.9638638,33,0.34128466983898487,1.0028342636043044,1.3441189334432893,107.52818965911865,33,108.04186296463013,1.2775635787732427
1723489619.1674354,34,0.2878448190767257,0.9104657618577624,1.198310580934488,110.7315833568573,34,111.24543452262878,1.1451154637935042
1723489622.3682344,35,0.2651373809293819,0.9424835017271036,1.2076208826564856,113.9319064617157,35,114.44623351097107,1.0447408107949148
1723489625.577906,36,0.23733221224898376,0.9149770938896908,1.1523093061386747,117.14266705513,36,117.65590500831604,1.1055940194918408
1723489628.7764468,37,0.22836821355252904,0.9060024232710235,1.1343706368235527,120.34087324142456,37,120.85444593429565,1.2371068394344924
1723489631.9962392,38,0.20859734047108774,0.8519861005185151,1.0605834409896029,123.56036424636841,38,124.07423830032349,1.3050787027408408
1723489635.211399,39,0.2333279981916509,0.7380990148206968,0.9714270130123477,126.77561473846436,39,127.28939819335938,1.1408669591649656
1723489638.4228187,40,0.19322010414297752,0.7142772741370551,0.9074973782800326,129.98688745498657,40,130.50081777572632,0.9764743517924924
1723489644.8019664,42,0.17916525746545284,0.6544716021415244,0.8336368596069773,136.3662188053131,41,136.87996554374695,1.0142530844250202
1723489657.5369346,46,0.14433837620514942,0.5635529385859253,0.7078913147910747,149.10112476348877,42,149.61493372917175,0.9363779319290404
