l2_error,loss_boundary,loss,_runtime,_step,_timestamp,loss_interior,step,time
38.477832342806074,1088.7316653859284,1098.7978572872114,2.748964309692383,0,1723669802.0996404,10.066191901282938,0,2.0239837169647217
16.821529987509596,1088.7296429864737,1098.7958355362146,3.5603086948394775,1,1723669802.9109848,10.066192549740958,1,3.1068878173828125
50.05862758222775,78.2229179758473,89.46706568497903,4.378047943115234,2,1723669803.728724,11.244147709131742,2,3.9224119186401367
21.567937081651205,1777.0861466365673,2271.2336814070522,5.191864013671875,3,1723669804.54254,494.14753477048487,3,4.738420724868774
9.47672966674297,462.7612401181469,516.1880823927128,6.003827810287476,4,1723669805.3545039,53.42684227456592,4,5.55021333694458
10.348516227865536,71.67001377430527,85.51966746772356,6.82456636428833,5,1723669806.1752424,13.84965369341829,5,6.369948625564575
9.232493870660692,63.033665878130066,73.2937451261473,7.635434627532959,6,1723669806.9861107,10.260079248017236,6,7.182180881500244
10.563381748277433,79.36267547526047,96.35189497665755,8.445719957351685,7,1723669807.796396,16.98921950139708,7,7.9924094676971436
11.666074087251657,60.48049513356331,71.74850170192107,9.256789445877075,8,1723669808.6074655,11.268006568357766,8,8.803597688674927
9.040846105522618,58.13386897682835,68.29247448432135,10.067129850387573,9,1723669809.417806,10.15860550749299,9,9.613702058792114
11.668849958665149,99.02272242309859,115.78736334723871,10.903103351593018,10,1723669810.2537794,16.76464092414012,10,10.449980974197388
13.16604969449715,60.73610875123118,72.22160599139346,11.712566614151001,11,1723669811.0632427,11.485497240162276,11,11.259369373321533
12.900819832056943,58.81101056114144,69.7637643071847,12.523151159286499,12,1723669811.8738272,10.95275374604327,12,12.069412469863892
12.306511221063385,58.86366086373078,67.56912370950471,13.33324146270752,13,1723669812.6839175,8.705462845773937,13,12.880023002624512
13.401328455248363,73.3414910982058,122.36216116185484,14.152694702148438,14,1723669813.5033708,49.02067006364905,14,13.698750019073486
12.440873654028087,60.61250319834076,73.96878872551402,14.963320970535278,15,1723669814.313997,13.35628552717326,15,14.51006269454956
13.357275660054873,59.25753874556655,68.45062015035933,15.773166418075562,16,1723669815.1238425,9.193081404792771,16,15.319851398468018
13.245949739108266,68.82601140936193,113.15588934138705,16.583633422851562,17,1723669815.9343095,44.32987793202512,17,16.13044047355652
12.732407881757231,58.36475179931398,68.29082078612272,17.393030881881714,18,1723669816.743707,9.92606898680875,18,16.939800024032593
13.637900138012208,59.03410064104493,67.94817009305666,18.202755451202393,19,1723669817.5534315,8.914069452011733,19,17.749593019485474
12.956145556292444,62.14963894550816,90.80132945596769,19.03640913963318,20,1723669818.3870852,28.65169051045953,20,18.583147525787354
11.771685091144812,58.387677731475385,68.07320030779249,19.848660707473755,21,1723669819.1993368,9.68552257631711,21,19.395479917526245
13.268202093794262,58.87776969956912,67.61915667813436,20.659573316574097,22,1723669820.0102494,8.741386978565235,22,20.206247329711914
11.913221516026738,58.51218465984707,67.11283313493439,21.471259355545044,23,1723669820.8219354,8.600648475087317,23,21.018051385879517
13.158612908755714,58.010709442881875,66.21682539334475,22.281978368759155,24,1723669821.6326544,8.206115950462873,24,21.828768014907837
11.540543577276356,58.678286799247026,65.85384851925856,23.09337592124939,25,1723669822.444052,7.175561720011532,25,22.63990330696106
12.203499269191775,56.50072575613259,62.00281874770061,23.903823375701904,26,1723669823.2544994,5.502092991568022,26,23.45068883895874
11.235287829507769,55.55106529506637,61.14465876552602,24.714653253555298,27,1723669824.0653293,5.593593470459645,27,24.26147198677063
12.6935846781764,51.18996139203067,56.7041262414896,25.525463342666626,28,1723669824.8761394,5.514164849458929,28,25.07228660583496
11.322730334796598,49.714914453826175,55.70148698715492,26.335781812667847,29,1723669825.6864579,5.986572533328751,29,25.88258147239685
12.511909067648952,48.76607276718416,56.87726737291245,27.15109944343567,30,1723669826.5017755,8.111194605728288,30,26.697832345962524
10.88696408131922,49.057347967402464,54.93665589316734,27.962397813796997,31,1723669827.3130739,5.87930792576488,31,27.509039878845215
12.075879058341252,48.73107573980296,53.2809555370647,28.774255990982056,32,1723669828.124932,4.549879797261738,32,28.320886850357056
10.091767415635426,47.85747920806505,50.22810090366129,29.587131023406982,33,1723669828.937807,2.370621695596242,33,29.13398003578186
11.057013236392784,44.32306981332475,45.69097782875569,30.3992919921875,34,1723669829.749968,1.367908015430943,34,29.945709228515625
9.281755304512016,41.29194535764544,43.17376319683779,31.21168065071106,35,1723669830.5623567,1.8818178391923477,35,30.758143186569214
9.883812851514293,36.169076237774085,39.95884690590362,32.027658462524414,36,1723669831.3783345,3.7897706681295324,36,31.57420301437378
8.794283579030667,32.933766326093895,37.395001534639334,32.83960318565369,37,1723669832.1902792,4.461235208545442,37,32.38622164726257
9.126158888382857,30.391572878593852,35.75551984274849,33.651066064834595,38,1723669833.0017421,5.363946964154637,38,33.19782471656799
8.137597373289566,28.94857287863709,34.0087540412424,34.463351011276245,39,1723669833.814027,5.060181162605307,39,34.00999617576599
9.24759076485234,34.030149856192786,40.697355618345966,35.300081729888916,40,1723669834.6507578,6.667205762153184,40,34.84682536125183
9.289368907330878,31.331014229123756,35.72361554495142,36.8987774848938,41,1723669836.2494535,4.392601315827666,42,36.44559335708618
9.287631433195926,21.53578487687398,28.58120669892839,40.073846101760864,42,1723669839.4245222,7.045421822054412,46,39.620558977127075
9.734689619866536,27.93913379677302,33.78739696641267,43.27343153953552,43,1723669842.6241076,5.848263169639652,50,42.820183992385864
8.478139926304104,20.231514694425844,24.23203007238961,47.23882508277893,44,1723669846.5895011,4.000515377963765,55,46.785404682159424
