l2_error,_timestamp,loss_boundary,loss_interior,loss,_step,_runtime,time,step
14.556564563008843,1723470093.9513667,1088.7316653859284,10.066191901282938,1098.7978572872114,0,4.417548656463623,3.5512595176696777,0
10.080133530973793,1723470099.4755404,268.1914337491679,10.295359343058005,278.4867930922259,1,9.941722393035889,9.42771053314209,1
16.088703874273193,1723470109.1530395,65.40657667611906,18.583057167406313,83.98963384352537,2,19.619221448898315,19.106126308441162,2
12.094545664001812,1723470122.440812,64.4804635001478,29.87178816173347,94.35225166188127,3,32.906994104385376,32.39392876625061,3
14.617389235844767,1723470134.9449708,45.19431596223882,7.793560178085672,52.98787614032449,4,45.411152839660645,44.897796630859375,4
14.354463745171161,1723470148.2631855,34.02417386004985,11.332671288906514,45.35684514895637,5,58.72936749458313,58.216110706329346,5
10.17942401466091,1723470161.6298614,40.33955068022558,5.473003586153597,45.81255426637917,6,72.09604334831238,71.58284759521484,6
10.077360348988625,1723470174.7950578,17.60697200379104,11.390657185936865,28.997629189727903,7,85.26123976707458,84.74777722358704,7
6.475979820767982,1723470187.923815,16.847009053382855,12.100052244208658,28.947061297591514,8,98.38999700546265,97.8764157295227,8
4.894125925692422,1723470201.0159347,10.696282453529708,8.010591286163965,18.706873739693673,9,111.48211669921875,110.96884417533875,9
3.5596468053467567,1723470214.2134428,6.943217840938815,8.134027077491712,15.077244918430527,10,124.6796247959137,124.16645503044128,10
3.4301652231846744,1723470227.413462,4.002797746002512,4.253995416882916,8.25679316288543,11,137.87964391708374,137.366557598114,11
3.340108921464543,1723470240.6151195,5.142805235066004,3.3028574549156677,8.445662689981672,12,151.08130145072937,150.56810784339905,12
2.3488256139242205,1723470253.826131,5.22747966195115,2.3004822416546484,7.527961903605798,13,164.29231309890747,163.77881717681885,13
2.8011455633144875,1723470267.0577416,3.0368187693224065,1.8932933934007445,4.930112162723151,14,177.5239236354828,177.01063227653503,14
2.1249630545019,1723470280.2168896,2.6894594550341657,1.7689271967842692,4.458386651818435,15,190.68307161331177,190.16938495635986,15
2.4491222717848,1723470293.3805113,1.580922572223713,1.0192874322346546,2.6002100044583676,16,203.846693277359,203.33351492881775,16
1.9072298375434353,1723470306.5456264,1.6791616698314393,0.8615881833035012,2.5407498531349404,17,217.01180839538574,216.49861216545105,17
1.992164458693006,1723470319.8252783,0.9705030836923857,0.7910041145220493,1.761507198214435,18,230.29146027565002,229.77775382995605,18
1.6054197682442128,1723470333.1608496,1.1758567542738387,0.8029257569302342,1.978782511204073,19,243.62703156471252,243.1134729385376,19
1.5080559344958815,1723470346.397713,1.0043940911581046,0.7599563120838053,1.76435040324191,20,256.8638949394226,256.3500258922577,20
1.745530349504705,1723470359.547765,0.8794080081383698,0.6495240911520537,1.5289320992904236,21,270.0139470100403,269.50026512145996,21
1.5578265493623853,1723470372.659181,1.1338078690159867,0.48354949737372793,1.6173573663897147,22,283.125363111496,282.6116876602173,22
1.495793721366498,1723470385.810664,1.0081738778330067,0.4386016038689169,1.4467754817019236,23,296.27684593200684,295.7632009983063,23
1.3278043112888376,1723470399.0082457,0.8421761089875749,0.3832144530151149,1.2253905620026897,24,309.4744277000427,308.9606375694275,24
1.341719000195033,1723470412.1915915,0.7304106657817934,0.3920116148263633,1.1224222806081567,25,322.65777349472046,322.1445963382721,25
1.2888003237014454,1723470425.381261,0.7248386441260266,0.44810315817280433,1.172941802298831,26,335.8474431037903,335.33397340774536,26
1.1528650789356572,1723470438.5255919,0.6959477679353779,0.4896696230343171,1.185617390969695,27,348.99177384376526,348.47825169563293,27
1.0525039707052375,1723470451.6557536,0.6022474992596549,0.5211252399819858,1.1233727392416406,28,362.1219356060028,361.6084704399109,28
1.0103645180331773,1723470464.7291043,0.49099871856841915,0.398518126145699,0.8895168447141182,29,375.1952862739563,374.68206453323364,29
0.8962836079206646,1723470477.8537178,0.37579669158728973,0.32387460311861466,0.6996712947059044,30,388.3198997974396,387.8067445755005,30
0.8995218906379417,1723470490.9819822,0.3014378891545819,0.3108855133111417,0.6123234024657236,31,401.44816422462463,400.9352104663849,31
0.8071852903416765,1723470504.1094804,0.2754481824222316,0.2135831303686864,0.48903131279091805,32,414.57566237449646,414.0623469352722,32
0.6673624989063094,1723470517.2864661,0.23269568648915392,0.19192659912590565,0.42462228561505955,33,427.7526481151581,427.2393841743469,33
0.6510608326114276,1723470530.4591706,0.24851010531430962,0.18160503381562268,0.43011513912993227,34,440.9253525733948,440.41208243370056,34
0.6430439218445954,1723470543.6261108,0.20123680156663143,0.19655338632927608,0.3977901878959075,35,454.09229278564453,453.5793807506561,35
0.639970880163517,1723470556.768656,0.20195288829134522,0.18163825493036292,0.3835911432217082,36,467.2348380088806,466.72104954719543,36
0.6244998923344202,1723470569.9012482,0.1809574512242128,0.17969011918127045,0.36064757040548323,37,480.3674302101135,479.85376501083374,37
0.5368827170259479,1723470583.0400653,0.19051518971733927,0.13207720730442044,0.3225923970217597,38,493.5062472820282,492.9924941062927,38
0.47265718024736264,1723470596.2296617,0.1477340367548124,0.1313742096084156,0.27910824636322795,39,506.69584369659424,506.182514667511,39
0.42227056946041486,1723470609.41355,0.11736459409901549,0.10959769241445051,0.226962286513466,40,519.8797318935394,519.3661875724792,40
0.4537486476224063,1723470635.7618115,0.08644621182699327,0.07772984148898236,0.16417605331597562,41,546.2279934883118,545.7147452831268,42
0.43879931628753993,1723470688.269706,0.0898144837697387,0.06214531733179004,0.15195980110152874,42,598.735888004303,598.2228045463562,46
