l2_error,_timestamp,_runtime,step,_step,loss_boundary,loss,time,loss_interior
38.36873229281723,1723482154.375971,2.0873470306396484,0,0,1088.7316653859284,1098.7978572872114,1.2425742149353027,10.066191901282938
38.19085185761586,1723482154.5590327,2.2704086303710938,1,1,1128.812398253115,1138.8820776021362,1.7192139625549316,10.069679349021179
37.96746142380771,1723482154.7321675,2.4435434341430664,2,2,1081.467295904407,1091.5367557266097,1.8908576965332031,10.069459822202923
37.70441540072082,1723482154.8950183,2.6063942909240723,3,3,1061.5944529735862,1071.6649034998825,2.0528807640075684,10.070450526296218
37.3928152278714,1723482155.051358,2.7627339363098145,4,4,1054.0951091586212,1064.1694609554993,2.2100772857666016,10.074351796878169
37.00790039732158,1723482155.2088547,2.9202306270599365,5,5,1095.0334201876074,1105.11431775024,2.3674893379211426,10.08089756263252
36.51749849863782,1723482155.3890321,3.1004080772399902,6,6,1035.7915514327638,1045.885112654204,2.5471651554107666,10.09356122144023
35.85298651985003,1723482155.557812,3.2691879272460938,7,7,1028.224976361053,1038.346791903815,2.7166004180908203,10.12181554276214
34.90427269241049,1723482155.7157962,3.4271721839904785,8,8,974.2077413691434,984.3955590027844,2.87367844581604,10.187817633640938
33.46700171038686,1723482155.8732228,3.5845987796783447,9,9,919.062484646348,929.3695711323725,3.032653331756592,10.307086486024444
31.176655847344676,1723482156.030166,3.741541862487793,10,10,847.7092446872867,858.2888314636466,3.1883487701416016,10.579586776359838
27.49176414042193,1723482156.188245,3.89962100982666,11,11,790.5349275498066,801.5886299421379,3.346402645111084,11.05370239233122
22.280434907095994,1723482156.3464675,4.057843446731567,12,12,632.1154564471223,644.2405535694755,3.5047357082366943,12.125097122353244
16.544015375846666,1723482156.517459,4.228834867477417,13,13,445.425260908185,458.42564603814776,3.67535138130188,13.000385129962737
11.720623498765521,1723482156.6918924,4.403268337249756,14,14,305.3834782093079,318.3242994473065,3.849825859069824,12.94082123799858
9.355947331814685,1723482156.8654487,4.57682466506958,15,15,177.36636756643188,189.7047520379436,4.023631572723389,12.338384471511711
9.74031417868551,1723482157.0379975,4.749373435974121,16,16,104.20226520504634,115.95700126489308,4.195826530456543,11.754736059846731
11.27442793234118,1723482157.2110322,4.922408103942871,17,17,82.53766405128822,93.79797978554814,4.369136095046997,11.260315734259919
12.708031775749863,1723482157.3880622,5.099438190460205,18,18,66.42691727204938,77.38931652797312,4.5465545654296875,10.962399255923742
13.547007928209627,1723482157.5661929,5.277568817138672,19,19,60.60024400718529,71.35872168125212,4.724846601486206,10.758477674066825
13.800804665534253,1723482157.7449236,5.456299543380737,20,20,66.74305299872563,77.35143047120324,4.903157472610474,10.608377472477617
13.685607177259655,1723482157.923454,5.634829998016357,21,21,66.74540777544966,77.21723197134685,5.081687927246094,10.47182419589719
13.370165551597823,1723482158.0944204,5.805796384811401,22,22,70.10321479117151,80.43667451098744,5.253092050552368,10.333459719815929
13.003933166394706,1723482158.268819,5.980195045471191,23,23,62.72552008552579,72.92232545211752,5.4285430908203125,10.196805366591736
12.604789436049478,1723482158.427636,6.139011859893799,24,24,64.9626085724965,75.07667493888032,5.586151838302612,10.114066366383813
12.371299791435554,1723482158.5867126,6.298088550567627,25,25,64.20096825619784,74.22908690549102,5.7451066970825195,10.02811864929318
12.178517711995829,1723482158.7555072,6.466883182525635,26,26,57.805973228516095,67.72015989346829,5.917420864105225,9.914186664952194
12.044984866026729,1723482158.9249632,6.63633918762207,27,27,67.3915238429522,77.2176740328693,6.083154916763306,9.8261501899171
11.989181390968279,1723482159.086503,6.797878980636597,28,28,65.7743115250263,75.52015193265292,6.244852066040039,9.74584040762662
