loss_interior,_timestamp,_step,loss,l2_error,loss_boundary,step,time,_runtime
120.66585450262039,1714568519.9146423,0,122.15818470261613,1.5804355584338692,1.4923301999957372,0,67.7042326927185,72.12180423736572
120.45228877306342,1714568586.5251038,1,121.93558276864893,1.5816226065960135,1.4832939955855158,1,134.69795560836792,138.7322657108307
120.239356164422,1714568652.4775395,2,121.72784159808454,1.5645392046301247,1.4884854336625324,2,200.64984345436096,204.6847014427185
119.7850643617153,1714568714.5095005,3,121.23476741787321,1.5665957333920129,1.4497030561579154,3,262.68179631233215,266.7166624069214
115.93523840321701,1714568780.2139971,4,117.39741156675022,2.252124331971328,1.462173163533211,4,328.3835668563843,332.42115902900696
98.01118166772636,1714568843.0108285,5,100.7387160307083,2.3093994185826103,2.727534362981938,5,391.18334221839905,395.217990398407
93.24373644161948,1714568905.7929714,6,96.06921211366455,1.4070318804809907,2.8254756720450698,6,453.9657573699951,458.0001332759857
63.16433147211371,1714568970.1881945,7,64.35463446751491,1.1415872119699833,1.190302995401198,7,518.3603019714355,522.3953564167023
34.21952488521987,1714569034.9340103,8,34.97350294747589,0.9127911411313833,0.7539780622560226,8,583.1064653396606,587.141172170639
18.648230340351684,1714569100.675779,9,19.166212601907947,0.44459132166560084,0.5179822615562618,9,648.8480861186981,652.8829410076141
5.65204949499209,1714569170.840648,10,5.781291763848722,0.31110364622144815,0.12924226885663198,10,719.0118749141693,723.0478098392487
1.5495362613308856,1714569238.2743864,11,1.6081772577517874,0.1431277659630316,0.05864099642090176,11,786.4465255737305,790.4815483093262
0.06666826880773719,1714569305.9986312,12,0.07994830978521333,0.0698861444464083,0.013280040977476155,12,854.1707923412323,858.2057931423187
0.02262979811273374,1714569372.979314,13,0.02574544857546852,0.03702786612957591,0.003115650462734783,13,921.151337146759,925.1864759922028
0.009838263761547401,1714569439.3243525,14,0.010707229638860711,0.019179248908862533,0.0008689658773133098,14,987.4971768856049,991.5315144062042
0.003795814569035213,1714569500.6206691,15,0.004021999838913988,0.007536645850847431,0.0002261852698787752,15,1048.7929799556732,1052.827831029892
0.0010043025082849123,1714569564.5813289,16,0.001040709050681275,0.004079534516004678,3.6406542396362663e-05,16,1112.7535932064056,1116.7884907722473
4.3240440682212794e-05,1714569630.1620958,17,5.180721619213711e-05,0.0007437801380041603,8.566775509924314e-06,17,1178.3340020179749,1182.3692576885223
9.20948467578939e-07,1714569692.8470016,18,1.2271369800353534e-06,0.00020835552624127142,3.0618851245641456e-07,18,1241.0200169086456,1245.0541634559631
1.5414954808145967e-08,1714569762.5766666,19,2.19081426589673e-08,0.0001916827524979424,6.4931878508213326e-09,19,1310.749345779419,1314.783828496933
7.128697916272156e-09,1714569828.9464247,20,1.0116660941408518e-08,0.00019160763957460652,2.987963025136362e-09,20,1377.119196176529,1381.1535866260529
7.110622900943242e-09,1714569892.101204,21,1.0093869921426434e-08,0.00019158180916366022,2.983247020483192e-09,21,1440.2736120224,1444.3083658218384
