loss_boundary,step,l2_error,loss,_step,_runtime,time,_timestamp,loss_interior
1.4923301999957372,0,1.5295439813942757,122.15818470261613,0,5.7638726234436035,1.5615472793579102,1714559600.1309206,120.66585450262039
1.3848564563067343,1,1.3415429578897622,121.20345595774322,1,5.9349365234375,1.9584393501281738,1714559600.3019845,119.81859950143648
1.0427793525708011,2,0.9335984062302346,110.06567023520455,2,6.076709508895874,2.101170539855957,1714559600.4437575,109.02289088263375
0.5308031774683357,3,0.8509086629738246,81.34987340441285,3,6.2162439823150635,2.240981340408325,1714559600.583292,80.81907022694452
0.453433607291668,4,0.8091067315350876,78.9870375788247,4,6.353254318237305,2.3779711723327637,1714559600.7203023,78.53360397153303
0.41601612426104945,5,0.7862322132122075,54.900420173034256,5,6.490142345428467,2.5147950649261475,1714559600.8571904,54.48440404877321
0.38979953616832996,6,0.6550344113835811,37.657128210506485,6,6.627202033996582,2.651832342147827,1714559600.99425,37.26732867433815
0.304855461334154,7,0.6335427755264578,31.109665718542754,7,6.764508247375488,2.789172887802124,1714559601.1315563,30.8048102572086
0.29432468812625523,8,0.663983561840314,28.948201601407252,8,6.9007885456085205,2.925431489944458,1714559601.2678366,28.653876913280996
0.3172280031596391,9,0.6830658542597844,24.28630055163705,9,7.037861585617065,3.0622684955596924,1714559601.4049096,23.969072548477413
0.33086659114254624,10,0.7114593053252133,22.290640068157664,10,7.177938461303711,3.202489137649536,1714559601.5449865,21.95977347701512
0.3502513572530608,11,0.7294300019199351,20.39390332195128,11,7.315564870834351,3.3401570320129395,1714559601.682613,20.04365196469822
0.36305790827445356,12,0.7443931827376802,18.719597954569483,12,7.452777862548828,3.4774162769317627,1714559601.819826,18.35654004629503
0.37583529980154445,13,0.7577376608936129,17.265745989005378,13,7.590932369232178,3.615471601486206,1714559601.9579804,16.889910689203834
0.3868323805576895,14,0.7553822545480781,15.448133433495004,14,7.73088526725769,3.7554612159729004,1714559602.0979333,15.061301052937313
0.3833807118657477,15,0.7391223543952333,14.112195238650848,15,7.868311166763306,3.89290189743042,1714559602.2353592,13.7288145267851
0.3692835211603897,16,0.7276389510354192,13.16558850052055,16,8.006181955337524,4.030748128890991,1714559602.37323,12.796304979360162
0.36163298787420733,17,0.748251910993673,11.579530041805036,17,8.143793821334839,4.168451309204102,1714559602.5108418,11.217897053930828
0.3800872774324444,18,0.7804027454866985,10.197884855163782,18,8.280602931976318,4.305134057998657,1714559602.647651,9.817797577731337
0.408634265131558,19,0.7830876090889403,9.165563477811283,19,8.418013334274292,4.4426679611206055,1714559602.7850614,8.756929212679724
0.40945503692053636,20,0.7882972391961661,8.372900325222053,20,8.554953336715698,4.57957649230957,1714559602.9220014,7.963445288301517
0.416785346647938,21,0.7944424436956864,7.126752958881165,21,8.694131135940552,4.718663454055786,1714559603.0611792,6.7099676122332275
0.4234255780719957,22,0.7855788577148013,6.4186900202113515,22,8.831963300704956,4.856531620025635,1714559603.1990113,5.995264442139356
0.4124007804754055,23,0.7599299106053543,5.6172952279501995,23,8.968961238861084,4.993584394454956,1714559603.3360093,5.2048944474747945
0.38227930567078455,24,0.7465058084108481,4.86968475063279,24,9.106536626815796,5.131106853485107,1714559603.4735847,4.487405444962006
0.3677090410584319,25,0.7224476897579784,3.9590644912526347,25,9.244044303894043,5.268655300140381,1714559603.6110923,3.591355450194203
0.3495138970529644,26,0.706222807239037,3.4076353596303695,26,9.382550477981567,5.40708065032959,1714559603.7495985,3.058121462577405
0.3317449085031992,27,0.6970853133151301,2.870621328402826,27,9.520671367645264,5.545275449752808,1714559603.8877194,2.5388764198996268
0.31884646116829846,28,0.6763212908186932,2.4989575587507855,28,9.664820194244385,5.6893510818481445,1714559604.0318682,2.180111097582487
0.30765065567349514,29,0.6757352478366462,2.149734665333865,29,9.801626443862915,5.8262200355529785,1714559604.1686745,1.8420840096603697
0.3043888676613872,30,0.6691269667128829,1.922327912643905,30,9.938294172286987,5.962902545928955,1714559604.3053422,1.617939044982518
0.29631059799540904,31,0.6384527040246175,1.8257925189438184,31,10.076322555541992,6.100967645645142,1714559604.4433706,1.5294819209484094
0.27456457472976314,32,0.6370116177696252,1.6499820338956133,32,10.213073968887329,6.237802743911743,1714559604.580122,1.3754174591658501
0.27160810759361775,33,0.6138382552710181,1.498353271614039,33,10.350439310073853,6.375088930130005,1714559604.7174873,1.2267451640204212
0.25387525829564334,34,0.6030991208777868,1.3920126600038456,34,10.487197875976562,6.511826992034912,1714559604.854246,1.1381374017082022
0.24726515282655112,35,0.5987843211071824,1.293478988593505,35,10.625881910324097,6.650434255599976,1714559604.99293,1.046213835766954
0.24453902250837584,36,0.5881762849421649,1.2760537149306999,36,10.763979196548462,6.788560152053833,1714559605.1310272,1.031514692422324
0.2371876906639621,37,0.5840935728942369,1.230521530423153,37,10.901011228561401,6.925610780715942,1714559605.2680593,0.9933338397591909
0.23335291582470352,38,0.572219332574076,1.153861005935862,38,11.03726577758789,7.061875820159912,1714559605.4043138,0.9205080901111584
0.22575887518193374,39,0.5467742299128729,1.0778839783877863,39,11.17430591583252,7.198945045471191,1714559605.541354,0.8521251032058526
0.2083509518316727,40,0.5439909516262799,1.0167137330032372,40,11.310812950134277,7.335423469543457,1714559605.677861,0.8083627811715645
0.2049034197790021,42,0.5334690162448088,0.9247183536303253,41,11.580406665802002,7.605455160140991,1714559605.9474547,0.7198149338513232
0.17932579231252943,46,0.4956327337223366,0.7194205172699079,42,12.11192798614502,8.136530637741089,1714559606.478976,0.5400947249573784
