time,loss_boundary,loss_interior,_timestamp,loss,_step,_runtime,l2_error,step
1.5549912452697754,1.492330158055808,120.66585864667057,1713970296.531974,122.15818880472638,0,5.843106985092163,1.5074072272402415,0
2.1551151275634766,1.3431816188664552,119.19340283083697,1713970296.674288,120.53658444970343,1,5.9854209423065186,1.4937261097259533,1
2.275125741958618,1.1819290645646925,94.90453075697236,1713970296.7940702,96.08645982153706,2,6.105203151702881,0.9291262024652793,2
2.394531488418579,0.5485397135578487,65.19741022556674,1713970296.913662,65.74594993912459,3,6.224794864654541,0.8539746536187124,3
2.5229010581970215,0.4585589086022307,59.05447883520703,1713970297.044081,59.51303774380926,4,6.35521388053894,0.778194390681092,4
2.666783571243286,0.38894788689306337,57.00705034360033,1713970297.1861866,57.3959982304934,5,6.497319459915161,0.7758258337615153,5
2.798109769821167,0.3566080201633034,51.966943917636115,1713970297.3191907,52.323551937799415,6,6.630323648452759,0.575996247669216,6
2.9311695098876953,0.2262781987724709,46.374724524449746,1713970297.4514012,46.601002723222216,7,6.762534141540527,0.5009147498320309,7
3.059232473373413,0.18194679624649898,45.05738403252128,1713970297.5783381,45.23933082876778,8,6.889471054077148,0.5533392335027435,8
3.188408136367798,0.21276020681560015,43.73478535148561,1713970297.7075484,43.947545558301215,9,7.018681287765503,0.45407041249669144,9
3.313650608062744,0.15841603354179068,42.63671478559588,1713970297.8327746,42.79513081913767,10,7.14390754699707,0.48807101073678927,10
3.4379971027374268,0.17723046454991528,41.78603255407396,1713970297.9571085,41.96326301862388,11,7.2682414054870605,0.41277143930921684,11
3.563704013824463,0.13839445205932965,41.05947603578691,1713970298.0827026,41.19787048784624,12,7.393835544586182,0.43280379206466524,12
3.6966259479522705,0.1498796973171489,40.22305198454189,1713970298.2157316,40.372931681859036,13,7.526864528656006,0.4811548491369154,13
3.82206130027771,0.17201834478326622,38.75686344899382,1713970298.3411257,38.92888179377709,14,7.652258634567261,0.42465842750350724,14
4.070125579833984,0.1272489441399873,37.285155314387396,1713970298.5896955,37.41240425852738,15,7.9008283615112305,0.4068996962000023,16
4.200879335403442,0.13983024808015304,36.78899735166644,1713970298.720143,36.92882759974659,16,8.031275987625122,0.5454525199385666,17
4.327922105789185,0.2058770153400564,35.933030973399354,1713970298.8477225,36.13890798873941,17,8.158855438232422,0.45101926384245616,18
4.590301513671875,0.15197488726716632,34.65100027219312,1713970299.109657,34.80297515946029,18,8.420789957046509,0.4728477871223554,20
4.718379020690918,0.17436570624262748,34.39508978605129,1713970299.237574,34.56945549229391,19,8.548707008361816,0.4407698946942762,21
4.9704132080078125,0.17427096635187547,34.005276456291256,1713970299.4895306,34.17954742264313,20,8.800663471221924,0.4452989027341895,23
5.11528205871582,0.16514255117298235,33.77812836195113,1713970299.6344352,33.94327091312412,21,8.945568084716797,0.48969651103970746,24
5.369140148162842,0.17462655435568938,33.36573234296387,1713970299.8885107,33.54035889731956,22,9.199643611907959,0.5160282722130648,26
5.620814561843872,0.1797753994051791,32.940127868158285,1713970300.1399608,33.119903267563465,23,9.451093673706055,0.5048417311524331,28
5.999126434326172,0.20981451102867146,32.32656231172585,1713970300.519098,32.53637682275452,24,9.830230951309204,0.4941379304315185,31
6.272500276565552,0.20864382851933033,31.96725919863806,1713970300.7925482,32.17590302715739,25,10.103681087493896,0.5007326672983693,33
6.5279223918914795,0.21974451477698784,31.55115650659814,1713970301.0472722,31.770901021375128,26,10.358405113220215,0.5178123364138998,35
6.909073829650879,0.21747881207019998,30.99132354316975,1713970301.4283702,31.20880235523995,27,10.739503145217896,0.550319479455725,38
7.281538009643555,0.2415863618508749,30.416811920130364,1713970301.8008971,30.65839828198124,28,11.112030029296875,0.5498232796012117,41
7.679149627685547,0.2411642878615795,29.872628889082538,1713970302.1987672,30.113793176944117,29,11.509900093078613,0.602587939036302,44
8.176513195037842,0.2548562403906462,29.140687836561284,1713970302.695617,29.39554407695193,30,12.006749868392944,0.6068419488292137,48
8.546952247619629,0.28572138023937454,28.55814701932782,1713970303.0659635,28.843868399567192,31,12.37709641456604,0.6001231186337813,51
9.078485488891602,0.294903274697763,27.845450035791018,1713970303.5979812,28.14035331048878,32,12.909114122390747,0.6172330567717474,55
9.572622060775757,0.337850493572363,27.05545015560647,1713970304.0924482,27.393300649178833,33,13.403581142425537,0.6591276015404429,59
10.188527822494507,0.34179718748109444,25.95104551746046,1713970304.7076204,26.292842704941556,34,14.018753290176392,0.672143477023777,64
10.81099557876587,0.35249922205770234,25.027589088265547,1713970305.3309107,25.38008831032325,35,14.642043590545654,0.706097880869201,69
11.444870471954346,0.3850554940416818,24.079062255807425,1713970305.9641645,24.46411774984911,36,15.275297403335571,0.7183526824791172,74
12.183319568634033,0.4196009997708211,22.935716913476455,1713970306.7025938,23.355317913247276,37,16.013726711273193,0.7501360811405152,80
12.933539628982544,0.44067785072154336,21.578116226846486,1713970307.453499,22.018794077568028,38,16.764631986618042,0.8000508374834859,86
13.790759563446045,0.48161668186367446,20.233280210596956,1713970308.3104076,20.71489689246063,39,17.621540546417236,0.822027329632596,93
14.66268539428711,0.5164537612128172,18.948196957131593,1713970309.1825771,19.46465071834441,40,18.493710041046143,0.8637941416720386,100
15.543994903564453,0.5624025173921303,17.59046330975355,1713970310.063616,18.15286582714568,41,19.374748945236206,0.8992172797746594,107
16.523494482040405,0.6121067933909325,16.483401952480396,1713970311.0430698,17.095508745871328,42,20.35420274734497,0.9315993075494547,115
