time,_runtime,step,_step,loss,l2_error,_timestamp,loss_boundary,loss_interior
1.6347379684448242,6.1234517097473145,0,0,122.15818470261613,1.17490122022683,1714562963.3416247,1.4923301999957372,120.66585450262039
2.1603803634643555,6.305206537246704,1,1,3.595120967167189,0.9591925304512161,1714562963.5233796,0.9465861636461191,2.64853480352107
2.315669536590576,6.458374977111816,2,2,2.3104598845391733,0.7706490307082207,1714562963.676548,0.6314714665502572,1.6789884179889158
2.4588305950164795,6.601441860198975,3,3,2.1289234276980267,0.5199686556406967,1714562963.819615,0.410058791414384,1.7188646362836428
2.5882856845855713,6.730882883071899,4,4,1.9699288488709752,0.3616652457993623,1714562963.949056,0.19386761889633264,1.7760612299746426
2.721005916595459,6.863588809967041,5,5,1.5751547754120443,0.45703721034527983,1714562964.0817618,0.12056503552699205,1.4545897398850522
2.8561737537384033,6.998829364776611,6,6,1.5028429585218386,0.5340838708019576,1714562964.2170024,0.17923329194300733,1.3236096665788313
2.9870498180389404,7.129657745361328,7,7,1.4159550737941862,0.5597682717505211,1714562964.3478308,0.234406558651642,1.1815485151425442
3.1201727390289307,7.262772560119629,8,8,1.3875866232596412,0.5737065500480972,1714562964.4809456,0.254022903746527,1.1335637195131143
3.2505874633789062,7.393224000930786,9,9,1.3678469929166184,0.5757211646285986,1714562964.611397,0.2643704139398553,1.103476578976763
3.3848559856414795,7.527604818344116,10,10,1.3573437488850684,0.5713367351531742,1714562964.7457778,0.26540815282531105,1.0919355960597574
3.5195682048797607,7.662487268447876,11,11,1.3318070820588066,0.5606173980625099,1714562964.8806603,0.2604894906755703,1.0713175913832362
3.662874937057495,7.805556058883667,12,12,1.3068836287050927,0.5447740249147396,1714562965.023729,0.2507828119368512,1.0561008167682415
3.7956793308258057,7.9386351108551025,13,13,1.276359164358505,0.5078377832906121,1714562965.1568081,0.23773980486888477,1.0386193594896203
3.928055763244629,8.0706627368927,14,14,1.2328907808184766,0.48808081422418137,1714562965.2888358,0.21064219728662242,1.0222485835318542
4.062926530838013,8.20575499534607,15,15,1.2165633913575924,0.46703291580680395,1714562965.423928,0.19777726422753444,1.018786127130058
4.191427707672119,8.334096908569336,16,16,1.187067009056944,0.4367959472015367,1714562965.55227,0.18497702493306012,1.002089984123884
4.320994138717651,8.463581085205078,17,17,1.1441893116849966,0.4334519933129531,1714562965.681754,0.1685777859314415,0.975611525753555
4.4499499797821045,8.59259581565857,18,18,1.134885824518666,0.4399049140718105,1714562965.8107688,0.16753379453455303,0.967352029984113
4.57975435256958,8.722355842590332,19,19,1.1212588794502272,0.4568878894569365,1714562965.9405289,0.17183644172213153,0.9494224377280956
4.709515810012817,8.852154016494751,20,20,1.1082276059148677,0.46842770475515555,1714562966.070327,0.18209786659758934,0.9261297393172784
4.8451409339904785,8.98786211013794,21,21,1.1007126615285612,0.48068974906075157,1714562966.2060351,0.1890335415411775,0.9116791199873837
4.978209972381592,9.12082552909851,22,22,1.0900492995254278,0.4927862100152736,1714562966.3389986,0.1963773202132337,0.8936719793121941
5.106412410736084,9.249045133590698,23,23,1.0791215709229904,0.5037724027077942,1714562966.4672182,0.20363406550708596,0.8754875054159044
5.238678932189941,9.381450891494751,24,24,1.0704241158003394,0.5127534445879052,1714562966.599624,0.210237741571646,0.8601863742286934
5.372714042663574,9.515344858169556,25,25,1.0653509698013448,0.515786362042911,1714562966.733518,0.21562065377691683,0.849730316024428
5.502604007720947,9.645206212997437,26,26,1.063051276353451,0.5186822330291319,1714562966.8633792,0.21738105764597004,0.8456702187074809
5.63772988319397,9.780627250671387,27,27,1.058357084137727,0.5185089265113972,1714562966.9988003,0.218859113050742,0.839497971086985
5.779900789260864,9.922876119613647,28,28,1.0555134321230373,0.5155316908404844,1714562967.1410491,0.21843200193991055,0.8370814301831266
5.918314218521118,10.061363935470581,29,29,1.0527191208427906,0.510332355984994,1714562967.279537,0.21631568696153664,0.836403433881254
6.045229911804199,10.188181638717651,30,30,1.0481462665743515,0.5037079185156518,1714562967.4063547,0.21292956455149475,0.8352167020228568
6.179370880126953,10.322792768478394,31,31,1.0405206684517299,0.49142987834330687,1714562967.5409658,0.20880967716411028,0.8317109912876196
6.319723129272461,10.462459802627563,32,32,1.0260261815100487,0.4866057038494491,1714562967.6806328,0.20167818413441801,0.8243479973756307
6.4655921459198,10.608184814453125,33,33,1.019067089665965,0.4798793315982647,1714562967.8263578,0.19908391493995903,0.8199831747260059
6.5956830978393555,10.738585948944092,34,34,1.0060207428632548,0.47751529391889913,1714562967.956759,0.19584673510869938,0.8101740077545554
6.728190183639526,10.870858907699585,35,35,1.0005167410330769,0.47311984059711765,1714562968.089032,0.19484127303768417,0.8056754679953928
6.863588094711304,11.007066011428833,36,36,0.9919389667557754,0.47035998631708803,1714562968.225239,0.19298277236202396,0.7989561943937514
7.04626989364624,11.188966989517212,37,37,0.9889147996624341,0.46612813721866925,1714562968.40714,0.1916316705974606,0.7972831290649735
7.1846582889556885,11.327349424362183,38,38,0.9834556452129594,0.4561745447650775,1714562968.5455225,0.18922667456971973,0.7942289706432396
7.312347888946533,11.455082178115845,39,39,0.9742035591094739,0.4510986362058136,1714562968.6732552,0.18313600186539936,0.7910675572440745
7.4388744831085205,11.581490755081177,40,40,0.970242591474711,0.44230483818536664,1714562968.7996638,0.17974324645404754,0.7904993450206635
7.696124792098999,11.838711977005005,42,41,0.9580656774720308,0.4370092338857611,1714562969.056885,0.17002054025695368,0.7880451372150771
