loss_interior,loss,_step,l2_error,_runtime,_timestamp,time,step,loss_boundary
120.66585450262039,122.15818470261613,0,1.492728672527929,5.971302509307861,1714555867.2774866,1.766801357269287,0,1.4923301999957372
118.75896561382737,120.07506749006625,1,1.042613621180919,6.116590976715088,1714555867.422775,2.1407594680786133,1,1.3161018762388756
89.3080796089548,89.94541035495924,2,0.8900723391511187,6.254927396774292,1714555867.5611115,2.277942419052124,2,0.6373307460044373
64.54024540458457,65.03644510685217,3,0.8900723391511187,6.391983270645142,1714555867.6981673,2.4165759086608887,3,0.49619970226760096
64.54024540458457,65.03644510685217,4,0.8913498129738535,6.52656888961792,1714555867.832753,2.5508337020874023,4,0.49619970226760096
64.5129473327487,65.01142537504859,5,0.8961212799585655,6.6627349853515625,1714555867.968919,2.6867706775665283,5,0.49847804229988757
64.19582626955493,64.70281050046917,6,0.9106663821308525,6.797914981842041,1714555868.104099,2.8221352100372314,6,0.5069842309142402
63.26575382494611,63.79459403232852,7,1.0422334952899082,6.93292498588562,1714555868.239109,2.9569408893585205,7,0.5288402073824057
50.575483331277304,51.27777007395035,8,0.8951290326894372,7.069209814071655,1714555868.3753939,3.0930819511413574,8,0.7022867426730423
30.14917861691237,30.689339632930775,9,0.7519159017072153,7.206776857376099,1714555868.512961,3.230482339859009,9,0.5401610160184064
26.303486833324747,26.71036666564767,10,0.7588498790926246,7.34674072265625,1714555868.6529248,3.3705172538757324,10,0.40687983232292035
23.800130655795577,24.210250073501822,11,0.8464443826585284,7.487370014190674,1714555868.793554,3.511124610900879,11,0.4101194177062457
22.642704298485544,23.133723235412887,12,0.9513705924524898,7.626600027084351,1714555868.932784,3.650385856628418,12,0.49101893692734155
21.160165503799075,21.765712879410042,13,1.044387856356748,7.764879941940308,1714555869.071064,3.7886898517608643,13,0.6055473756109665
19.478280967423842,20.200371926010657,14,1.1720498524222311,7.901669263839722,1714555869.2078533,3.9258475303649902,14,0.7220909585868139
15.888684001113338,16.792117054900814,15,1.189327693836922,8.039144515991211,1714555869.3453286,4.063331127166748,15,0.9034330537874751
11.660146894261658,12.597671225562404,16,1.1639870274788608,8.175971746444702,1714555869.4821558,4.199962377548218,16,0.9375243313007461
11.05938008743741,11.964030888952388,17,1.155837167517579,8.317813158035278,1714555869.6239972,4.341991901397705,17,0.9046508015149789
11.0140887178413,11.908070212374458,18,1.1395432865657793,8.45667314529419,1714555869.7628572,4.480875492095947,18,0.8939814945331576
10.803110052644822,11.676000578035199,19,1.109799926357502,8.599271535873413,1714555869.9054556,4.623456001281738,19,0.8728905253903761
10.443666957105266,11.277609794089772,20,1.0928032905549256,8.736521244049072,1714555870.0427053,4.760727643966675,20,0.8339428369845054
10.117357387865818,10.927026125688435,21,1.1115434551998835,8.877110719680786,1714555870.1832948,4.900768995285034,21,0.8096687378226171
9.157496339515044,9.983172906237085,22,1.1411886423801902,9.011459827423096,1714555870.317644,5.03542423248291,22,0.8256765667220416
8.724285659963202,9.587526002067019,23,1.1550639094333537,9.144563436508179,1714555870.4507475,5.1684863567352295,23,0.8632403421038175
8.477826733332204,9.360235281444279,24,1.1737756994086115,9.282763957977295,1714555870.588948,5.306544780731201,24,0.8824085481120749
7.98549214366935,8.895290065002031,25,1.1508727374769967,9.419548273086548,1714555870.7257323,5.443229913711548,25,0.9097979213326811
7.421450265214369,8.301531064836455,26,1.0759041860194878,9.557658433914185,1714555870.8638425,5.5814197063446045,26,0.8800807996220857
6.335169048181123,7.119457918567104,27,1.0332411264038326,9.697926044464111,1714555871.00411,5.721612930297852,27,0.7842888703859807
5.965799405089987,6.697275390031465,28,1.0042940844461987,9.837464809417725,1714555871.1436489,5.861225605010986,28,0.7314759849414786
5.840773900963925,6.535401215253888,29,0.9940275714303713,9.976364850997925,1714555871.282549,6.00002908706665,29,0.6946273142899627
5.7380516194982825,6.416001116546413,30,1.0151006403176273,10.11662220954895,1714555871.4228063,6.1403234004974365,30,0.6779494970481306
5.342129573895069,6.029619185756185,31,1.0563140359970806,10.253990650177002,1714555871.5601747,6.27778172492981,31,0.6874896118611157
4.383491933933904,5.106381199337989,32,1.0646311471106331,10.391686201095581,1714555871.6978703,6.4154579639434814,32,0.722889265404085
3.8354569806756214,4.567365765460672,33,1.057079926178521,10.527377605438232,1714555871.8335617,6.55097770690918,33,0.7319087847850507
3.590245381126307,4.3157724998676334,34,1.048134056128313,10.664447546005249,1714555871.9706316,6.687991619110107,34,0.7255271187413266
3.5683705099731053,4.285077086031477,35,1.0243679390348872,10.80177092552185,1714555872.107955,6.8254194259643555,35,0.7167065760583721
3.4715565274461015,4.163781138614166,36,0.967358971238377,10.938664436340332,1714555872.2448485,6.962480306625366,36,0.6922246111680641
2.8896091278176153,3.5213264396586434,37,0.9463537989953192,11.075482368469238,1714555872.3816664,7.099148988723755,37,0.6317173118410282
2.4744090592069448,3.0836079561588754,38,0.9423621678819827,11.212132930755615,1714555872.518317,7.235769271850586,38,0.6091988969519309
2.3322485518528446,2.9368427570188476,39,0.9432252383315746,11.349173069000244,1714555872.6553571,7.372963905334473,39,0.6045942051660029
2.257698454408912,2.862550368446303,40,0.9448204520745027,11.485050201416016,1714555872.7912343,7.508915901184082,40,0.6048519140373912
2.1813675149161704,2.790637726594997,41,0.9524914021759411,11.749614238739014,1714555873.0557983,7.773448944091797,42,0.6092702116788262
1.740919137430483,2.2681928495512595,42,0.8707075184535055,12.287135124206543,1714555873.5933192,8.311337232589722,46,0.5272737121207766
