_step,loss_interior,_timestamp,loss_boundary,loss,step,l2_error,time,_runtime
28,0.0012140295418533267,1713953582.3915174,0.00037455613488747647,0.0015885856767408032,41,0.020662272053602677,28.833786964416504,32.57705736160278
29,0.0009762358936875188,1713953584.478888,0.0003563648798706847,0.0013326007735582036,44,0.020603100227682067,30.92146396636963,34.66442799568176
30,0.0007548441540221235,1713953587.2987723,0.0003163223828584017,0.0010711665368805252,48,0.019115360160842476,33.740973472595215,37.484312295913696
31,0.0006650010757958205,1713953589.4272811,0.0002380329901189392,0.0009030340659147597,51,0.016534444267371072,35.86972737312317,39.612821102142334
32,0.0005377910753629168,1713953592.2274084,0.00018724829731303483,0.0007250393726759516,55,0.015883960080242714,38.669896602630615,42.41294836997986
33,0.000434198617335599,1713953595.0791166,0.00015596934139712183,0.0005901679587327208,59,0.014622043460776639,41.521183490753174,45.26465654373169
34,0.0003103276278843595,1713953598.6576207,0.0001466056536918447,0.0004569332815762042,64,0.014612375179410855,45.10008978843689,48.84316062927246
35,0.0002399379458070121,1713953602.195696,0.00012182902403401633,0.0003617669698410284,69,0.013115280560265008,48.63786840438843,52.38123607635498
36,0.00020750778422448196,1713953605.744898,9.057627870558901e-05,0.000298084062930071,74,0.011158806744259552,52.18722486495972,55.93043804168701
37,0.0001725604817346478,1713953610.0267355,5.647241783924182e-05,0.0002290328995738896,80,0.008938497403553305,56.46904802322388,60.21227550506592
38,0.00014949553205410203,1713953614.2493205,3.880653730411995e-05,0.000188302069358222,86,0.007480255773562331,60.691505670547485,64.43486046791077
39,0.0001262172488297101,1713953619.2410529,2.6909207244161698e-05,0.0001531264560738718,93,0.0061017797138414286,65.68319869041443,69.42659282684326
40,0.00010616290016765258,1713953624.139496,2.0566911048732073e-05,0.00012672981121638466,100,0.005224360398061164,70.58170747756958,74.32503604888916
41,9.090533033317951e-05,1713953629.093024,1.7735829395198085e-05,0.0001086411597283776,107,0.004838853760999727,75.53548049926758,79.27856397628784
42,8.054035924920194e-05,1713953634.7290938,1.4950453402112537e-05,9.549081265131448e-05,115,0.0045654383589427625,81.17153120040894,84.91463375091553
43,7.038731741089743e-05,1713953641.0937364,1.1401951779991055e-05,8.178926919088848e-05,124,0.0037423777740821914,87.53592324256897,91.2792763710022
44,6.441812481568165e-05,1713953648.2165155,9.466193071432091e-06,7.388431788711374e-05,134,0.003470035322127629,94.65905857086182,98.40205550193787
45,5.883749730299144e-05,1713953655.3114402,8.69436550487775e-06,6.753186280786919e-05,144,0.003228994595720964,101.75360536575317,105.4969801902771
46,5.414765135107017e-05,1713953662.9890654,7.683881095337484e-06,6.183153244640765e-05,155,0.002949209213567649,109.43152499198914,113.17460536956787
47,5.047538254628686e-05,1713953670.7035282,6.848773741069497e-06,5.7324156287356356e-05,166,0.0026919106069265837,117.14582753181458,120.88906812667847
48,4.6745931734677083e-05,1713953679.8918421,6.173183122363743e-06,5.291911485704083e-05,179,0.002456116132108306,126.33421516418457,130.07738208770752
49,4.3732144596154116e-05,1713953689.666802,5.788716730139074e-06,4.952086132629319e-05,193,0.002443732341225343,136.10936856269836,139.85234189033508
50,4.0780535032632726e-05,1713953699.4451764,5.320347361514207e-06,4.6100882394146936e-05,207,0.002416933978609697,145.8873507976532,149.63071632385254
51,3.803524199094024e-05,1713953710.6746404,4.593665669893046e-06,4.262890766083328e-05,223,0.002339165761655736,157.11710476875305,160.8601803779602
