_timestamp,loss_boundary,_step,l2_error,time,_runtime,loss_interior,loss,step
1713987646.1009386,1.492330158055808,0,1.5301968256585026,1.709947109222412,5.805922508239746,120.66585864667057,122.15818880472638,0
1713987646.3953922,1.3850691024982398,1,1.3649616144586656,2.20438814163208,6.100376129150391,120.19079120122319,121.57586030372143,1
1713987646.688176,1.075160994788234,2,1.1985927532295113,2.497499465942383,6.393159866333008,112.11375295738158,113.18891395216981,2
1713987646.984215,0.8288637740039986,3,0.9583066831581586,2.793501377105713,6.689198970794678,95.86818782181153,96.69705159581552,3
1713987647.2786462,0.5572080520496454,4,0.9080472366931635,3.0876777172088623,6.983630180358887,78.62632659339907,79.18353464544872,4
1713987647.5709639,0.5046968028367987,5,0.847511999003609,3.3785948753356934,7.27594780921936,70.8806165890693,71.38531339190611,5
1713987647.8679411,0.43097617719943104,6,0.7325166041779543,3.6772689819335938,7.572925090789795,64.90673469935612,65.33771087655555,6
1713987648.1606274,0.3394366599943821,7,0.6817672650090214,3.9699740409851074,7.86561131477356,59.162968663866096,59.50240532386048,7
1713987648.4433064,0.29029545202345797,8,0.6388306832950847,4.252342700958252,8.148290395736694,55.19280391334231,55.48309936536577,8
1713987648.7346961,0.2649168035156672,9,0.5994091491846479,4.544069051742554,8.439680099487305,52.94735252942909,53.21226933294476,9
1713987649.0258772,0.23632636972183857,10,0.5563738604616552,4.834972620010376,8.730861186981201,50.634021041162526,50.870347410884364,10
1713987649.321868,0.21013871883707128,11,0.5346292919781621,5.131024360656738,9.026851892471313,48.26610311214761,48.476241830984684,11
1713987649.6069674,0.19720930367621953,12,0.462445310348675,5.416186571121216,9.311951398849487,47.091911361438896,47.289120665115114,12
1713987649.8964446,0.15565408859273158,13,0.4439335409123314,5.705329895019531,9.601428508758545,42.32762267484355,42.48327676343629,13
1713987650.1893003,0.1490397362285525,14,0.435003730730346,5.9984235763549805,9.89428424835205,41.45965127516394,41.608691011392494,14
1713987650.774093,0.13809775077649994,15,0.3915147341994231,6.583419561386108,10.479076862335205,37.3796170418531,37.517714792629604,16
1713987651.0631797,0.126195840791804,16,0.38637398691069136,6.872488737106323,10.768163681030273,36.6297004733743,36.7558963141661,17
1713987651.3593786,0.12315578809212498,17,0.38284843613757746,7.168432712554932,11.064362525939941,36.014723355353944,36.13787914344607,18
1713987651.9446263,0.11931564217043943,18,0.3736162745672622,7.7535998821258545,11.6496102809906,35.48780265618561,35.60711829835605,20
1713987652.2350378,0.11812526172102887,19,0.3685678893411481,8.044245481491089,11.940021753311157,35.231780699673834,35.34990596139486,21
