loss,time,l2_error,_step,_timestamp,loss_boundary,loss_interior,_runtime,step
122.15818880472638,0.989121675491333,1.5110119281604464,0,1713917321.8857784,1.492330158055808,120.66585864667057,5.320934534072876,0
125.94778956454033,1.3544297218322754,1.638284024139061,1,1713917321.9006743,1.3434732888145322,124.6043162757258,5.335830450057983,1
123.20798076975957,1.3676371574401855,2.2208705206098474,2,1713917321.9144952,1.5922556680724451,121.61572510168713,5.349651336669922,2
123.22531525619857,1.3808434009552002,1.5936131843124832,3,1713917321.928034,2.6206321358836795,120.60468312031489,5.363190174102783,3
122.10839901812027,1.394498586654663,2.124297544044825,4,1713917321.941527,1.5112918516238139,120.59710716649646,5.376682996749878,4
123.15247060468269,1.4081096649169922,1.9170680088840255,5,1713917321.9548905,2.55536800743185,120.59710259725084,5.3900465965271,5
122.71761933642865,1.421311378479004,1.5766119705625459,6,1713917321.9684289,2.120516739007043,120.59710259742161,5.403584957122803,6
122.07154194717127,1.4349615573883057,1.8453552500940522,7,1713917321.9819696,1.474439349766248,120.59710259740503,5.417125701904297,7
122.48353895718644,1.4483885765075684,1.9875158861705204,8,1713917321.9953058,1.8864363597232496,120.59710259746319,5.430461883544922,8
122.74383540716764,1.4612553119659424,1.738185957755339,9,1713917322.0084822,2.1467328097193623,120.59710259744827,5.443638324737549,9
122.30249547392565,1.4747645854949951,1.578411818505883,10,1713917322.0218513,1.7053928764904371,120.59710259743521,5.45700740814209,10
122.07687674875055,1.488182544708252,1.7401433077857138,11,1713917322.036965,1.479774151322185,120.59710259742836,5.472121000289917,11
122.49098747179032,1.5126919746398926,1.6497299875202474,12,1713917322.0579724,1.8938848743619061,120.59710259742842,5.493128538131714,13
122.21161436349365,1.524200201034546,1.5831606162437628,13,1713917322.0696926,1.6145117660640782,120.59710259742957,5.5048487186431885,14
122.07337444320198,1.536311149597168,1.7116472413082846,14,1713917322.081585,1.4762718457718524,120.59710259743014,5.516741037368774,15
122.34940287876779,1.5564923286437988,1.658083164970927,15,1713917322.1019607,1.7523002813372814,120.5971025974305,5.537116765975952,17
122.17702546457406,1.568070888519287,1.576367428242063,16,1713917322.113586,1.5799228671435765,120.59710259743048,5.548742055892944,18
122.18243169768239,1.5880024433135986,1.6746229163581188,17,1713917322.1334689,1.5853291002519723,120.59710259743042,5.568624973297119,20
122.14999718123877,1.6078181266784668,1.577293967911542,18,1713917322.153306,1.5528945838081778,120.59710259743059,5.5884621143341064,22
122.13936592123713,1.627824068069458,1.6699191910083013,19,1713917322.1731377,1.542263323806233,120.59710259743089,5.608293771743774,24
122.12525206507394,1.6479063034057617,1.5769890063922738,20,1713917322.1932552,1.5281494676429217,120.59710259743102,5.628411293029785,26
122.15344992888946,1.6758720874786377,1.5911961381614717,21,1713917322.2213442,1.5563473314583003,120.59710259743116,5.656500339508057,29
