_timestamp,loss_interior,step,loss,time,_step,l2_error,_runtime,loss_boundary
1713958173.370553,120.66585864667057,0,122.15818880472638,1.519345998764038,0,1.5127136540928332,7.55536413192749,1.492330158055808
1713958173.517776,119.42813428382152,1,120.78155762364857,2.7074244022369385,1,0.9949947519084104,7.702587127685547,1.3534233398270528
1713958173.6520226,83.36311387533452,2,83.96704024062572,2.8416662216186523,2,0.9627106518942647,7.836833715438843,0.6039263652911941
1713958173.785753,72.47486097240355,3,73.03658997936384,2.9753458499908447,3,0.8896013409628112,7.970564126968384,0.5617290069602877
1713958173.9242654,64.4944563861267,4,64.99052366376714,3.1119093894958496,4,0.761011118071206,8.109076499938965,0.49606727764043945
1713958174.1037474,55.233431767449964,5,55.580334810252104,3.2933199405670166,5,0.853458192810225,8.28855848312378,0.3469030428021389
1713958174.2423704,44.31197742271955,6,44.778653005233274,3.431699752807617,6,0.7726259843263047,8.427181482315063,0.46667558251372415
1713958174.3859656,37.433836744833656,7,37.82891717150549,3.575491189956665,7,0.8645679614437835,8.57077670097351,0.395080426671831
1713958174.5177894,30.438571110780344,8,30.93639503154574,3.70737624168396,8,0.8623790329846589,8.702600479125977,0.49782392076539345
1713958174.6497815,24.387854055145144,9,24.893669394146134,3.839437484741211,9,0.9133396653668512,8.834592580795288,0.5058153390009889
1713958174.7812846,20.73127326485274,10,21.297487575482215,3.9707911014556885,10,0.9260005215578284,8.966095685958862,0.5662143106294778
1713958174.910209,17.9399209871011,11,18.527219057120217,4.099728345870972,11,0.9689772579523943,9.095020055770874,0.5872980700191156
1713958175.0416875,15.776189359473287,12,16.41763519712665,4.2313268184661865,12,0.9736640659715543,9.2264986038208,0.6414458376533612
1713958175.1770427,14.50777484791249,13,15.15574577508613,4.366695880889893,13,1.0251868881253945,9.361853837966919,0.6479709271736392
1713958175.3068948,13.415309949695589,14,14.129819613061219,4.4961512088775635,14,1.0249169334438666,9.491705894470215,0.7145096633656302
1713958175.5635676,11.963267627710922,16,12.7352504588974,4.752929449081421,15,1.069361618413781,9.74837875366211,0.7719828311864797
1713958175.6959567,11.50179671126101,17,12.27586386416377,4.885579824447632,16,1.1246565108591744,9.880767822265625,0.7740671529027593
1713958175.82637,10.5711736418909,18,11.421844007529014,5.016048192977905,17,1.1227924126210973,10.011181116104126,0.8506703656381149
1713958176.0829604,9.51252667231069,20,10.381858013270673,5.272529125213623,18,1.1527674812851385,10.267771482467651,0.869331340959982
1713958176.2147238,8.899022504133754,21,9.790664578275285,5.404347896575928,19,1.1926908782088248,10.399534940719604,0.8916420741415312
1713958176.47124,7.9107530550625995,23,8.826435774615856,5.660811185836792,20,1.1851979592625541,10.65605115890503,0.9156827195532572
1713958176.605866,7.65293512540517,24,8.590955561131153,5.795314788818359,21,1.1813983102661643,10.790677070617676,0.9380204357259827
1713958176.9267628,7.1321684812304555,26,8.077187400408162,6.115973711013794,22,1.1890685463640147,11.111573934555054,0.9450189191777059
1713958177.1828115,6.6073629649741505,28,7.551250299321623,6.372190713882446,23,1.1894840336752657,11.36762261390686,0.9438873343474721
1713958177.562877,5.6279345832139445,31,6.55816989160652,6.752591609954834,24,1.180972662341745,11.747688055038452,0.930235308392575
1713958177.8167486,5.0028591018032245,33,5.905084427184401,7.006359338760376,25,1.164557064780131,12.001559734344482,0.9022253253811767
1713958178.0735738,4.516698539657336,35,5.39907439655656,7.263142347335815,26,1.1506285000407714,12.258384943008423,0.8823758568992242
1713958178.4730132,3.9487585499624935,38,4.803573199032435,7.662503242492676,27,1.1138838372335538,12.657824277877808,0.8548146490699411
1713958178.912807,3.3688742882731724,41,4.166919721038791,8.101902961730957,28,1.0917451615654892,13.097618103027344,0.7980454327656191
1713958179.4120748,3.0546115610074835,44,3.8220317784386197,8.60166335105896,29,1.0675495873150362,13.596885919570923,0.7674202174311362
1713958179.9698803,2.737962767707344,48,3.46472789822635,9.15783166885376,30,1.0381381326965138,14.154691457748413,0.726765130519006
1713958180.3768988,2.5570548322640874,51,3.2590768121561027,9.56632685661316,31,1.0205529475000186,14.561709880828857,0.7020219798920152
1713958180.929095,2.3380406247326344,55,3.006866265132653,10.116321325302124,32,0.9966128788695451,15.113906145095825,0.6688256404000188
1713958181.4398766,2.15286680652505,59,2.7924453775199014,10.62945008277893,33,0.9680565977339372,15.624687671661377,0.6395785709948518
1713958182.0837631,1.9182095172731466,64,2.5194737342898583,11.272107601165771,34,0.9346457249621769,16.268574237823486,0.6012642170167116
1713958182.7522013,1.6893741194785676,69,2.247033919716211,11.941347599029541,35,0.9111314116849986,16.937012434005737,0.5576598002376434
1713958183.3908954,1.518672326930091,74,2.046025772780862,12.580367803573608,36,0.883790684220441,17.575706481933594,0.527353445850771
1713958184.1513498,1.3502695830907088,80,1.844514360880211,13.340940713882446,37,0.8526616372312589,18.336160898208618,0.4942447777895023
1713958184.9344232,1.223612087626738,86,1.6900261351614168,14.123883724212646,38,0.8284371835467479,19.119234323501587,0.46641404753467886
1713958185.8281405,1.0993102707667748,93,1.537843892672337,15.017445087432861,39,0.8019566064734046,20.012951612472534,0.4385336219055622
1713958186.734241,0.9998114457035954,100,1.4124721482033962,15.923729181289673,40,0.7772754547378369,20.919052124023438,0.4126607024998008
1713958187.6527984,0.9128844660587133,107,1.3023440104872972,16.84235906600952,41,0.7504744112558531,21.83760952949524,0.3894595444285839
1713958188.7533834,0.721079525332652,115,1.048431063050329,17.942559003829956,42,0.6821820213823075,22.938194513320923,0.32735153771767705
