l2_error,loss_interior,_step,time,_runtime,_timestamp,loss_boundary,loss,step
1.58549126455354,120.66585864667057,0,1.0076484680175781,5.138267278671265,1713936499.1908894,1.492330158055808,122.15818880472638,0
1.584492070184971,120.65899722945313,1,1.3956263065338135,5.1689043045043945,1713936499.2215264,1.4913233283071659,122.1503205577603,1
1.5830783507950652,120.64601654265844,2,1.4089484214782715,5.183790683746338,1713936499.2364128,1.489421174312021,122.13543771697047,2
1.581301046459611,120.62760962920532,3,1.4225397109985352,5.197964429855347,1713936499.2505865,1.486730665421796,122.11434029462713,3
1.5792037650405186,120.60438337322041,4,1.4366815090179443,5.211986541748047,1713936499.2646086,1.4833493723064168,122.08773274552684,4
1.5768206941833842,120.57682107340831,5,1.4493701457977295,5.22483491897583,1713936499.277457,1.4793608192569807,122.0561818926653,5
1.5741748798397328,120.54524806220738,6,1.4624052047729492,5.237793684005737,1713936499.2904158,1.4748304582210436,122.02007852042843,6
1.571276827454862,120.509800882975,7,1.4754714965820312,5.250890016555786,1713936499.303512,1.4698023959517075,121.9796032789267,7
1.5681232951596542,120.47039818249877,8,1.4885189533233643,5.263936996459961,1713936499.316559,1.4642967838811858,121.93469496637995,8
1.564696084003268,120.42670957476149,9,1.5015044212341309,5.27701735496521,1713936499.3296394,1.4583076155734902,121.88501719033498,9
1.5609605780188276,120.37811702689757,10,1.515958309173584,5.290227174758911,1713936499.3428493,1.451800558976787,121.82991758587436,10
1.5568637317614853,120.32366139446083,11,1.529327630996704,5.305375576019287,1713936499.3579977,1.4447103601785247,121.76837175463935,11
1.5472625725011417,120.19110851276727,12,1.5538341999053955,5.328807353973389,1713936499.3814294,1.42834177295275,121.61945028572002,13
1.541525555418773,120.10846108863709,13,1.567617654800415,5.343002557754517,1713936499.3956246,1.4187368458716765,121.52719793450876,14
1.534945320790402,120.01039194621782,14,1.5820035934448242,5.3571929931640625,1713936499.409815,1.4078762926655286,121.41826823888336,15
1.5182457976553396,119.74559364074025,15,1.6044676303863525,5.379967212677002,1713936499.4325893,1.3809951134410754,121.12658875418133,17
1.5073811079968853,119.56113684968962,16,1.6175875663757324,5.39306902885437,1713936499.445691,1.3639815157371982,120.92511836542681,18
1.477426646341564,119.00490355997839,17,1.640143871307373,5.413975238800049,1713936499.4665973,1.3188386768192226,120.32374223679761,20
1.4274173393413225,117.93508770854487,18,1.6597347259521484,5.433526277542114,1713936499.4861484,1.2489367958682376,119.1840245044131,22
1.3288857989740666,115.38660375826917,19,1.6793944835662842,5.453164339065552,1713936499.5057864,1.1284886182760578,116.51509237654523,24
1.1066120168360134,106.76513442848677,20,1.6990535259246826,5.4728639125823975,1713936499.525486,0.8942604625304541,107.65939489101723,26
1.888987963391185,89.32645655380125,21,1.7271146774291992,5.501117467880249,1713936499.5537395,0.6389035669227824,89.96536012072403,29
0.9064732926001333,104.41140137721865,22,1.7468430995941162,5.520564556121826,1713936499.5731866,0.8885148415407923,105.29991621875945,31
1.1193521029366837,84.35332792845831,23,1.774562120437622,5.5483644008636475,1713936499.6009865,1.049100895806244,85.40242882426456,34
1.5919404542809723,73.17745334116827,24,1.8022375106811523,5.576077222824097,1713936499.6286993,1.0425478490712454,74.22000119023951,37
1.7356894515467813,47.94371324059972,25,1.839249610900879,5.6128997802734375,1713936499.6655219,0.6984281533292351,48.64214139392895,41
1.570879801853795,32.076891724633875,26,1.878382921218872,5.651926755905151,1713936499.7045488,0.7832833158184589,32.86017504045233,45
1.4698793514960287,46.089594581204075,27,1.9159948825836182,5.6898276805877686,1713936499.7424498,0.41632165292420453,46.50591623412828,49
0.9859914995258052,17.201626291287745,28,1.9603471755981445,5.734311580657959,1713936499.7869337,1.4484057061181548,18.6500319974059,54
1.2031893546553238,17.113511572089543,29,2.0043413639068604,5.778233766555786,1713936499.8308558,2.3268331690868878,19.440344741176432,59
1.128096962252305,13.106641192478214,30,2.0489745140075684,5.822720527648926,1713936499.8753426,1.4787022870120143,14.585343479490229,64
1.250019863134104,9.850990804402223,31,2.1033201217651367,5.877028703689575,1713936499.9296508,1.955555204421221,11.806546008823444,70
0.9362012281856844,33.3944120990419,32,2.16696834564209,5.940675497055054,1713936499.9932976,0.589602639737842,33.98401473877974,77
0.6827152891569321,12.849017311210174,33,2.231881856918335,6.0051562786102295,1713936500.0577784,0.8935088983413185,13.742526209551492,84
1.3213098443696825,6.871598902959638,34,2.3018829822540283,6.075825214385986,1713936500.1284473,0.8601893373950655,7.731788240354704,92
1.5848728908564196,3.3954778299723163,35,2.371273994445801,6.145180702209473,1713936500.1978028,1.5766707736870658,4.972148603659382,100
1.2465515760230739,2.3144762865634334,36,2.448270797729492,6.22215723991394,1713936500.2747793,1.2388812737988173,3.553357560362251,109
0.7741984409954618,1.751631015918815,37,2.545614004135132,6.319476842880249,1713936500.372099,0.3899829238537462,2.1416139397725615,120
0.41404890081656576,1.0682342143129662,38,2.6394052505493164,6.413370132446289,1713936500.4659922,0.13186965147507096,1.2001038657880372,131
0.23683335007402576,0.6638381422241842,39,2.7406373023986816,6.514607906341553,1713936500.56723,0.04067711713020773,0.704515259354392,143
0.14806305134926695,0.37606822412781227,40,2.8524367809295654,6.626068115234375,1713936500.6786902,0.018023700165299677,0.39409192429311196,156
0.11059977570969869,0.20678416037825165,41,2.9792497158050537,6.753289699554443,1713936500.8059118,0.01171603415910376,0.21850019453735542,171
0.09706103884999168,0.1390786291730498,42,3.113253355026245,6.88727331161499,1713936500.9398954,0.00902820165401289,0.1481068308270627,187
