l2_error,step,_timestamp,loss_boundary,_step,_runtime,loss_interior,loss,time
2.367928343243552,0,1714003668.2291381,1.492330158055808,0,24.12763023376465,120.66585864667057,122.15818880472638,19.249733924865723
1.6651764277037326,1,1714003683.5664196,2.9934328742940695,1,39.464911699295044,117.61403508443236,120.60746795872643,34.96704864501953
1.688476930797119,2,1714003698.4235122,1.6575874965428097,2,54.322004318237305,112.38292248561706,114.04050998215986,49.82457399368286
1.3598780451153254,3,1714003713.0741594,1.7279235260618653,3,68.97265148162842,89.11335657175259,90.84128009781446,64.4751877784729
1.3129463283017158,4,1714003728.7985432,1.0979043124473524,4,84.69703531265259,63.96174216083874,65.0596464732861,80.20025658607483
0.6388813257554359,5,1714003743.3186462,0.9088863017476719,5,99.21713829040527,20.91951940482244,21.828405706570113,94.71785259246826
0.44984239385851044,6,1714003758.8456745,0.2139711988294585,6,114.74416661262512,4.236568783982585,4.450539982812043,110.24537873268127
0.12904201661709438,7,1714003774.4303868,0.09601735746858436,7,130.32887887954712,1.1442861690243078,1.240303526492892,125.83207678794861
0.05169418023881101,8,1714003789.7523534,0.00850323707704974,8,145.65084552764893,0.14548763139038998,0.15399086846743973,141.1526050567627
0.020312142119417186,9,1714003806.3103309,0.0015066541129477075,9,162.20882296562195,0.020868220999576366,0.022374875112524072,157.71198272705078
0.009807555915744767,10,1714003823.2517467,0.00027404835733254045,10,179.1502387523651,0.003077999489106981,0.0033520478464395217,174.6527497768402
0.006164388362820572,11,1714003838.1333857,7.002955193579916e-05,11,194.03187775611877,0.000604403259815201,0.0006744328117510002,189.53480195999146
0.004054261891390165,12,1714003853.159166,2.648882903364981e-05,12,209.0576581954956,0.0001919568120694228,0.0002184456411030726,204.56055092811584
0.0030884028338139823,13,1714003868.2281263,1.181555395723391e-05,13,224.12661838531494,7.443061628907517e-05,8.624617024630908e-05,219.62654876708984
0.0027625310951475664,14,1714003883.249301,6.9408223852873135e-06,14,239.1477930545807,3.1038651129364277e-05,3.797947351465159e-05,234.65100574493408
0.0023194559028909875,16,1714003913.3972116,3.9957589148096955e-06,15,269.2957036495209,8.049241146805399e-06,1.2045000061615095e-05,264.7984917163849
0.0020921280759759373,17,1714003927.4469528,3.046644292245944e-06,16,283.34544491767883,5.062072558867109e-06,8.108716851113054e-06,278.84874868392944
0.001889961100967772,18,1714003941.918228,2.294247465201871e-06,17,297.8167200088501,3.535512279921995e-06,5.829759745123866e-06,293.31973147392273
0.0015808262537818907,20,1714003973.4524038,1.3389224321628917e-06,18,329.35089588165283,2.1769447889287963e-06,3.515867221091688e-06,324.8541820049286
0.0014662785106756577,21,1714003988.8886015,1.0570961108845742e-06,19,344.7870936393738,1.8545307941417176e-06,2.9116269050262918e-06,340.2899191379547
0.0012917792384749994,23,1714004019.468745,7.09691036407521e-07,20,375.36723709106445,1.4742042477243039e-06,2.183895284131825e-06,370.87057638168335
