loss,_runtime,l2_error,loss_interior,step,_timestamp,_step,time,loss_boundary
122.15818470261613,5.832850694656372,1.5860053566011028,120.66585450262039,0,1714776963.2761447,0,1.4628829956054688,1.4923301999957372
122.16212788377408,5.935865640640259,31.984211126529768,120.66980316787088,1,1714776963.3791597,1,1.8253061771392822,1.4923247159031967
654.856714349383,6.033538103103638,1.5983587277256284,120.5970984248132,2,1714776963.4768322,2,1.923579454421997,534.2596159245697
449.5270159115583,6.127830505371094,1.5326432655790037,448.05370479207903,3,1714776963.5711246,3,2.017939805984497,1.4733111194792865
113.61801267951704,6.2192888259887695,1.496282080706561,112.21046392139313,4,1714776963.6625829,4,2.109417200088501,1.4075487581239148
90.92437978913662,6.312705039978027,1.2542829201620809,89.56420910248424,5,1714776963.755999,5,2.202786684036255,1.3601706866523882
75.28168281926773,6.407900810241699,0.9436484986928312,74.32422308981073,6,1714776963.8511949,6,2.295912027359009,0.9574597294569944
53.87380642696463,6.509047031402588,0.9393921683134838,53.26672118366752,7,1714776963.952341,7,2.3989875316619873,0.6070852432971039
40.13865572470921,6.60420036315918,0.9182629954081182,39.52289695401901,8,1714776964.0474944,8,2.494187593460083,0.6157587706901972
34.769142619373355,6.6986188888549805,0.928568920382283,34.16706724541497,9,1714776964.141913,9,2.5886263847351074,0.6020753739583834
27.839934896124372,6.791672229766846,0.9764624311600836,27.213474194940225,10,1714776964.2349663,10,2.681718587875366,0.6264607011841468
22.229574307354156,6.884998083114624,0.997127873812429,21.548442506430543,11,1714776964.3282921,11,2.7750051021575928,0.681131800923612
18.106817910622024,6.978520393371582,0.9156520157713929,17.400920868567294,12,1714776964.4218144,12,2.8680508136749268,0.70589704205473
13.468477057149773,7.072760105133057,0.9181953828504783,12.850409176806142,13,1714776964.5160542,13,2.9627857208251953,0.6180678803436304
10.591379938620747,7.167486190795898,0.9157215170265868,9.980863767174942,14,1714776964.6107802,14,3.0574681758880615,0.6105161714458056
8.946674098548465,7.2635979652404785,0.9250710525894186,8.334166471981408,15,1714776964.706892,15,3.1535873413085938,0.612507626567057
7.60752146348645,7.357210159301758,0.9431092385444634,6.980456859075869,16,1714776964.8005042,16,3.2472639083862305,0.6270646044105808
6.849939864744822,7.449891090393066,0.9706541190023273,6.19975963096081,17,1714776964.8931851,17,3.3398897647857666,0.6501802337840122
5.886942568974269,7.5449230670928955,0.9561289215705208,5.200226551507572,18,1714776964.988217,18,3.4349091053009033,0.6867160174666967
5.4085068096720725,7.639629125595093,0.9708475953446558,4.73225988687175,19,1714776965.0829232,19,3.5295469760894775,0.676246922800322
4.5842347053264465,7.737622499465942,0.9625487407553228,3.8975979964092797,20,1714776965.1809165,20,3.6276285648345947,0.6866367089171668
4.0967040980004175,7.832337141036987,0.9480998122743907,3.4219769857782047,21,1714776965.2756312,21,3.7222084999084473,0.6747271122222132
3.673481354592841,7.927737474441528,0.9496936144012837,3.021939948725554,22,1714776965.3710315,22,3.8175320625305176,0.6515414058672871
3.349542240147217,8.021695375442505,0.9439412691337858,2.7005760335892783,23,1714776965.4649894,23,3.9115169048309326,0.6489662065579385
3.08462153476363,8.114723682403564,0.9193607483057659,2.442757739492609,24,1714776965.5580177,24,4.00456690788269,0.6418637952710208
2.8379433957231432,8.209583044052124,0.9042046911549972,2.2328581026969427,25,1714776965.652877,25,4.099356651306152,0.6050852930262006
2.566464087670904,8.305588722229004,0.881703581474274,1.9810843030307896,26,1714776965.7488828,26,4.195349216461182,0.5853797846401148
2.370446309397832,8.40235948562622,0.8805010124190701,1.8058627195051682,27,1714776965.8456535,27,4.291638374328613,0.5645835898926641
2.1878888916345,8.504483938217163,0.8793475474459471,1.6274926228553204,28,1714776965.947778,28,4.393779277801514,0.5603962687791798
1.9763411829570257,8.599235773086548,0.8721967217658372,1.4170714044178485,29,1714776966.0425298,29,4.488550662994385,0.5592697785391771
1.8663435446230647,8.694531202316284,0.868375562128205,1.3120265593149971,30,1714776966.1378253,30,4.583837032318115,0.5543169853080676
1.7384510363341386,8.790164709091187,0.8478918400268989,1.1903772877430243,31,1714776966.2334588,31,4.679360866546631,0.5480737485911142
1.593955248477468,8.896123886108398,0.8290361093245261,1.0688243958414794,32,1714776966.339418,32,4.786077499389648,0.5251308526359886
1.4898732920694946,8.990553140640259,0.8151347576505753,0.9864393771903159,33,1714776966.4338472,33,4.8804826736450195,0.5034339148791787
1.4195279652892305,9.083338260650635,0.7992946069899516,0.9323633285458377,34,1714776966.5266323,34,4.973347187042236,0.4871646367433929
1.3353731948027863,9.18046522140503,0.7769837903365684,0.8676781808476897,35,1714776966.6237593,35,5.070449352264404,0.46769501395509655
1.2374099055567989,9.274785041809082,0.7574424741272198,0.7931380642718637,36,1714776966.718079,36,5.1647629737854,0.444271841284935
1.1342275503349155,9.369195461273193,0.7321259325411413,0.713882852446344,37,1714776966.8124895,37,5.259178400039673,0.42034469788857143
1.0280773430091374,9.466922044754028,0.7105477910181065,0.633533753407511,38,1714776966.910216,38,5.356877565383911,0.39454358960162655
0.9515290077187742,9.564481258392334,0.6937299703764273,0.5785180778294468,39,1714776967.0077753,39,5.454443454742432,0.3730109298893275
0.874681623952442,9.668707132339478,0.6787868395300993,0.520523950862096,40,1714776967.1120012,40,5.558716058731079,0.354157673090346
0.7514257724626933,9.846644401550293,0.6427590757494813,0.43088654198908005,42,1714776967.2899384,41,5.736692428588867,0.3205392304736132
0.5537632609782122,10.208777666091919,0.5835931754098413,0.2861047529698641,46,1714776967.6520717,42,6.098036766052246,0.267658508008348
