loss_boundary,loss_interior,loss,step,_step,time,_runtime,l2_error,_timestamp
1.4923301999957372,120.66585450262039,122.15818470261613,0,0,1.6427361965179443,6.353398561477661,1.5301968280413398,1714574208.2780795
1.3850691339406063,120.19078687517462,121.57585600911523,1,1,2.509066343307495,6.716930627822876,1.3649614835738786,1714574208.6416116
1.0751608984812415,112.11373980541849,113.18890070389973,2,2,2.8700873851776123,7.077803373336792,1.1985926533697542,1714574209.0024843
0.8288635982832244,95.86817669262776,96.69704029091098,3,3,3.2340357303619385,7.44165301322937,0.9583067820489756,1714574209.366334
0.5572081774407641,78.62633406070606,79.18354223814683,4,4,3.594477891921997,7.80356502532959,0.9080472600726867,1714574209.728246
0.504696872750839,70.88063030201668,71.38532717476753,5,5,3.945072650909424,8.152654886245728,0.847512157370722,1714574210.0773358
0.430976297423447,64.90674647062293,65.33772276804638,6,6,4.272725820541382,8.480281591415405,0.7325168176244885,1714574210.4049625
0.3394368654731935,59.162998124327366,59.50243498980056,7,7,4.605889320373535,8.813490390777588,0.6817674839150984,1714574210.7381713
0.2902956012259555,55.19282054271645,55.483116143942404,8,8,4.9757325649261475,9.183544158935547,0.6388307791401525,1714574211.108225
0.2649169002566197,52.947368325630805,53.21228522588743,9,9,5.331766366958618,9.539585828781128,0.5994092927213706,1714574211.4642668
0.23632647188899683,50.63403543827209,50.87036191016109,10,10,5.672077894210815,9.879587650299072,0.556373871399567,1714574211.8042686
0.21013875116621406,48.26611200413789,48.4762507553041,11,11,5.987505197525024,10.195135354995728,0.5346294023558203,1714574212.1198163
0.19720937715091832,47.091923453452566,47.289132830603485,12,12,6.312637805938721,10.520121812820435,0.462445164886007,1714574212.4448028
0.155654066432021,42.32762280043189,42.48327686686391,13,13,6.660596609115601,10.868063926696777,0.443933647157463,1714574212.7927449
0.14903979505955492,41.45966076532337,41.60870056038293,14,14,7.014701843261719,11.22240662574768,0.43500345060294054,1714574213.1470876
0.1441536618179153,38.550730402206185,38.6948840640241,15,15,7.347894906997681,11.555286169052124,0.4199712156280564,1714574213.479967
0.1380978195085125,37.37962449235923,37.517722311867736,16,16,7.683734893798828,11.891382932662964,0.3915144486137126,1714574213.816064
0.12619578429609196,36.62969009365131,36.75588587794741,17,17,8.025337934494019,12.2329261302948,0.3863739285795865,1714574214.157607
0.12315578450150551,36.01472480400655,36.137880588508054,18,18,8.371769666671753,12.579204320907593,0.3828484695062811,1714574214.5038853
0.1218287348456991,35.783324067923125,35.905152802768825,19,19,8.738908290863037,12.946907043457031,0.3772894142939273,1714574214.871588
0.11931561416005172,35.4878017818554,35.607117396015454,20,20,9.109694719314575,13.317157983779907,0.3736162856580458,1714574215.241839
0.11812527548808967,35.23178600435894,35.34991127984703,21,21,9.444353103637695,13.651994705200195,0.368567683693724,1714574215.5766757
0.11549968694807641,34.79862433298912,34.9141240199372,22,22,9.776220321655273,13.98372220993042,0.36368001366289143,1714574215.9084032
0.11415884250933547,34.431828499338735,34.54598734184807,23,23,10.112865924835205,14.32076382637024,0.35963207079211795,1714574216.2454448
0.11168374603407094,33.74654514086389,33.858228886897955,24,24,10.451644659042358,14.659261703491211,0.35154990364332334,1714574216.5839427
0.10963288868362286,33.169774885655954,33.279407774339575,25,25,10.796288251876831,15.00434160232544,0.339132662057857,1714574216.9290226
0.10523840625112069,32.117285283409366,32.222523689660484,26,26,11.143312454223633,15.350735902786255,0.3440935837434292,1714574217.2754169
0.10540721581336208,31.244656410367497,31.35006362618086,27,27,11.480197668075562,15.68794059753418,0.3354529089278635,1714574217.6126215
0.10376534348449071,31.05241693439922,31.15618227788371,28,28,11.814682722091675,16.022120475769043,0.33978680852266424,1714574217.9468014
0.10520013967130885,30.931322289258716,31.036522428930024,29,29,12.183822870254517,16.3917498588562,0.33479457170220916,1714574218.3164308
0.10366649361084171,30.826395570309415,30.930062063920257,30,30,12.528366088867188,16.736074447631836,0.33775604369550355,1714574218.6607554
0.1046713642626797,30.723593843334168,30.828265207596846,31,31,12.862086296081543,17.06992793083191,0.33461639638793395,1714574218.9946089
0.10368898156756859,30.629817277043074,30.733506258610642,32,32,13.226325750350952,17.433785438537598,0.3393513057046897,1714574219.3584664
0.1051744349561798,30.506532424988215,30.611706859944395,33,33,13.559708833694458,17.767375230789185,0.3334764741081723,1714574219.6920562
0.10334703567361504,30.396570212569173,30.499917248242788,34,34,13.904872417449951,18.112374782562256,0.3363686712583706,1714574220.0370557
0.10428427464515119,30.298393005564307,30.40267728020946,35,35,14.255577564239502,18.463035821914673,0.3326992045164184,1714574220.3877168
0.10311447840976064,30.194401105662553,30.297515584072315,36,36,14.599647045135498,18.80731773376465,0.33681531335921977,1714574220.7319987
0.10442807869077601,30.07480600274416,30.179234081434938,37,37,14.93908429145813,19.146550178527832,0.3330542305563109,1714574221.0712311
0.10330330435372409,29.984477926538947,30.08778123089267,38,38,15.357032537460327,19.56450653076172,0.3378069086481735,1714574221.4891875
0.10474825227822028,29.86947040580001,29.97421865807823,39,39,15.681590557098389,19.88922095298767,0.3324717509318816,1714574221.813902
0.10315816765647616,29.76755747708598,29.870715644742457,40,40,16.00302243232727,20.21046280860901,0.3391601875148559,1714574222.1351438
0.1030613619321862,29.559105779746737,29.662167141678925,42,41,16.707033157348633,20.9147047996521,0.33492079210378556,1714574222.8393857
0.10309334519784943,29.154421609993594,29.257514955191443,46,42,18.054027318954468,22.261794090270996,0.33529361169554683,1714574224.186475
0.10330247558242667,28.758144110947356,28.861446586529784,50,43,19.453295707702637,23.661367654800415,0.3358602647780496,1714574225.5860486
