l2_error,loss,step,_timestamp,time,loss_boundary,loss_interior,_step,_runtime
2.3679283443496764,122.15818470261613,0,1714578693.6048107,12.21115493774414,1.4923301999957372,120.66585450262039,0,16.425323724746704
1.665176408223623,120.60746278712473,1,1714578705.5893865,24.568389415740967,2.993432707179858,117.61403007994487,1,28.409899473190308
1.6884767707765491,114.04050362253426,2,1714578716.8030643,35.780935764312744,1.657587449945595,112.38291617258866,2,39.6235773563385
1.3598777814174894,90.84127274258203,3,1714578727.9179459,46.89693832397461,1.727923243891151,89.11334949869088,3,50.73845887184143
1.312939607836031,65.05964778720511,4,1714578738.788638,57.765528440475464,1.0979041220538752,63.96174366515124,4,61.609151124954224
0.6388328615521709,21.828401461464964,5,1714578749.6386573,68.6176221370697,0.9088772144027896,20.919524247062174,5,72.4591703414917
0.4498032161522219,4.450398673018801,6,1714578760.4881904,79.46710181236267,0.21394052791855644,4.2364581451002445,6,83.30870342254639
0.1290262216762447,1.2401579242945024,7,1714578771.3943782,90.37423324584961,0.09600096035318208,1.1441569639413203,7,94.21489119529724
0.05169314438354418,0.15396683861881946,8,1714578782.1405625,101.11917972564697,0.008501401549851762,0.1454654370689677,8,104.9610755443573
0.02031279432297323,0.022372342627254682,9,1714578793.0341055,112.01277089118958,0.0015066227302227733,0.02086571989703191,9,115.85461854934692
0.009807293207892677,0.0033518140636533966,10,1714578805.2569926,124.2358295917511,0.0002740639929368373,0.0030777500707165595,10,128.0775055885315
0.006163917575786586,0.0006743651341222586,11,1714578816.0485816,135.0273859500885,7.002715015056796e-05,0.0006043379839716906,11,138.86909461021423
0.004054051762166533,0.00021840088643316068,12,1714578827.4767048,146.45566868782043,2.6486430956797036e-05,0.00019191445547636364,12,150.29721784591675
0.003088420232126529,8.622396652670893e-05,13,1714578838.529422,157.508216381073,1.1815098885062745e-05,7.440886764164619e-05,13,161.34993505477905
0.002762540007251858,3.7971201897317786e-05,14,1714578849.7670949,168.7459089756012,6.941071345028837e-06,3.103013055228895e-05,14,172.58760786056519
0.0025488057097177194,1.9778591784444242e-05,15,1714578861.2100267,180.18885135650635,5.14403175364513e-06,1.4634560030799113e-05,15,184.03053975105286
0.002319365402275149,1.2044187636649459e-05,16,1714578872.597438,191.57690453529358,3.995702291337241e-06,8.048485345312217e-06,16,195.41795110702515
0.0020920350519159003,8.108533474046067e-06,17,1714578883.8053224,202.7846188545227,3.046532029449145e-06,5.0620014445969225e-06,17,206.62583541870117
0.0018898815665700343,5.8297914930555755e-06,18,1714578894.9799068,213.95881533622742,2.2941582931115214e-06,3.535633199944054e-06,18,217.80041980743408
0.0017202147357974582,4.421307465053982e-06,19,1714578906.3370883,225.3165910243988,1.7369149482675212e-06,2.6843925167864604e-06,19,229.15760135650635
0.0015807865213296687,3.516002516742646e-06,20,1714578917.696768,236.67595982551575,1.3389222845191723e-06,2.1770802322234737e-06,20,240.51728105545044
0.0014662428201863854,2.911777277226219e-06,21,1714578928.9902728,247.96967148780823,1.0571273997867466e-06,1.8546498774394722e-06,21,251.81078577041626
0.001371311183468645,2.490830338407482e-06,22,1714578940.0600781,259.0395188331604,8.558963681054842e-07,1.6349339703019977e-06,22,262.8805911540985
0.0012917510156165155,2.1840174830932195e-06,23,1714578951.2831042,270.262663602829,7.097275204546957e-07,1.4742899626385237e-06,23,274.1036171913147
0.0012228168301394958,1.9506477564846575e-06,24,1714578962.9329352,281.91224217414856,6.014187221952e-07,1.3492290342894576e-06,24,285.75344824790955
0.0011731835579791043,1.7663164250434135e-06,25,1714578974.8200734,293.79882168769836,5.200673793545356e-07,1.2462490456888779e-06,25,297.6405863761902
0.0011355680475253146,1.6359183785635817e-06,26,1714578986.083047,305.0618715286255,4.6572257468589296e-07,1.1701958038776887e-06,26,308.903559923172
0.0011056359969343528,1.5379796235213012e-06,27,1714578997.0511303,316.03064727783203,4.2716537989002315e-07,1.110814243631278e-06,27,319.87164330482483
0.0010807861994347261,1.4604946003657602e-06,28,1714579008.0215073,327.0009055137634,3.9824035003509125e-07,1.062254250330669e-06,28,330.8420202732086
0.0010594291143904782,1.3965208430537785e-06,29,1714579019.0846045,338.06398940086365,3.7546478953358444e-07,1.021056053520194e-06,29,341.90511751174927
0.0010405712714116877,1.3418962880613143e-06,30,1714579030.1946301,349.1737825870514,3.568012208839692e-07,9.85095067177345e-07,30,353.01514315605164
0.0010235757555915176,1.2940357606791637e-06,31,1714579041.6396272,360.61848545074463,3.4101586695772126e-07,9.530198937214424e-07,31,364.4601402282715
0.0010080226482155588,1.251274231556072e-06,32,1714579052.769572,371.74836349487305,3.2733464917414863e-07,9.239395823819235e-07,32,375.59008502960205
0.000993626825387784,1.2125013173004037e-06,33,1714579064.1080165,383.0868158340454,3.152539486224992e-07,8.972473686779044e-07,33,386.9285295009613
0.0009801893103745273,1.1769507156701445e-06,34,1714579075.3615131,394.3400740623474,3.04433857788552e-07,8.725168578815924e-07,34,398.1820261478424
0.0009675666754398798,1.1440768690476514e-06,35,1714579086.903467,405.8828058242798,2.946369459248929e-07,8.494399231227585e-07,35,409.7239799499512
0.0009556527486130647,1.1134781780666702e-06,36,1714579098.4797914,417.4580171108246,2.856913520935063e-07,8.277868259731639e-07,36,421.3003044128418
0.000944365662315361,1.0848506232111131e-06,37,1714579110.0140793,428.9933874607086,2.774687421753364e-07,8.073818810357767e-07,37,432.8345923423767
0.000933641284807751,1.0579570667817879e-06,38,1714579121.707986,440.6873219013214,2.698699112280669e-07,7.880871555537209e-07,38,444.5284991264343
