loss,_runtime,l2_error,loss_boundary,step,_step,_timestamp,loss_interior,time
122.15818470261613,5.421634912490845,1.3632025756025226,1.4923301999957372,0,0,1714569894.5676908,120.66585450262039,1.281585931777954
82.96228583198005,5.6706976890563965,0.5273603277020852,0.9920139902222144,1,1,1714569894.8167536,81.97027184175784,1.7543420791625977
34.07406447505131,5.959646940231323,1.7412298476201464,0.21275111001218722,2,2,1714569895.1057029,33.86131336503912,2.043205499649048
11.242181541679752,6.2889344692230225,1.8240063389410184,2.0704557233793164,3,3,1714569895.4349904,9.171725818300436,2.372141122817993
5.2766108385880255,6.656814336776733,0.4903645562286077,2.2030520434433334,4,4,1714569895.8028703,3.073558795144692,2.740278720855713
1.3511448057137496,7.068645000457764,0.1443716745025738,0.1743511028690622,5,5,1714569896.214701,1.1767937028446873,3.1521151065826416
0.28716942363196496,7.519333124160767,0.0835621761604817,0.015361917915420846,6,6,1714569896.665389,0.2718075057165441,3.602830648422241
0.09635828030102069,7.999624013900757,0.07043858405650313,0.006295009204257256,7,7,1714569897.14568,0.09006327109676343,4.0830559730529785
0.05089342323228521,8.546152353286743,0.06872861298537743,0.004077814411557514,8,8,1714569897.6922083,0.046815608820727696,4.629277944564819
0.03496850882528923,9.11011028289795,0.06285490294840286,0.004059062394041549,9,9,1714569898.2561662,0.03090944643124768,5.193536758422852
0.023916723959583854,9.745433568954468,0.052722691898126874,0.003368335900459673,10,10,1714569898.8914895,0.020548388059124182,5.827457666397095
0.017925881577006166,10.38036584854126,0.04668416861435459,0.002234269051058659,11,11,1714569899.5264218,0.01569161252594751,6.463630676269531
0.014649437606590618,11.0304114818573,0.041179832536883974,0.0017739053632627344,12,12,1714569900.1764674,0.012875532243327882,7.113767623901367
0.012141307483295342,11.672513246536255,0.03688418754087123,0.0013870714805946304,13,13,1714569900.8185692,0.010754236002700712,7.755971431732178
0.010212309282787753,12.353495359420776,0.029501847134365013,0.0011736382425964113,14,14,1714569901.4995513,0.009038671040191341,8.436879396438599
0.00910495693114472,13.002803087234497,0.02960878742833765,0.0008098373238432553,15,15,1714569902.148859,0.008295119607301464,9.086012363433838
0.008225412584839428,13.653885126113892,0.02805378323640966,0.000798014635975177,16,16,1714569902.799941,0.007427397948864252,9.737242937088013
0.007474922198406365,14.291895389556885,0.023630496877993807,0.0007184302624496233,17,17,1714569903.4379513,0.006756491935956742,10.375297784805298
0.006635095595090403,14.932222127914429,0.023961017005637384,0.0005548572968509424,18,18,1714569904.078278,0.00608023829823946,11.015727758407593
0.00578157899544367,15.579886436462402,0.024822196146036698,0.0005812686564640719,19,19,1714569904.7259424,0.005200310338979598,11.663307189941406
0.005311040543721863,16.225224494934082,0.025511029479778312,0.0005964883300733958,20,20,1714569905.3712804,0.004714552213648467,12.308429956436157
0.004926746386256183,16.872432708740234,0.02482795816959385,0.0006246155870766525,21,21,1714569906.0184886,0.004302130799179531,12.95595097541809
0.00461821041174082,17.523730278015137,0.024274766907800952,0.0006195606416164507,22,22,1714569906.6697862,0.003998649770124369,13.607160091400146
0.004276166692174421,18.16398000717163,0.02450188289539773,0.0006080088141205642,23,23,1714569907.310036,0.0036681578780538566,14.24738883972168
0.004005692528953312,18.84969687461853,0.02438628366578528,0.0006195003584978434,24,24,1714569907.9957528,0.0033861921704554684,14.93307375907898
0.003683991808265564,19.51666498184204,0.023566414408800744,0.0006263324041249355,25,25,1714569908.662721,0.0030576594041406284,15.599877119064331
0.003482223850133218,20.16340923309326,0.022250456109301257,0.000591008698639233,26,26,1714569909.3094652,0.0028912151514939853,16.24678659439087
0.0032741454395809047,20.84852170944214,0.021855514297391066,0.0005119723614593724,27,27,1714569909.9945776,0.0027621730781215324,16.932020664215088
0.003069800028788896,21.490487813949585,0.02138194575289736,0.00048535988157628613,28,28,1714569910.6365438,0.0025844401472126096,17.57364320755005
0.0028628544191097224,22.12861394882202,0.02085966717455368,0.0004830348116891819,29,29,1714569911.27467,0.0023798196074205405,18.212097644805908
0.0027376882960741893,22.766536951065063,0.019447912293493044,0.00045432529678985576,30,30,1714569911.912593,0.0022833629992843334,18.849977731704712
0.0025669028833414684,23.414081811904907,0.01933208713251076,0.0003792720828259161,31,31,1714569912.5601377,0.002187630800515552,19.49722909927368
0.002409863237283459,24.06603741645813,0.01931200468768848,0.000362074818236602,32,32,1714569913.2120934,0.0020477884190468567,20.147555589675903
0.002280292958252351,24.700823545455933,0.018936221575052634,0.00035594906958352784,33,33,1714569913.8468795,0.0019243438886688232,20.784299612045288
0.0021572838096449508,25.335758924484253,0.019010591049518865,0.0003449022846294648,34,34,1714569914.4818149,0.001812381525015486,21.41925573348999
0.0020442639117537087,25.977860927581787,0.019530519062032976,0.0003477892966789127,35,35,1714569915.1239169,0.0016964746150747961,22.06138300895691
0.001916064644415377,26.62031626701355,0.020018091270561065,0.0003611648946012557,36,36,1714569915.7663722,0.0015548997498141214,22.703763484954834
0.001809173109429328,27.266093254089355,0.020112256380857445,0.0003691895434535064,37,37,1714569916.4121492,0.0014399835659758217,23.349558115005493
0.0017220515053383363,27.910977840423584,0.020001081228437422,0.00036917482567717154,38,38,1714569917.0570338,0.0013528766796611648,23.99438977241516
0.0016486679973617582,28.549423217773438,0.020127416531695877,0.00036031987439584013,39,39,1714569917.6954792,0.0012883481229659182,24.632691621780396
0.0015734151227237384,29.21220064163208,0.0198333404625977,0.00036370075468692944,40,40,1714569918.3582566,0.001209714368036809,25.295560359954834
