l2_error,time,_timestamp,loss_boundary,_step,_runtime,loss,step,loss_interior
1.5860199160821353,2.2105681896209717,1714776872.8139179,1.4923301999957372,0,8.208777904510498,122.15818470261613,0,120.66585450262039
3.3227466474294585,3.21907114982605,1714776872.9628146,1.4923299529414575,1,8.357674598693848,122.15818277249937,1,120.66585281955791
2.5457488738352447,3.3175911903381348,1714776873.0606873,5.55083793828543,2,8.455547332763672,823.5084352768768,2,817.9575973385913
1.825795404990877,3.4134044647216797,1714776873.1562297,3.3071815053612457,3,8.551089763641357,517.2388478071001,3,513.9316663017389
1.644046719906991,3.500833511352539,1714776873.2435832,1.7265012008582998,4,8.638443231582642,296.59708440977755,4,294.87058320891924
1.4044832478623581,3.5906620025634766,1714776873.3336225,1.488442968653721,5,8.728482484817505,145.46030419644,5,143.9718612277863
1.9894472922516604,3.6809966564178467,1714776873.4256155,1.098376352082652,6,8.820475578308105,115.92697824588552,6,114.82860189380287
2.253631973433119,3.770470380783081,1714776873.5139983,2.1431016217762715,7,8.908858299255371,244.9315175766747,7,242.78841595489843
1.4727319933858167,3.860355854034424,1714776873.6037562,2.5690183012197214,8,8.998616218566895,120.23573120872976,8,117.66671290751003
1.160843992861686,3.949765205383301,1714776873.6931136,1.223301638900706,9,9.087973594665527,78.24067246791628,9,77.01737082901558
0.8340019866210984,4.0440192222595215,1714776873.787426,0.7960098027593916,10,9.182286024093628,54.872005762662425,10,54.07599595990303
0.5367906224798714,4.1348042488098145,1714776873.8782494,0.45838775861407155,11,9.273109436035156,50.24847924058766,11,49.79009148197359
0.8567701492510864,4.2292962074279785,1714776873.9728856,0.18270496047309498,12,9.367745637893677,31.82517976947636,12,31.642474809003264
0.6883137252688993,4.3217222690582275,1714776874.0648336,0.4479962170269089,13,9.459693670272827,26.708184485832984,13,26.260188268806075
0.7624617622575587,4.41664457321167,1714776874.1599226,0.3138044806702532,14,9.554782629013062,25.53707903154355,14,25.223274550873295
0.7431988214622589,4.505181074142456,1714776874.2482767,0.36034985133475017,15,9.643136739730835,24.80778713918886,15,24.44743728785411
0.7159172667180339,4.594283819198608,1714776874.3371403,0.4051488701323705,16,9.732000350952148,23.293502688374012,16,22.88835381824164
0.7956573869621003,4.685323715209961,1714776874.4281669,0.3733142069022971,17,9.823026895523071,21.223537994657942,17,20.850223787755645
0.9052882121388224,4.773959159851074,1714776874.516843,0.43442000009640563,18,9.911703109741211,20.971983264771872,18,20.537563264675466
1.0887544800506683,4.864585876464844,1714776874.6074882,0.5270883931430289,19,10.002348184585571,20.045409215252686,19,19.518320822109658
1.0348145804498978,4.954582214355469,1714776874.69748,0.7352002339521111,20,10.092339992523193,19.459152330592495,20,18.723952096640385
1.425889067742251,5.042487621307373,1714776874.785327,0.6997917128275388,21,10.180186986923218,18.344274202642723,21,17.644482489815182
1.7342184836511243,5.1280529499053955,1714776874.8707812,1.2216253151939447,22,10.265641212463379,16.115591545200804,22,14.893966230006859
1.5909547455493396,5.213029384613037,1714776874.9561872,1.7696853553863572,23,10.351047277450562,14.38435690281807,23,12.614671547431712
1.5359432697508544,5.305206298828125,1714776875.0480652,1.5587046776918418,24,10.442925214767456,13.571755011369309,24,12.013050333677468
1.635787043293585,5.406436443328857,1714776875.1496134,1.4698508418957816,25,10.54447340965271,12.475847578109935,25,11.005996736214154
1.5480647528519975,5.4953320026397705,1714776875.2381024,1.6434888868090238,26,10.632962465286255,11.998542834541645,26,10.355053947732621
1.4551893680267747,5.586561441421509,1714776875.3294494,1.5226370387225412,27,10.72430944442749,11.667851588218912,27,10.145214549496371
1.5257368549813362,5.677593946456909,1714776875.4206784,1.3790476201373614,28,10.81553840637207,11.337489698449218,28,9.958442078311856
1.5254992133552836,5.789705991744995,1714776875.5333102,1.4906122010929015,29,10.928170204162598,11.068718169268982,29,9.57810596817608
1.4599828683614022,5.883900165557861,1714776875.627444,1.5099159550226942,30,11.022304058074951,10.875439703463329,30,9.365523748440635
1.4504094825017975,5.976899862289429,1714776875.7203743,1.4087725616805915,31,11.115234375,10.778565984168377,31,9.369793422487787
1.507266562731651,6.069747447967529,1714776875.8132477,1.3815854948840909,32,11.208107709884644,10.456731692429491,32,9.0751461975454
1.4536940122287616,6.16548228263855,1714776875.909045,1.4813434174547828,33,11.303905010223389,10.170858456697127,33,8.689515039242345
1.426281015733725,6.27796483039856,1714776876.0215545,1.4018858284721623,34,11.416414499282837,10.022588605397504,34,8.620702776925341
1.5354182452995726,6.396867036819458,1714776876.139829,1.3502739629150817,35,11.534688949584961,9.70107002893709,35,8.350796066022008
1.5762565935984596,6.497603893280029,1714776876.2405393,1.5251855603803888,36,11.635399341583252,9.445775296776045,36,7.920589736395656
1.5189887927642418,6.585453033447266,1714776876.3282952,1.6144349352911644,37,11.72315526008606,9.120846438240603,37,7.506411502949439
1.5723998146470755,6.702171564102173,1714776876.4462516,1.5171431313695316,38,11.841111660003662,8.972654051609412,38,7.45551092023988
1.6757260997522159,6.8137171268463135,1714776876.5564837,1.591183383561354,39,11.951343774795532,8.608747417325935,39,7.017564033764581
1.5721033637292452,6.917435646057129,1714776876.6604912,1.7853790040636701,40,12.055351257324219,7.932307587956242,40,6.146928583892572
1.4834748293951536,7.1303887367248535,1714776876.87432,1.417836334613324,41,12.269180059432983,7.380829056644765,42,5.962992722031441
1.5162746881030724,7.4940149784088135,1714776877.2377262,1.3567830480929561,42,12.632586240768433,6.832337245515799,46,5.475554197422842
1.4735247399822726,7.8710761070251465,1714776877.614536,1.4938684782607392,43,13.009396076202393,6.157758789069836,50,4.663890310809097
