time,loss_interior,l2_error,_timestamp,loss_boundary,step,loss,_step,_runtime
1.5380325317382812,120.66585864667057,1.5072077217105007,1713945437.9535475,1.492330158055808,0,122.15818880472638,0,5.682125568389893
2.1140382289886475,119.18379757332316,1.1705986602651937,1713945438.1557264,1.3427568393999152,1,120.52655441272307,1,5.884304523468018
2.343919277191162,100.56645400705398,1.0634411367442038,1713945438.3850036,0.7875753283851726,2,101.35402933543915,2,6.113581657409668
2.4732344150543213,92.10078122949209,0.9518113019485689,1713945438.5143778,0.6597118439087354,3,92.76049307340082,3,6.242955923080444
2.603530168533325,67.12121735543721,0.8633932700156166,1713945438.6446152,0.5591784502002733,4,67.68039580563749,4,6.373193264007568
2.740143299102783,63.4386722381905,0.8474869357878799,1713945438.7827153,0.4649720702150352,5,63.90364430840553,5,6.511293411254883
2.900940179824829,59.83817658378094,0.7858050658077923,1713945438.9422202,0.45141339508548606,6,60.28958997886643,6,6.670798301696777
3.0306472778320312,56.151082010478,0.7720997993646589,1713945439.0717976,0.3905545012805337,7,56.54163651175853,7,6.800375699996948
3.1610591411590576,52.611100488592264,0.7570895462477486,1713945439.2022064,0.3886868727646233,8,52.99978736135689,8,6.930784463882446
3.290480852127075,48.52827481024474,0.7324260320064584,1713945439.3316038,0.3682894230506986,9,48.896564233295436,9,7.0601818561553955
3.4198970794677734,44.830440205461905,0.7387904557449027,1713945439.4610012,0.3636597003907706,10,45.194099905852674,10,7.189579248428345
3.5482773780822754,40.91222098290779,0.7839363680625785,1713945439.5895011,0.36965331840255783,11,41.281874301310346,11,7.318079233169556
3.6859803199768066,37.789617281157156,0.7483354155479326,1713945439.7277224,0.4172595334312812,12,38.20687681458844,12,7.456300497055054
3.8204259872436523,34.629441623873085,1.0085890303188856,1713945439.8621752,0.39420642722921645,13,35.0236480511023,13,7.5907533168792725
3.9557595252990723,23.46355896891928,0.9300994442932222,1713945439.9974673,0.6817788097255189,14,24.145337778644798,14,7.726045370101929
4.219141006469727,20.38848372425939,0.9779665257211534,1713945440.2608151,0.6548773631034378,16,21.04336108736283,15,7.98939323425293
4.351516008377075,19.329948942784288,1.1113996416554943,1713945440.3928142,0.6644141517769984,17,19.994363094561287,16,8.121392250061035
4.488738298416138,15.375818609757697,1.1202677494606352,1713945440.5299027,0.8357436805533635,18,16.21156229031106,17,8.258480787277222
4.743250370025635,12.34252408527747,1.2417499443649718,1713945440.784388,0.9360546788768881,20,13.278578764154357,18,8.51296615600586
4.87263035774231,11.465161294374491,1.2159600485290873,1713945440.9138553,1.0436256575190106,21,12.508786951893502,19,8.642433404922485
5.1290106773376465,9.126919449385355,1.3118075088301626,1713945441.170152,1.2121450350495633,23,10.339064484434918,20,8.898730039596558
5.259274959564209,8.784580613475876,1.388820238606546,1713945441.3004932,1.16589030922461,24,9.950470922700486,21,9.02907133102417
5.514786958694458,8.12944767190231,1.54058598243787,1713945441.5560212,1.240388227158505,26,9.369835899060815,22,9.284599304199219
5.780560731887817,5.821510147095757,1.497432135210168,1713945441.8218138,1.4013043026310181,28,7.2228144497267746,23,9.550391912460327
6.180621862411499,4.338314471717566,1.4875206550110436,1713945442.2220771,1.5852273633980947,31,5.92354183511566,24,9.950655221939087
6.442724704742432,3.2410674585628803,1.4599435767240811,1713945442.484041,1.50588103450291,33,4.746948493065791,25,10.212619066238403
6.707759857177734,2.7133363139640556,1.422309069830052,1713945442.7491791,1.341016166615731,35,4.054352480579786,26,10.477757215499878
7.091235637664795,2.2959426756723507,1.3710971386288036,1713945443.1329045,1.3327944659841615,38,3.6287371416565124,27,10.861482620239258
7.476635694503784,2.1923371464287156,1.3786738029238854,1713945443.5180597,1.2405552625448906,41,3.432892408973606,28,11.24663782119751
7.859105110168457,1.9972697294202328,1.331230675095533,1713945443.90043,1.2524370241567517,44,3.2497067535769846,29,11.629008054733276
8.375837802886963,1.8241672746786965,1.3002911560958912,1713945444.4173877,1.186818579965928,48,3.0109858546446246,30,12.145965814590454
8.776378631591797,1.80076283713151,1.278980964766897,1713945444.8180366,1.055827025543282,51,2.856589862674792,31,12.546614646911621
9.28463339805603,1.6290232871258288,1.2357930864332234,1713945445.3260598,0.9992539995980637,55,2.6282772867238924,32,13.054637908935547
9.790079116821289,1.4817000672702911,1.1742143465223402,1713945445.8310683,0.9062310651575675,59,2.3879311324278585,33,13.559646368026733
10.380705118179321,1.2384793788239654,1.1137291812773544,1713945446.4217145,0.8523643625368225,64,2.090843741360788,34,14.15029263496399
10.967831134796143,1.1368592353493623,1.0617762694644193,1713945447.0088491,0.766151641251489,69,1.9030108766008513,35,14.737427234649658
11.557674646377563,1.0381871462165473,1.0012542700472622,1713945447.5986595,0.7088817045026152,74,1.7470688507191625,36,15.327237606048584
12.262759685516357,0.9125240691501767,0.9293746084677604,1713945448.3038762,0.5983370115897673,80,1.5108610807399439,37,16.032454252243042
12.976176977157593,0.8284946556558997,0.8649419094452027,1713945449.0172403,0.5129868648245272,86,1.341481520480427,38,16.745818376541138
13.798690795898438,0.625449398825629,0.6840217059432565,1713945449.8397167,0.32593951061058096,93,0.95138890943621,39,17.568294763565063
14.62656307220459,0.5768352957852128,0.6319654404111466,1713945450.667826,0.28836463297280907,100,0.8651999287580219,40,18.396404027938843
15.45184063911438,0.5300159197866284,0.5944710685006431,1713945451.4928534,0.24983871486814882,107,0.7798546346547772,41,19.221431493759155
16.389336109161377,0.48057788580878724,0.5436585514457838,1713945452.4303772,0.20484997363274635,115,0.6854278594415336,42,20.158955335617065
