loss,loss_boundary,loss_interior,_timestamp,step,_runtime,time,_step,l2_error
122.15818470261613,1.4923301999957372,120.66585450262039,1714569113.3737445,0,5.167938470840454,1.093550443649292,0,1.49185688227297
119.81796247190329,1.3110404148457986,118.5069220570575,1714569113.5315151,1,5.325709104537964,1.456019639968872,1,1.3933963179953168
112.87877604723187,1.026227400695669,111.85254864653619,1714569113.758702,2,5.552896022796631,1.683173656463623,2,1.249984964198761
96.63234888115613,0.7753332049234268,95.8570156762327,1714569114.0196817,3,5.813875675201416,1.9441125392913818,3,1.8171289949391234
64.60446534179361,1.6688291434478706,62.93563619834575,1714569114.3748398,4,6.169033765792847,2.2992637157440186,4,1.776225992352013
37.648620773402946,1.846342929749311,35.802277843653634,1714569114.8181405,5,6.612334489822388,2.742670774459839,5,1.5454021074735178
16.72227969095885,1.5834183378782565,15.138861353080593,1714569115.261778,6,7.055972099304199,3.1850552558898926,6,1.7237574773685314
5.201046509643478,1.9890774464088927,3.211969063234586,1714569115.8121016,7,7.606295585632324,3.7365424633026123,7,1.6571396835884606
2.7110738446243374,1.834767468581456,0.8763063760428818,1714569116.4598515,8,8.254045486450195,4.384366035461426,8,1.5612211689659081
2.081765475593231,1.6498470392984217,0.4319184362948091,1714569117.2464,9,9.040594100952148,5.170884370803833,9,1.3137047741029988
1.478372743160603,1.1772124309845853,0.3011603121760179,1714569118.0883596,10,9.882553577423096,6.012827634811401,10,0.9692736866857339
0.8517893030814988,0.6540485205181147,0.19774078256338415,1714569119.0681612,11,10.86235523223877,6.992659091949463,11,0.5450797737005824
0.4604644049523111,0.20645582130173581,0.2540085836505753,1714569119.8039026,12,11.5980966091156,7.728477239608765,12,0.24562822982329646
0.1484042689542346,0.042584634253034805,0.10581963470119982,1714569121.047857,13,12.842051029205322,8.97241997718811,13,0.11517508770601768
0.04023773660483708,0.010972162208641894,0.029265574396195187,1714569122.095371,14,13.889564990997314,10.019907474517822,14,0.08941539705494055
