_timestamp,loss_boundary,time,loss_interior,_runtime,step,_step,loss,l2_error
1714565387.159324,1.4923301999957372,0.9717209339141846,120.66585450262039,5.25341796875,0,0,122.15818470261613,2.0697571196643714
1714565387.1747746,2.427968763819651,1.1932733058929443,127.31234822602975,5.268868684768677,1,1,129.74031698984942,2.1886229903581893
1714565387.1883433,2.5801801099226633,1.2061381340026855,130.2164273425389,5.282437324523926,2,2,132.79660745246156,1.7754481603473542
1714565387.2020652,1.7612932555091863,1.2200651168823242,122.16560519936661,5.296159267425537,3,3,123.9268984548758,1.5798674366432888
1714565387.2155752,1.4731088427076977,1.2340562343597412,120.59732122685763,5.309669256210327,4,4,122.07043006956533,1.6735810180828583
1714565387.2291658,1.6578025978521573,1.24702787399292,120.59696239835726,5.3232598304748535,5,5,122.25476499620942,1.8866583072097793
1714565387.242684,2.060052384625097,1.2606322765350342,120.59709933995619,5.336777925491333,6,6,122.65715172458128,2.0327162505805587
1714565387.2626243,2.3582143384518575,1.2808964252471924,120.59709894422028,5.356718301773071,7,7,122.95531328267214,2.0595123152674906
1714565387.275945,2.4150751280566882,1.2942516803741455,120.59709845627128,5.370038986206055,8,8,123.01217358432797,1.98400896912582
1714565387.2892156,2.2565893008512057,1.3074681758880615,120.5970984030934,5.383309602737427,9,9,122.8536877039446,1.848009172618039
1714565387.303517,1.9843925643655647,1.320997953414917,120.59709841254958,5.397611141204834,10,10,122.58149097691515,1.7034386383113995
1714565387.3166397,1.7122522502864068,1.334986925125122,120.59709842101279,5.410733699798584,11,11,122.3093506712992,1.602376887653396
1714565387.3296046,1.5278930467799443,1.3478517532348633,120.59709842436679,5.423698663711548,12,12,122.12499147114674,1.5779154458862692
1714565387.3424878,1.4716728798386167,1.3607897758483887,120.59709842526904,5.43658185005188,13,13,122.06877130510766,1.6242595316685613
1714565387.3552873,1.530340712170315,1.3735573291778564,120.59709842535752,5.449381351470947,14,14,122.12743913752783,1.7027420155033421
1714565387.3686051,1.648699246562907,1.3869268894195557,120.59709842525233,5.4626991748809814,15,15,122.24579767181524,1.7700329877313303
1714565387.3811812,1.7577414779881595,1.3996357917785645,120.59709842513655,5.475275278091431,16,16,122.35483990312471,1.7989177656392383
1714565387.393709,1.8063032528764962,1.4121532440185547,120.59709842504844,5.487802982330322,17,17,122.40340167792493,1.7828277807293147
1714565387.4065294,1.7791281841312234,1.4249517917633057,120.5970984249873,5.500623464584351,18,18,122.37622660911852,1.731861461763175
1714565387.4193544,1.6951520571579413,1.4377577304840088,120.59709842494547,5.513448476791382,19,19,122.29225048210341,1.6664306554327344
1714565387.4322336,1.5925259876464248,1.450634241104126,120.59709842491637,5.526327610015869,20,20,122.1896244125628,1.60984393497811
1714565387.4451177,1.5101690413662305,1.4635107517242432,120.59709842489546,5.539211750030518,21,21,122.10726746626169,1.5796248154942292
1714565387.4577906,1.4728562332446082,1.4762647151947021,120.59709842487996,5.551884651184082,22,22,122.06995465812457,1.5800992108618572
1714565387.469819,1.4837975746267873,1.4887049198150635,120.5970984248681,5.563913106918335,23,23,122.08089599949489,1.6015553022403866
1714565387.4814188,1.5263538260057339,1.501702070236206,120.59709842485871,5.575512886047363,24,24,122.12345225086445,1.6272389973269672
1714565387.4934638,1.5736569657994914,1.5130889415740967,120.5970984248512,5.587557792663574,25,25,122.17075539065068,1.6425616198435617
1714565387.5054772,1.601507819152075,1.5250413417816162,120.597098424845,5.599571228027344,26,26,122.19860624399708,1.640817323304658
1714565387.5175705,1.598342190483028,1.5370945930480957,120.59709842483996,5.611664533615112,27,27,122.19544061532298,1.6241842026536313
1714565387.5295992,1.568086555198041,1.549156904220581,120.59709842483579,5.623693227767944,28,28,122.16518498003383,1.601292871133073
1714565387.5417314,1.5258615643325866,1.5613186359405518,120.59709842483234,5.6358253955841064,29,29,122.12295998916493,1.5827906186250533
1714565387.5538366,1.4896899589862183,1.573763370513916,120.59709842482954,5.64793062210083,30,30,122.08678838381576,1.5763546036812572
1714565387.5660317,1.4723024023961553,1.5856411457061768,120.59709842482727,5.660125732421875,31,31,122.06940082722342,1.5832404314294464
1714565387.5781791,1.4763567517230762,1.5978858470916748,120.59709842482545,5.6722731590271,32,32,122.07345517654852,1.598287723867627
1714565387.5944865,1.4946678787936256,1.6145596504211426,120.59709842482398,5.688580513000488,33,33,122.0917663036176,1.6132355156011706
1714565387.606295,1.5148452996054382,1.6259245872497559,120.5970984248229,5.70038914680481,34,34,122.11194372442834,1.621026500029961
1714565387.617861,1.5257540442350799,1.6375985145568848,120.59709842482205,5.7119550704956055,35,35,122.12285246905714,1.618723714944703
1714565387.629433,1.5225075343259806,1.649245023727417,120.59709842482143,5.723526954650879,36,36,122.1196059591474,1.6080969988464082
1714565387.6411252,1.5077800004310806,1.6607980728149414,120.59709842482094,5.735219240188599,37,37,122.10487842525202,1.5941613862444348
1714565387.652765,1.4893514105671979,1.6724944114685059,120.59709842482057,5.746859073638916,38,38,122.08644983538777,1.5825372438649425
1714565387.6644387,1.4756181276758669,1.6842010021209717,120.5970984248203,5.758532762527466,39,39,122.07271655249617,1.57681883305958
1714565387.6760988,1.4714741468884645,1.695796251296997,120.59709842482008,5.770192861557007,40,40,122.06857257170854,1.577195089713402
1714565387.6961374,1.4857532385591004,1.7158517837524414,120.59709842481968,5.790231466293335,42,41,122.08285166337878,1.5844954100307918
1714565387.732734,1.4818417489921225,1.752418041229248,120.5970984248188,5.8268280029296875,46,42,122.07894017381092,1.5766554433370343
