_timestamp,loss_interior,loss,_step,time,_runtime,loss_boundary,step,l2_error
1714845200.0013149,48.79311548923636,48.799294749915575,0,1.5721914768218994,5.745435953140259,0.006179260679215324,0,0.4178751842184387
1714845200.1110785,48.793097504106086,48.79927695491737,1,2.0134286880493164,5.855199575424194,0.006179450811281375,1,0.8721622106135879
1714845200.2128036,26.499929614004024,26.866765315931715,2,2.1143572330474854,5.956924676895142,0.36683570192769277,2,1.9471588324905755
1714845200.3213708,16.788432014825897,18.896091971998544,3,2.222947597503662,6.0654919147491455,2.107659957172645,3,1.3473666378604032
1714845200.4237049,7.3218671335664345,8.609582627945189,4,2.3260338306427,6.167825937271118,1.287715494378755,4,1.069223860560238
1714845200.5322032,4.950091082382084,5.907912078236197,5,2.43375825881958,6.276324272155762,0.957820995854113,5,0.6427042675867118
1714845200.6298335,4.3126197617728845,4.503967760372425,6,2.5314595699310303,6.37395453453064,0.1913479985995399,6,0.5212924259278539
1714845200.7389653,1.469962391942117,1.6832133222778467,7,2.639375686645508,6.483086347579956,0.21325093033572967,7,0.14782425612250438
1714845200.8399167,0.9207174328407486,0.9473884735969069,8,2.7417309284210205,6.584037780761719,0.026671040756158376,8,0.1412183254989581
1714845200.9390867,0.557212415779263,0.5755268073860929,9,2.840850830078125,6.683207750320435,0.018314391606829926,9,0.20109212630449955
1714845201.0343392,0.37601771854644817,0.40540731108143074,10,2.9360880851745605,6.778460264205933,0.029389592534982592,10,0.1892613193979964
1714845201.13683,0.30335679858916087,0.331739786301819,11,3.0379831790924072,6.880951166152954,0.028382987712658153,11,0.1589865927414374
1714845201.2343252,0.24648809308074235,0.2686000466166767,12,3.1364376544952393,6.9784462451934814,0.022111953535934314,12,0.1156287931417424
1714845201.326468,0.19138852723804362,0.2086910680096999,13,3.2291183471679688,7.070589065551758,0.01730254077165628,13,0.11856677740082587
1714845201.4197245,0.12863673676763823,0.14646563596457454,14,3.3223769664764404,7.163845539093018,0.017828899196936303,14,0.11335097860661932
1714845201.5136378,0.10747942949488766,0.1233996918970189,15,3.415445566177368,7.257758855819702,0.015920262402131232,15,0.08518125576678345
1714845201.6112597,0.08162813191298429,0.0919125734843183,16,3.5130422115325928,7.3553807735443115,0.010284441571334018,16,0.06683273155239616
1714845201.7200875,0.05921588374827686,0.06706966051937496,17,3.6218910217285156,7.464208602905273,0.0078537767710981,17,0.05892654437960104
1714845201.8218973,0.04024008279046353,0.04670341081527461,18,3.7236945629119873,7.566018342971802,0.006463328024811081,18,0.058483311260067804
1714845201.9147992,0.03184622659347417,0.03806527343044529,19,3.8174102306365967,7.6589202880859375,0.006219046836971119,19,0.0559738711295895
1714845202.0044117,0.0252200624279813,0.030768399512118776,20,3.9070844650268555,7.748532772064209,0.005548337084137474,20,0.0562463752384272
1714845202.094524,0.018887543739032675,0.023895315368574588,21,3.997204542160034,7.838644981384277,0.005007771629541914,21,0.05661217089475833
1714845202.1847887,0.014159644139266729,0.018847259771083483,22,4.087457180023193,7.928909778594971,0.0046876156318167534,22,0.05483990741469358
1714845202.2788243,0.012054545021820993,0.016502783099577555,23,4.181453466415405,8.022945404052734,0.004448238077756561,23,0.05394893909101333
1714845202.369563,0.01001606034159329,0.014317198115817525,24,4.272207021713257,8.113684177398682,0.004301137774224234,24,0.05102172223478588
1714845202.4472125,0.008002402327148172,0.012059237526724645,25,4.349512338638306,8.191333532333374,0.004056835199576473,25,0.050076713525983856
1714845202.527608,0.006916792062760662,0.010854443020673675,26,4.430341482162476,8.271728992462158,0.003937650957913013,26,0.04956065997197414
1714845202.5996945,0.006104285335105332,0.009921902526703526,27,4.5024659633636475,8.343815565109253,0.0038176171915981945,27,0.04806343783984175
1714845202.6729872,0.005415936064344201,0.009017645891698005,28,4.575775384902954,8.417108297348022,0.0036017098273538033,28,0.047095236337861654
1714845202.7482767,0.004823184446431117,0.008188647442478257,29,4.65102219581604,8.492397785186768,0.00336546299604714,29,0.04667338828120377
1714845202.8251936,0.004038646790928508,0.007255663064062999,30,4.727923631668091,8.56931471824646,0.0032170162731344908,30,0.045013259095307366
1714845202.8982494,0.003464149116944613,0.006462667450809797,31,4.801015853881836,8.642370462417603,0.0029985183338651837,31,0.04493536104562698
1714845202.9710822,0.0031381870969132268,0.006082836794691567,32,4.873780727386475,8.715203285217285,0.002944649697778341,32,0.04244877562582368
1714845203.0517263,0.003027522985358581,0.005768705428495235,33,4.954373359680176,8.795847415924072,0.0027411824431366537,33,0.039879164251054096
1714845203.1307385,0.0027574696605778795,0.005322808393713442,34,5.0333945751190186,8.87485957145691,0.002565338733135562,34,0.03729203920600971
1714845203.2074916,0.0024530172571715714,0.004827578269400487,35,5.110132455825806,8.951612710952759,0.0023745610122289152,35,0.036315393644938035
1714845203.2817218,0.002091859801396834,0.004367520931771509,36,5.184440851211548,9.025842905044556,0.002275661130374674,36,0.03597457021679159
1714845203.3537812,0.0019028181856373247,0.004063641822414732,37,5.256523132324219,9.097902297973633,0.0021608236367774074,37,0.035480227956713496
1714845203.4261634,0.0017451598130837948,0.0038019138684862236,38,5.328948974609375,9.170284509658813,0.002056754055402429,38,0.03486869503206989
1714845203.4985163,0.0018425682045530585,0.0037283171625997896,39,5.401187181472778,9.242637395858765,0.0018857489580467314,39,0.03269420542921052
1714845203.5709443,0.0019407993088599736,0.003538683092937002,40,5.473621129989624,9.315065383911133,0.0015978837840770286,40,0.03288909314662275
1714845203.7315228,0.001040041111789036,0.0025913129449470643,41,5.632075548171997,9.475643873214722,0.0015512718331580281,42,0.03108019033545273
