_step,loss_boundary,loss,loss_interior,step,time,l2_error,_timestamp,_runtime
0,0.006179260679215324,48.799294749915575,48.79311548923636,0,1.1046974658966064,1.9388208669302947,1714526650.45642,5.397594928741455
1,1.1030200282814562,56.30721763548233,55.204197607200875,1,1.3460578918457031,3.0551819028175182,1714526650.4685001,5.409675121307373
2,3.4726992090565463,51.96256673391799,48.489867524861445,2,1.3568925857543945,2.533287690240224,1714526650.4790711,5.420246124267578
3,4.26893641943529,52.75880394429351,48.48986752485822,3,1.3668360710144043,0.8969037831098435,1714526650.4890046,5.430179595947266
4,0.7854582417872841,49.2753257666455,48.48986752485822,4,1.3773753643035889,2.525538005384068,1714526650.499553,5.440727949142456
5,2.2108754291842834,50.700742954042504,48.48986752485822,5,1.3876535892486572,2.183617559145716,1714526650.5097473,5.450922250747681
6,1.545601274994574,50.035468799852794,48.48986752485822,6,1.3975858688354492,0.4834572240797512,1714526650.5197155,5.460890531539917
7,0.3122091763752093,48.80207670123343,48.48986752485822,7,1.4076180458068848,1.5820682220368412,1714526650.5297494,5.470924377441406
8,1.9215324419297495,50.41139996678797,48.48986752485822,8,1.4179339408874512,0.35301229207360896,1714526650.5400922,5.481267213821411
9,0.021810118524775622,48.511677643382995,48.48986752485822,9,1.4282445907592773,2.544629417223617,1714526650.5503197,5.491494655609131
10,2.2514764261880664,50.74134395104629,48.48986752485822,10,1.4385194778442383,1.0626372446935586,1714526650.5606408,5.5018157958984375
11,0.18957299177663794,48.679440516634855,48.48986752485822,11,1.4484093189239502,1.2780090905508588,1714526650.5721474,5.513322353363037
12,1.3606570619570437,49.85052458681526,48.48986752485822,12,1.4601991176605225,0.5835108750861291,1714526650.5823457,5.5235207080841064
13,0.41429611847480785,48.90416364333303,48.48986752485822,13,1.4711544513702393,1.24774624708812,1714526650.593259,5.534434080123901
14,0.32575583788737317,48.81562336274559,48.48986752485822,14,1.4816124439239502,1.5800430398398149,1714526650.6037273,5.544902324676514
15,0.6577438108104012,49.14761133566862,48.48986752485822,15,1.4918015003204346,0.6722565344645561,1714526650.6139677,5.555142641067505
16,0.019868200567654978,48.50973572542588,48.48986752485822,16,1.502305269241333,0.5572995947732577,1714526650.6243842,5.565559148788452
17,0.3869492720179598,48.87681679687618,48.48986752485822,17,1.5125882625579834,0.6000378608523076,1714526650.6346443,5.575819253921509
18,0.4317940878942642,48.92166161275248,48.48986752485822,18,1.5227842330932617,0.5257738501882522,1714526650.644939,5.586113929748535
19,0.0004758932407769004,48.490343418098995,48.48986752485822,19,1.5332932472229004,1.3460406240219764,1714526650.6554365,5.596611499786377
20,0.4122964337359657,48.90216395859419,48.48986752485822,20,1.5444931983947754,0.9988206698174048,1714526650.666646,5.607820987701416
21,0.150800305718969,48.640667830577186,48.48986752485822,21,1.5556097030639648,0.30577124967540725,1714526650.6777205,5.618895530700684
22,0.05068664057763847,48.54055416543586,48.48986752485822,22,1.5666987895965576,0.43524610148802567,1714526650.6888137,5.629988670349121
23,0.26462424648119104,48.75449177133941,48.48986752485822,23,1.5778529644012451,0.3091426431578545,1714526650.6999576,5.641132593154907
24,0.04719529822254205,48.53706282308076,48.48986752485822,24,1.5889935493469238,0.8682699836502666,1714526650.7111423,5.65231728553772
25,0.08472370045444103,48.57459122531266,48.48986752485822,25,1.6001813411712646,1.0626970637523425,1714526650.7223022,5.663477182388306
26,0.18961131302777068,48.67947883788599,48.48986752485822,26,1.6113123893737793,0.6028702788054925,1714526650.7334244,5.6745994091033936
27,0.00734135379585857,48.49720887865408,48.48986752485822,27,1.6221580505371094,0.29902225498455054,1714526650.7438107,5.684985637664795
28,0.10818871398008062,48.5980562388383,48.48986752485822,28,1.6323885917663574,0.3004346554269027,1714526650.7540095,5.6951844692230225
29,0.11134464149403367,48.601212166352255,48.48986752485822,29,1.6424522399902344,0.5516729141952399,1714526650.7641048,5.70527982711792
30,0.0019047632900373247,48.491772288148255,48.48986752485822,30,1.652420997619629,0.9295238455852541,1714526650.774073,5.715247869491577
31,0.11349687755723178,48.60336440241545,48.48986752485822,31,1.6624553203582764,0.7614378992168824,1714526650.7841501,5.725325107574463
32,0.044135819556555246,48.53400334441478,48.48986752485822,32,1.6768946647644043,0.3484031361238564,1714526650.7986064,5.739781379699707
33,0.023597919870925722,48.51346544472914,48.48986752485822,33,1.686967134475708,0.2937320953904303,1714526650.8086224,5.749797344207764
34,0.0906266200495511,48.58049414490777,48.48986752485822,34,1.6971065998077393,0.4231490365148141,1714526650.8187585,5.7599334716796875
35,0.005043175528954592,48.49491070038717,48.48986752485822,35,1.7070133686065674,0.7810001964432387,1714526650.8286912,5.769866228103638
36,0.05064290157079713,48.540510426429016,48.48986752485822,36,1.7168769836425781,0.7699579808502014,1714526650.8384771,5.779652118682861
37,0.04691832287800917,48.536785847736226,48.48986752485822,37,1.7264599800109863,0.4334004807130332,1714526650.8480422,5.789217233657837
38,0.0037300276050531555,48.49359755246327,48.48986752485822,38,1.7360098361968994,0.30147088006683337,1714526650.8575816,5.7987565994262695
39,0.056083345816742666,48.545950870674965,48.48986752485822,39,1.7459452152252197,0.39949418978199847,1714526650.8675175,5.808692455291748
40,0.009000777257488076,48.49886830211571,48.48986752485822,40,1.755873680114746,0.6918712395373542,1714526650.8775034,5.818678379058838
41,0.032934538409037505,48.52280206326726,48.48986752485822,42,1.7727806568145752,0.4624235430859529,1714526650.8944461,5.835621118545532
42,0.01605951204302155,48.50592703690124,48.48986752485822,46,1.8060362339019775,0.6662715951143009,1714526650.9276967,5.868871688842773
43,0.001168590016559982,48.49103611487478,48.48986752485822,50,1.838510274887085,0.6406628573347001,1714526650.960127,5.901302099227905
44,0.00015689032156885783,48.49002441517979,48.48986752485822,55,1.8789339065551758,0.6245010706665763,1714526651.0005763,5.94175124168396
45,0.005230559387633736,48.49509808424585,48.48986752485822,61,1.9286561012268066,0.4755175465730718,1714526651.0503528,5.991527795791626
46,0.002787420581871255,48.492654945440094,48.48986752485822,67,1.977856159210205,0.46183869063927824,1714526651.0995538,6.040728807449341
47,0.0002084003083960611,48.490075925166614,48.48986752485822,73,2.0271570682525635,0.5491863572064768,1714526651.1488264,6.090001344680786
48,8.200851471462252e-05,48.489949533372936,48.48986752485822,81,2.092111110687256,0.5317368028021067,1714526651.213826,6.155000925064087
49,0.00011291762240766809,48.48998044248063,48.48986752485822,89,2.163248300552368,0.5193831357851766,1714526651.2851832,6.22635817527771
50,0.00014327357194553436,48.49001079843016,48.48986752485822,98,2.238765001296997,0.5051927746905072,1714526651.3604374,6.301612377166748
51,3.455538312548996e-06,48.48987098039653,48.48986752485822,107,2.313551664352417,0.49196119897462776,1714526651.4352205,6.3763954639434814
52,1.1146346204979075e-12,48.489867524859335,48.48986752485822,118,2.4040627479553223,0.4953403489309901,1714526651.5257313,6.466906309127808
