_timestamp,time,loss,loss_interior,step,_step,_runtime,l2_error,loss_boundary
1715377111.2384548,0.9874498844146729,46.92645720665591,46.920246795591744,0,0,5.2283337116241455,1.4583723262011254,0.006210411064169767
1715377111.249848,1.3551030158996582,72.21136745338995,71.71183793508405,1,1,5.239726781845093,10.702381307640396,0.49952951830590636
1715377111.2598317,1.3652896881103516,108.2624556753891,46.62856794271864,2,2,5.249710559844971,14.849752607373368,61.63388773267046
1715377111.2696984,1.3751718997955322,162.9265887857897,46.62857032040677,3,3,5.25957727432251,13.732709905236142,116.29801846538294
1715377111.2793803,1.3848328590393066,146.5110097660425,46.6285670160836,4,4,5.269259214401245,9.455226519255735,99.88244274995888
1715377111.289104,1.3945708274841309,95.18781504014095,46.62814442701693,5,5,5.278982877731323,3.5760937926228005,48.55967061312403
1715377111.2987075,1.4040393829345703,54.58504952195545,46.71181772494962,6,6,5.288586378097534,2.497698084138625,7.873231797005832
1715377111.308349,1.4137613773345947,419.0424080951435,416.8915263115511,7,7,5.298227787017822,7.680562444594459,2.150881783592382
1715377111.318148,1.4234213829040527,1508.4750429341018,1482.0140004733764,8,8,5.3080267906188965,10.043845941534062,26.46104246072528
1715377111.3285122,1.4339745044708252,93.04806136169182,46.62856788221358,9,9,5.3183910846710205,10.211368773698354,46.41949347947825
1715377111.33817,1.4436554908752441,94.67691693988797,46.62856788221358,10,10,5.328048944473267,8.649375137351745,48.048349057674386
1715377111.3491428,1.453254222869873,80.57848314537992,46.62856788221358,11,11,5.339021682739258,5.642434711573133,33.94991526316634
1715377111.3589072,1.4643185138702393,60.307809361797524,46.62856788221358,12,12,5.348786115646362,1.6722874626072006,13.679241479583943
1715377111.3686266,1.4740338325500488,47.39990194371348,46.62856788246976,13,13,5.358505487442017,1.9924286219170344,0.7713340612437236
1715377111.3784547,1.483884572982788,49.44867572500257,46.62856788290501,14,14,5.368333578109741,3.952157465975596,2.820107842097563
1715377111.3879259,1.493675947189331,56.07016917803107,46.62856788874817,15,15,5.377804756164551,2.46998665589771,9.441601289282898
1715377111.3975542,1.5036282539367676,50.70897541462036,46.62856788051244,16,16,5.387433052062988,1.7948799480767463,4.080407534107919
1715377111.4067369,1.512777328491211,48.99374642725785,46.62856788227017,17,17,5.396615743637085,1.9179323413421225,2.36517854498768
1715377111.4160414,1.5220568180084229,49.272561023972166,46.628567882214874,18,18,5.4059202671051025,1.610745864008377,2.6439931417572917
1715377111.4250972,1.5311393737792969,48.60462792919905,46.628567882212735,19,19,5.414976119995117,0.9487373000393204,1.976060046986313
1715377111.4342375,1.5403201580047607,47.48188540027823,46.6285678822144,20,20,5.424116373062134,0.29409899882315266,0.8533175180638316
1715377111.443173,1.5492334365844727,46.71654514741225,46.62856788221107,21,21,5.433051824569702,0.9301880328217219,0.08797726520117406
1715377111.4521153,1.5581920146942139,46.74297760898492,46.628567882211236,22,22,5.4419941902160645,1.6289705853511725,0.11440972677368433
1715377111.4615786,1.5676209926605225,47.346196789372264,46.628567882203285,23,23,5.451457500457764,2.011626650713439,0.717628907168977
1715377111.470908,1.5770490169525146,47.88597791487682,46.628567882220764,24,24,5.460786819458008,2.025200391923109,1.257410032656057
1715377111.4798217,1.5858404636383057,47.907829096694954,46.628567882212636,25,25,5.469700574874878,1.7037850442762619,1.2792612144823172
1715377111.4887474,1.5947647094726562,47.440140810360404,46.62856788221354,26,26,5.478626251220703,1.1455326669399424,0.8115729281468661
1715377111.4975588,1.6036813259124756,46.87566479244586,46.62856788221353,27,27,5.487437725067139,0.5232814049275945,0.2470969102323322
1715377111.506213,1.6122653484344482,46.62898350042564,46.628567882213794,28,28,5.496091842651367,0.34835918475397737,0.0004156182118459352
1715377111.5150895,1.6211862564086914,46.80355068218492,46.62856788221326,29,29,5.5049684047698975,0.6851971125015929,0.1749827999716592
1715377111.5239553,1.6300363540649414,47.15214896083514,46.62856788221341,30,30,5.513834238052368,0.8323081855465979,0.5235810786217314
1715377111.5326018,1.638660192489624,47.328331656162845,46.62856788221354,31,31,5.522480726242065,0.7142573173041932,0.6997637739493079
1715377111.5420165,1.6481220722198486,47.18542691223595,46.62856788221365,32,32,5.531895399093628,0.4115241805488729,0.5568590300222973
1715377111.55058,1.6566917896270752,46.86834892746004,46.62856788221349,33,33,5.540458917617798,0.3587088648850011,0.23978104524655255
1715377111.559512,1.6655781269073486,46.64823255440765,46.6285678822136,34,34,5.54939079284668,0.7623815535699638,0.01966467219404407
1715377111.5682266,1.674323320388794,46.673353442718806,46.62856788221374,35,35,5.55810546875,1.1233803531719828,0.044785560505071376
1715377111.5769138,1.6830272674560547,46.859805197962935,46.62856788221353,36,36,5.566792726516724,1.2981739995635029,0.23123731574940223
1715377111.5855985,1.6916887760162354,46.998592610468165,46.62856788221339,37,37,5.575477361679077,1.250514482364658,0.3700247282547787
1715377111.5943727,1.7004189491271973,46.957657664524234,46.62856788221344,38,38,5.584251642227173,1.0113763961855617,0.3290897823107981
1715377111.603219,1.7092704772949219,46.787356190294794,46.628567882213424,39,39,5.593097925186157,0.6676745023489848,0.1587883080813727
1715377111.6120162,1.7181098461151123,46.64764940741843,46.628567882213424,40,40,5.601895093917847,0.36370532245153997,0.019081525205002163
1715377111.6278882,1.7339808940887451,46.74910239282149,46.62856788221353,42,41,5.617767095565796,0.37445303054375195,0.12053451060796112
1715377111.6591241,1.7650902271270752,46.635940897615534,46.628567882213574,46,42,5.649003028869629,0.646416363324555,0.00737301540196057
