l2_error,_timestamp,time,step,_runtime,_step,loss_boundary,loss_interior,loss
1.2346287502907167,1714528578.861373,1.3323800563812256,0,5.837435960769653,0,0.006179260679215324,48.79311548923636,48.799294749915575
0.9353680821063572,1714528579.158048,1.910203456878662,1,6.134110927581787,1,1.6154470767868465,10.935234694197005,12.550681770983852
0.24438401721409767,1714528579.5245745,2.2771356105804443,2,6.500637531280518,2,0.8392314190782931,5.477032827490569,6.316264246568862
0.25992629728972655,1714528579.9413652,2.693810224533081,3,6.917428255081177,3,0.05159191210389406,1.1067666071626827,1.1583585192665768
0.07857965864962929,1714528580.418556,3.1709227561950684,4,7.394618988037109,4,0.06810755092845006,0.23285267480639718,0.30096022573484726
0.06524267454264222,1714528580.9550016,3.707301139831543,5,7.931064605712891,5,0.010064763464223893,0.04419577065330338,0.05426053411752727
0.06573177418403746,1714528581.5590038,4.311121463775635,6,8.535066843032837,6,0.007108692017678734,0.02266441832036844,0.029773110338047172
0.06351047632727039,1714528582.2378728,4.990118980407715,7,9.213935852050781,7,0.00717113926676525,0.01497434889452063,0.02214548816128588
0.062443157515297464,1714528582.9860625,5.73828911781311,8,9.962125539779663,8,0.006516938796825868,0.008274727108504437,0.014791665905330306
0.05852329292807032,1714528583.7504005,6.502582311630249,9,10.726463556289673,9,0.006231208924909277,0.005872621407862521,0.0121038303327718
0.05501774511985321,1714528584.5332496,7.285469055175781,10,11.509312629699707,10,0.0054773976531160805,0.004802841344584233,0.010280238997700314
0.05280190618988813,1714528585.3060431,8.056068658828735,11,12.282106161117554,11,0.004938361475865847,0.0038789647504558484,0.008817326226321696
0.050664707647038426,1714528586.0815806,8.833778142929077,12,13.05764365196228,12,0.004547697903657592,0.002867022015547404,0.007414719919204996
0.04852900630390486,1714528586.8575654,9.609757661819458,13,13.833628416061401,13,0.004241360555518956,0.00199040171195394,0.006231762267472896
0.04387315324209906,1714528587.6455753,10.396623611450195,14,14.621638298034668,14,0.003926237583404792,0.0015844444733432753,0.0055106820567480674
0.04112625208832181,1714528588.4398189,11.191975593566895,15,15.415881872177124,15,0.003341803972892912,0.0016213267244059328,0.004963130697298845
0.03690904335550788,1714528589.2254171,11.977643013000488,16,16.20148015022278,16,0.002835873756820991,0.001516681487155969,0.0043525552439769594
0.0361905483907806,1714528589.9906313,12.74288296699524,17,16.966694355010986,17,0.0024618293342497195,0.001278718979502546,0.0037405483137522653
0.03397642432185014,1714528590.7437713,13.496057987213135,18,17.719834327697754,18,0.0022147770127597,0.0010380049511172107,0.0032527819638769103
0.03280800898779548,1714528591.4984455,14.250674962997437,19,18.47450852394104,19,0.001986894795810655,0.0008888281716852012,0.0028757229674958563
0.031404735121122504,1714528592.2613213,15.013575315475464,20,19.23738431930542,20,0.0018425318473592424,0.0006702157448055111,0.0025127475921647535
0.028106314760955486,1714528593.0319498,15.784161567687988,21,20.008012771606445,21,0.0016248829895718277,0.0005194202112156148,0.0021443032007874424
0.026108126203529643,1714528593.8025663,16.554811716079712,22,20.778629302978516,22,0.0013118158165650474,0.000516384491443451,0.0018282003080084984
0.023822587099436777,1714528594.5478482,17.300148010253906,23,21.523911237716675,23,0.0010899060630963158,0.0005365997612140069,0.0016265058243103226
0.021932368715533303,1714528595.3062792,18.058543920516968,24,22.282342195510864,24,0.000923693591892048,0.0005103887354964002,0.001434082327388448
0.01988845151209995,1714528596.0846615,18.83686065673828,25,23.06072449684143,25,0.0007573629553197187,0.0004220604645809008,0.0011794234199006195
0.017068107791958498,1714528596.8727245,19.624860525131226,26,23.848787546157837,26,0.0006258042988588549,0.00036376087802459224,0.000989565176883447
0.014475878582871658,1714528597.6641219,20.416351079940796,27,24.64018487930298,27,0.0004895888951612607,0.00036722903317622203,0.0008568179283374827
0.012199882024945645,1714528598.4323287,21.184308290481567,28,25.40839171409607,28,0.00030799259482367907,0.0003353388304574581,0.0006433314252811372
0.008199518587789223,1714528599.2087548,21.960516452789307,29,26.184817790985107,29,0.00023465722852141114,0.0003212910460597893,0.0005559482745812005
0.006763729338293341,1714528599.9685338,22.720473289489746,30,26.944596767425537,30,0.00011522847568122042,0.00030689333545265413,0.00042212181113387455
0.006102039628548613,1714528600.756843,23.508995294570923,31,27.732906103134155,31,8.553811832324606e-05,0.00027287466173457294,0.000358412780057819
0.005712772854535345,1714528601.5436385,24.295509338378906,32,28.51970148086548,32,7.433344638815002e-05,0.00021311493937977937,0.00028744838576792936
0.005156981414897276,1714528602.3168616,25.069014072418213,33,29.292924642562866,33,6.411497136023684e-05,0.0001757121300938523,0.00023982710145408913
0.004591989700327073,1714528603.073284,25.82554316520691,34,30.049346923828125,34,5.5812568481501545e-05,0.0001676547261262117,0.00022346729460771323
0.004170424658585768,1714528603.8202796,26.572261810302734,35,30.796342611312866,35,4.414903770030975e-05,0.00015604442204255576,0.0002001934597428655
0.003667658252537511,1714528604.5725098,27.324697732925415,36,31.548572778701782,36,3.393594954270014e-05,0.00012788287145201152,0.00016181882099471166
0.003571779778304338,1714528605.3205988,28.072754859924316,37,32.29666185379028,37,2.7206871742738064e-05,0.00011775991884720578,0.00014496679058994383
0.0032303820352994183,1714528606.1027884,28.854910373687744,38,33.07885146141052,38,2.468056770451005e-05,0.00010786821706449865,0.0001325487847690087
0.0035482095330164045,1714528606.8707078,29.622560262680054,39,33.84677076339722,39,2.19517017939508e-05,0.0001051758170201681,0.00012712751881411888
0.0033407088293855845,1714528607.6384587,30.390621662139893,40,34.614521741867065,40,2.2775893241973404e-05,6.815404802754826e-05,9.092994126952166e-05
