l2_error,step,_step,time,_timestamp,loss_boundary,loss_interior,loss,_runtime
0.41787596642657054,0,0,1.4388055801391602,1714845139.549862,0.006179260679215324,48.79311548923636,48.799294749915575,5.700567007064819
0.5229980670084224,1,1,1.818467617034912,1714845139.6683867,0.006179346913830026,48.793108238386225,48.79928758530006,5.819091796875
0.2685565074531303,2,2,1.9107692241668701,1714845139.761287,0.014480326175250274,76.69488890538776,76.709369231563,5.911992073059082
0.46493451298522975,3,3,2.0024666786193848,1714845139.8521028,0.04865356212699651,17.242142468737445,17.290796030864442,6.002807855606079
0.4614397326596712,4,4,2.092881202697754,1714845139.9424584,0.1665029873283405,12.16162266609558,12.328125653423921,6.09316349029541
0.36650383373155676,5,5,2.183133363723755,1714845140.03273,0.16048370965303665,5.885353292426241,6.045837002079278,6.1834352016448975
0.38795110082253687,6,6,2.2752058506011963,1714845140.1247504,0.13919154505007736,4.048197381296146,4.187388926346223,6.275455474853516
0.4112947078273741,7,7,2.364935874938965,1714845140.215909,0.14795947449963678,2.823249517961762,2.9712089924613987,6.366614103317261
0.4191945630068172,8,8,2.4589474201202393,1714845140.3085437,0.15875089629709735,1.7161678044375885,1.874918700734686,6.459248781204224
0.37258856948089736,9,9,2.553414821624756,1714845140.4029627,0.15739241494176004,1.119322641476653,1.276715056418413,6.553667783737183
0.31833171790088516,10,10,2.6443066596984863,1714845140.4938493,0.11935108185448848,0.6448001122271132,0.7641511940816017,6.644554376602173
0.2626592618336831,11,11,2.733816385269165,1714845140.5833578,0.0899083799063512,0.39594491710644397,0.48585329701279517,6.734062910079956
0.22641745531305152,12,12,2.824491024017334,1714845140.6740947,0.06607328946727287,0.2730236943876417,0.33909698385491455,6.8247997760772705
0.17349837652854014,13,13,2.9141685962677,1714845140.763743,0.0520743285424534,0.2021891104771454,0.2542634390195988,6.914448022842407
0.14745661668255103,14,14,3.0041258335113525,1714845140.853706,0.03487369213676389,0.16114657085475767,0.19602026299152156,7.004410982131958
0.13500014558005857,15,15,3.093639850616455,1714845140.9432032,0.02691115424152428,0.13033301188847307,0.15724416612999736,7.093908309936523
0.12144473843155806,16,16,3.1844561100006104,1714845141.0344965,0.02092597723173158,0.10593986114796558,0.12686583837969717,7.185201644897461
0.11263274975975276,17,17,3.2745864391326904,1714845141.1241405,0.015889094765274267,0.09017748071804287,0.10606657548331713,7.274845600128174
0.10616753395405001,18,18,3.364823579788208,1714845141.2143664,0.012833545503168198,0.07758033943793578,0.09041388494110399,7.365071535110474
0.09652356945036587,19,19,3.455317258834839,1714845141.304867,0.010693074345400134,0.05582125605218284,0.06651433039758298,7.455572128295898
0.08853336145682089,20,20,3.549748659133911,1714845141.399225,0.00964337277474532,0.04451866957656467,0.05416204235130999,7.549930095672607
0.09178263007747563,21,21,3.6380040645599365,1714845141.4876142,0.009130850592715675,0.035591801643873267,0.044722652236588945,7.638319253921509
0.0798928820506234,22,22,3.730555295944214,1714845141.5801244,0.009292932384581964,0.029059025145908555,0.03835195753049052,7.730829477310181
0.07248861126956378,23,23,3.8260385990142822,1714845141.6756036,0.008694100798873523,0.024529084742572493,0.033223185541446015,7.826308727264404
0.06686849713494225,24,24,3.9145171642303467,1714845141.7640865,0.008443227617212501,0.021371144449466722,0.029814372066679223,7.914791584014893
0.06185628414782406,25,25,4.007339000701904,1714845141.856923,0.008216565998700956,0.018480994464506757,0.02669756046320771,8.007628202438354
0.05983743030174467,26,26,4.097672939300537,1714845141.947204,0.008069579580464179,0.016850793846472954,0.024920373426937134,8.097909212112427
0.05905683634990546,27,27,4.188235759735107,1714845142.0377927,0.007999908308215179,0.015631453304115767,0.023631361612330946,8.18849778175354
0.0573683410312933,28,28,4.278379917144775,1714845142.1279202,0.007871471606589775,0.013860069575759412,0.021731541182349184,8.278625249862671
0.05693176880581093,29,29,4.373440504074097,1714845142.2230725,0.0076002049588165844,0.012335301868018327,0.01993550682683491,8.373777627944946
0.056085012152324185,30,30,4.464482545852661,1714845142.3140175,0.007297711888822948,0.011160073221032534,0.018457785109855483,8.464722633361816
0.05654914737432712,31,31,4.559211015701294,1714845142.40876,0.006935017935346305,0.009883214822935167,0.01681823275828147,8.559465169906616
0.05725492187271533,32,32,4.657088279724121,1714845142.5066583,0.006755522099234452,0.008994279870154026,0.01574980196938848,8.657363414764404
0.05732135134822451,33,33,4.74631404876709,1714845142.595954,0.006602161365065906,0.008335217917073017,0.014937379282138924,8.74665904045105
0.056429085820840316,34,34,4.834138870239258,1714845142.6837,0.006472137233058676,0.007896632139179866,0.014368769372238542,8.834405183792114
0.05626327628759325,35,35,4.923945665359497,1714845142.7734842,0.006270470240242263,0.007424516634083971,0.013694986874326234,8.924189329147339
0.05708140421331544,36,36,5.011913537979126,1714845142.8614862,0.006048064712770891,0.006964998099826257,0.013013062812597148,9.01219129562378
0.05772947663764315,37,37,5.102305889129639,1714845142.951908,0.005863235597462067,0.006533135970819347,0.012396371568281415,9.1026132106781
0.05556892727421785,38,38,5.18985652923584,1714845143.039412,0.005717399683541577,0.0060505942768712875,0.011767993960412865,9.190117120742798
0.05386628734648163,39,39,5.2817606925964355,1714845143.131333,0.005481790510447215,0.005637661798707659,0.011119452309154874,9.28203821182251
0.05310083844985389,40,40,5.373851299285889,1714845143.2233987,0.00527850838342175,0.005270542077606965,0.010549050461028716,9.374103784561157
0.050499919755918034,42,41,5.5680530071258545,1714845143.4176223,0.005035996846223157,0.004532511803058447,0.009568508649281604,9.5683274269104
