time,_step,loss,step,_runtime,l2_error,loss_interior,_timestamp,loss_boundary
1.1677534580230713,0,49.79640557651539,0,1.9487571716308594,1.4928625566732998,48.968752729145926,1729106028.4314692,0.8276528473694653
1.8444197177886963,1,39.07413845667735,1,2.4071662425994873,0.7588397589446609,38.15791741788475,1729106028.8898783,0.9162210387926045
2.2707831859588623,2,35.506822462368405,2,2.829791784286499,1.3437618073665354,35.18013126716292,1729106029.3125038,0.3266911952054844
2.850820302963257,3,24.829206597001665,3,3.4098634719848633,1.145877122366285,24.07261492778888,1729106029.8925755,0.7565916692127863
3.371208429336548,4,23.131410913771877,4,3.930135726928711,0.5372334440176151,22.196935090262517,1729106030.4128478,0.9344758235093577
3.868053913116455,5,4.432647658267453,5,4.4270172119140625,0.20386787012365512,4.180462031055774,1729106030.9097292,0.2521856272116792
4.437018156051636,6,0.9116359270081984,6,4.997302293777466,0.0671177355354413,0.8806313135057684,1729106031.4800143,0.03100461350243
4.93445897102356,7,0.08921645593383017,7,5.4934117794036865,0.014161855607346804,0.08620208693010577,1729106031.9761238,0.003014369003724402
5.548376083374023,8,0.0038155152846753816,8,6.107295513153076,0.009739896249342864,0.0036014251553573746,1729106032.5900075,0.0002140901293180069
6.096343755722046,9,0.002053501976083419,9,6.655255317687988,0.00576365070559781,0.001934716511228144,1729106033.1379673,0.00011878546485527509
6.804770231246948,10,0.0003476389150946696,10,7.363694667816162,0.0052991906006142064,0.0002868996953313709,1729106033.8464067,6.073921976329871e-05
7.627518177032471,11,0.0002771802469921602,11,8.186463356018066,0.004797581023935453,0.00022702979982150472,1729106034.6691754,5.0150447170655464e-05
8.473873138427734,12,0.00024931877046968984,12,9.032851219177246,0.004348373965489962,0.0002101271835591337,1729106035.5155632,3.919158691055613e-05
9.338625431060791,13,0.00017626787679674057,13,9.897549629211426,0.004179855178199707,0.0001441197995052966,1729106036.3802617,3.214807729144397e-05
10.392916202545166,14,0.0001383486659675874,14,10.951836347579956,0.004619466955623461,0.00011176990343618228,1729106037.4345484,2.657876253140511e-05
11.301928997039795,15,0.00012089466525279813,15,11.860856533050537,0.00430015670617493,9.759412059829233e-05,1729106038.3435686,2.33005446545058e-05
12.621863603591919,16,9.268721984967887e-05,16,13.180797100067139,0.003573301693752939,7.382291301643235e-05,1729106039.6635091,1.886430683324651e-05
13.502408027648926,17,8.907435145618469e-05,17,14.061376333236694,0.0027329994814571613,7.511197149020324e-05,1729106040.5440884,1.3962379965981443e-05
14.452994585037231,18,7.066554253305256e-05,18,15.011913299560547,0.002272972390874183,6.064323671373566e-05,1729106041.4946253,1.0022305819316893e-05
15.658990621566772,19,6.216119631471588e-05,19,16.217926263809204,0.002088989975803661,5.443519383987225e-05,1729106042.7006383,7.72600247484363e-06
16.303754806518555,20,4.354145844401263e-05,20,16.86271047592163,0.001966391954265983,3.692189996464331e-05,1729106043.3454225,6.619558479369323e-06
17.720645427703857,21,4.0933197140218927e-05,21,18.279635906219482,0.002085264392212977,3.5151835481713465e-05,1729106044.762348,5.781361658505459e-06
18.3218674659729,22,3.9874332001932624e-05,22,18.880757570266724,0.0021096183866266475,3.4429468052576194e-05,1729106045.3634696,5.444863949356433e-06
19.401857376098633,23,3.2113430412965206e-05,23,19.960857391357422,0.001997177286469589,2.7182847408735696e-05,1729106046.4435694,4.93058300422951e-06
19.938888549804688,24,2.683244740209449e-05,24,20.497909784317017,0.0018767946364967626,2.260648547104092e-05,1729106046.9806218,4.2259619310535705e-06
20.712838411331177,25,2.4281581987708426e-05,25,21.271786212921143,0.001779606671421115,2.0511739802048815e-05,1729106047.7544982,3.7698421856596124e-06
23.22150993347168,26,2.2452040622468898e-05,26,23.780482292175293,0.0016814456832835417,1.9058043893083588e-05,1729106050.2631943,3.393996729385311e-06
23.79984164237976,27,2.0157170871944964e-05,27,24.358768224716187,0.001653489840304759,1.709600317752432e-05,1729106050.8414803,3.061167694420642e-06
24.596145391464233,28,1.9886588642121753e-05,28,25.155071258544922,0.0016238776658077491,1.6917908686393635e-05,1729106051.6377833,2.968679955728119e-06
25.13918423652649,29,1.9696282054582753e-05,29,25.698134660720825,0.0015925486262968011,1.682818131932894e-05,1729106052.1808467,2.8681007352538112e-06
25.828680276870728,30,1.9348845638767048e-05,30,26.387596130371094,0.0015605435990984717,1.6582630998112364e-05,1729106052.8703082,2.7662146406546845e-06
26.498714447021484,31,1.916311818467523e-05,31,27.057644844055176,0.0015264886233819033,1.6503699255497205e-05,1729106053.5403569,2.6594189291780267e-06
27.35722041130066,32,1.8735559662145637e-05,32,27.91612672805786,0.0014911594804660655,1.6185210036980154e-05,1729106054.3988388,2.5503496251654834e-06
27.908321619033813,33,1.8306761563965686e-05,33,28.467262029647827,0.0014599420601965208,1.5875729281620732e-05,1729106054.949974,2.4310322823449547e-06
28.505937814712524,34,1.8150951532924523e-05,34,29.0648992061615,0.0014216614288942231,1.5831807261719495e-05,1729106055.5476112,2.3191442712050295e-06
29.43039321899414,35,1.751571460177294e-05,35,29.98930335044861,0.0013848750382327686,1.532081392558637e-05,1729106056.4720154,2.1949006761865707e-06
30.10250735282898,36,1.673001625090621e-05,36,30.66140866279602,0.001356156413659968,1.4662943118455283e-05,1729106057.1441207,2.0670731324509273e-06
30.9586980342865,37,1.618796620618054e-05,37,31.51760959625244,0.0013342085169480863,1.4232253276844571e-05,1729106058.0003216,1.9557129293359692e-06
31.648109674453735,38,1.5216832117040404e-05,38,32.20702528953552,0.0013291133513293099,1.336084052846955e-05,1729106058.6897373,1.855991588570854e-06
