loss_interior,loss,loss_boundary,step,_step,_runtime,l2_error,_timestamp,time
48.79311548923636,48.799294749915575,0.006179260679215324,0,0,5.452571153640747,0.7657918226777047,1714847206.876512,1.4629909992218018
27.11118155998817,27.35018994140734,0.2390083814191669,1,1,5.5692994594573975,0.30904596605671364,1714847206.9932404,1.8429255485534668
0.7290884294465342,0.7942022134378737,0.06511378399133944,2,2,5.6734092235565186,0.15348287129440225,1714847207.0973501,1.9473133087158203
0.06743579993663369,0.08850043984307937,0.021064639906445682,3,3,5.760441303253174,0.0985181747107856,1714847207.1843822,2.0343668460845947
0.008460993398921804,0.021169892481997094,0.01270889908307529,4,4,5.845649719238281,0.07004816112415255,1714847207.2695906,2.119790554046631
0.0024590827011775882,0.008923727043692714,0.006464644342515126,5,5,5.929441690444946,0.03945838904061737,1714847207.3533826,2.2035484313964844
0.0016056865580431864,0.0040672620440480945,0.0024615754860049083,6,6,6.02501106262207,0.037668306810582364,1714847207.448952,2.299182891845703
0.0006563885313620616,0.002769420536607638,0.0021130320052455765,7,7,6.1166908740997314,0.03479044553919176,1714847207.5406318,2.389353036880493
0.0004811980863185297,0.002268550547772967,0.0017873524614544372,8,8,6.2017662525177,0.025439935013119336,1714847207.6257071,2.4758448600769043
0.000474952781874409,0.0015570146182383713,0.0010820618363639623,9,9,6.287970066070557,0.01846587737767939,1714847207.711911,2.561940908432007
0.00035114962616566964,0.0009063472470745401,0.0005551976209088705,10,10,6.383594512939453,0.012435337743470944,1714847207.8075354,2.657698631286621
0.00026525461873857516,0.0005771816921942207,0.00031192707345564563,11,11,6.473771572113037,0.010863401811779505,1714847207.8977125,2.7479186058044434
0.00016092874444449272,0.0003866024119933616,0.00022567366754886888,12,12,6.555874586105347,0.010212860309644821,1714847207.9798155,2.8298466205596924
9.696558777745384e-05,0.00026713312891684434,0.00017016754113939047,13,13,6.640509843826294,0.009130064204492342,1714847208.0644507,2.914685010910034
6.825098176806695e-05,0.00020875262147745406,0.00014050163970938712,14,14,6.724722385406494,0.008055566957567725,1714847208.1486633,2.9989542961120605
5.828057317359992e-05,0.000178791517826011,0.00012051094465241107,15,15,6.809849262237549,0.007485264523444374,1714847208.2337902,3.084076166152954
4.9269832709637286e-05,0.00013908575482062135,8.981592211098405e-05,16,16,6.894691228866577,0.005946975110896718,1714847208.3186321,3.1688904762268066
4.5911504828090296e-05,0.00011171712059150797,6.580561576341768e-05,17,17,6.980759143829346,0.005222813708807373,1714847208.4047,3.2548694610595703
4.524186795306375e-05,9.298450819992485e-05,4.7742640246861093e-05,18,18,7.070227861404419,0.004908276157737136,1714847208.4941688,3.344414234161377
3.6460300357510436e-05,7.231191353917461e-05,3.5851613181664176e-05,19,19,7.166531562805176,0.003553357113955541,1714847208.5904725,3.4407036304473877
2.975199454921563e-05,5.587511352727848e-05,2.6123118978062856e-05,20,20,7.251282453536987,0.003347001624773443,1714847208.6752234,3.5255143642425537
2.340964215307348e-05,4.565015773166682e-05,2.224051557859334e-05,21,21,7.342634916305542,0.0031895102336612496,1714847208.7665758,3.616849184036255
1.957952789413231e-05,4.014717491287419e-05,2.0567647018741883e-05,22,22,7.427022457122803,0.0028804035902797735,1714847208.8509634,3.7012414932250977
1.7505757778920504e-05,3.68951306036565e-05,1.9389372824735995e-05,23,23,7.529085159301758,0.003051916745810307,1714847208.953026,3.803025007247925
1.5625759879198813e-05,3.356892515315309e-05,1.794316527395428e-05,24,24,7.633552074432373,0.0025953451884715654,1714847209.057493,3.9073781967163086
1.556221783185328e-05,3.1307834629580784e-05,1.5745616797727503e-05,25,25,7.718952178955078,0.0025256893608760355,1714847209.142893,3.9930663108825684
1.542621397769605e-05,2.924356662998286e-05,1.3817352652286813e-05,26,26,7.810126066207886,0.002596411596361803,1714847209.234067,4.0842626094818115
1.4318945331417815e-05,2.6453998105077255e-05,1.213505277365944e-05,27,27,7.899651050567627,0.002087329316289083,1714847209.323592,4.173818349838257
1.3779678683357995e-05,2.3445633768308243e-05,9.665955084950248e-06,28,28,8.000432968139648,0.00232719610765606,1714847209.4243739,4.274518013000488
1.2646850154461365e-05,2.090013765551746e-05,8.253287501056096e-06,29,29,8.092549562454224,0.0021408989528463964,1714847209.5164905,4.366620779037476
1.220512051350286e-05,2.016602401954154e-05,7.960903506038682e-06,30,30,8.178242683410645,0.0022359613480149206,1714847209.6021836,4.452343463897705
1.1912836412261766e-05,1.9667918105010826e-05,7.755081692749058e-06,31,31,8.266944646835327,0.0024862013455420632,1714847209.6908855,4.540763854980469
1.1206069937678948e-05,1.8834002955716695e-05,7.627933018037747e-06,32,32,8.354382038116455,0.0020842879337919034,1714847209.778323,4.628547191619873
1.0400019581965708e-05,1.7766573041978465e-05,7.366553460012757e-06,33,33,8.457722902297974,0.0024945923258889225,1714847209.8816638,4.731359243392944
9.242550102672148e-06,1.6651329563758723e-05,7.408779461086574e-06,34,34,8.556640625,0.0021066021920997428,1714847209.9805815,4.830649137496948
8.052760045183638e-06,1.5532740360455817e-05,7.479980315272179e-06,35,35,8.647652626037598,0.0026694569742014666,1714847210.0715935,4.92078161239624
6.986037996348799e-06,1.4552486925498524e-05,7.566448929149725e-06,36,36,8.740430116653442,0.002294753250064595,1714847210.164371,5.014466285705566
6.03122312769965e-06,1.348581114817752e-05,7.45458802047787e-06,37,37,8.82072925567627,0.0026121025044120545,1714847210.2446702,5.094952821731567
5.364566833675288e-06,1.2618598468344201e-05,7.254031634668912e-06,38,38,8.903175592422485,0.0020303501095219286,1714847210.3271165,5.177434921264648
4.942935266618241e-06,1.1884714756173657e-05,6.941779489555415e-06,39,39,8.986030101776123,0.0022268689121496114,1714847210.409971,5.260261535644531
4.72998164670013e-06,1.1147471975700181e-05,6.417490329000052e-06,40,40,9.067310094833374,0.0019427892242833476,1714847210.491251,5.34154200553894
4.190630105506034e-06,9.74025020043958e-06,5.549620094933546e-06,42,41,9.237302541732788,0.0017961694140815096,1714847210.6612434,5.511341333389282
3.5879298176933177e-06,7.650153446579895e-06,4.062223628886577e-06,46,42,9.567984580993652,0.0014765311768945237,1714847210.9919255,5.842067241668701
2.69830863929735e-06,5.666705063056914e-06,2.9683964237595646e-06,50,43,9.939675092697144,0.0012597415974287536,1714847211.363616,6.2132275104522705
2.1210299705906676e-06,4.4015085450150985e-06,2.2804785744244313e-06,55,44,10.384663105010986,0.0011134813371117662,1714847211.808604,6.658601999282837
1.8421691405842393e-06,3.0070560953198693e-06,1.1648869547356299e-06,61,45,10.899990797042847,0.0008516256414773301,1714847212.3239317,7.173550844192505
