loss_boundary,loss,time,_runtime,loss_interior,l2_error,_timestamp,step,_step
0.006210411064169767,46.92645720665591,1.4579553604125977,5.591954708099365,46.920246795591744,0.41724335852517597,1715381799.7139487,0,0
0.0062105971528528935,46.92644083575904,1.8879146575927734,5.71845817565918,46.92023023860619,0.8436685140584841,1715381799.8404522,1,1
0.3077236705941573,26.69327863800439,1.9795472621917725,5.809326887130737,26.385554967410233,1.6419769234245871,1715381799.931321,2,2
1.7863533195480832,21.178594970674283,2.064664840698242,5.8944432735443115,19.3922416511262,1.4964923873735598,1715381800.0164373,3,3
1.7091263255473121,9.416707227877039,2.1474339962005615,5.97711706161499,7.707580902329727,1.0362170469493837,1715381800.099111,4,4
0.8228513017865244,6.857397828550302,2.2285563945770264,6.0582594871521,6.034546526763777,0.45944733045708636,1715381800.1802535,5,5
0.22135753708518907,4.352297579360835,2.309154987335205,6.138838768005371,4.130940042275646,0.44814068455260697,1715381800.2608328,6,6
0.17840165481791465,2.0671466701205565,2.389677047729492,6.220602035522461,1.8887450153026417,0.29335079035748024,1715381800.342596,7,7
0.09372528534452547,1.236636994280091,2.4712417125701904,6.300901412963867,1.1429117089355656,0.1870269749847956,1715381800.4228954,8,8
0.04088083233656856,0.9280599854261211,2.5512969493865967,6.3809494972229,0.8871791530895525,0.11795288033530225,1715381800.5029435,9,9
0.015093847571753808,0.6086366964789466,2.631761312484741,6.4614293575286865,0.5935428489071928,0.16262923389892264,1715381800.5834234,10,10
0.0211768199191545,0.3972540189556829,2.7128868103027344,6.542559623718262,0.3760771990365284,0.1852561592725928,1715381800.6645536,11,11
0.025499245410229084,0.2834894848746201,2.7933342456817627,6.623015880584717,0.25799023946439104,0.16147255126418117,1715381800.74501,12,12
0.023231333212455227,0.2283935367842111,2.873635768890381,6.707408666610718,0.20516220357175585,0.12218995141580659,1715381800.8294027,13,13
0.01891608818893554,0.15452678866836006,2.9588160514831543,6.78853440284729,0.13561070047942453,0.10300585605040277,1715381800.9105284,14,14
0.01697509679312387,0.11998788809120421,3.0396246910095215,6.8692896366119385,0.10301279129808034,0.09309978708207192,1715381800.9912837,15,15
0.015184255475202043,0.09430619963353334,3.120154619216919,6.949848651885986,0.0791219441583313,0.07348790226708897,1715381801.0718427,16,16
0.010806828264925291,0.06633306145583004,3.200377941131592,7.030036211013794,0.05552623319090475,0.06641580425170028,1715381801.1520302,17,17
0.00867549537733086,0.045730942203453834,3.280743360519409,7.110410451889038,0.037055446826122974,0.061057338315832335,1715381801.2324045,18,18
0.007286322642373903,0.03594739370312659,3.3619861602783203,7.191682815551758,0.02866107106075269,0.06338543652875353,1715381801.3136768,19,19
0.006867303720289554,0.02920509008510442,3.4427733421325684,7.272456884384155,0.022337786364814868,0.06420627694732275,1715381801.394451,20,20
0.006444669899455357,0.02585795159808229,3.5229427814483643,7.352633714675903,0.01941328169862693,0.06728250016654108,1715381801.4746277,21,21
0.005991897457990805,0.021087616024404,3.6035563945770264,7.433215856552124,0.015095718566413195,0.06779231643326787,1715381801.5552099,22,22
0.005672149855960318,0.0176564779725486,3.6845433712005615,7.514225006103516,0.011984328116588285,0.06539236417616899,1715381801.636219,23,23
0.005405239868029039,0.015977591583047658,3.765160322189331,7.594809293746948,0.01057235171501862,0.059133741670579554,1715381801.7168033,24,24
0.005017410748449224,0.013626311980672387,3.8451359272003174,7.6748151779174805,0.008608901232223163,0.05405189025045808,1715381801.7968092,25,25
0.004739113087030148,0.01222705274349455,3.9249107837677,7.754584312438965,0.0074879396564644,0.04648863744838231,1715381801.8765783,26,26
0.004347036892338434,0.010772902679957579,4.004859209060669,7.834511995315552,0.006425865787619145,0.04434275312501055,1715381801.956506,27,27
0.00420268697579955,0.009779021209470159,4.084599494934082,7.914248943328857,0.005576334233670609,0.04332585300056033,1715381802.036243,28,28
0.00402760131673007,0.008901519600203012,4.164610147476196,7.994257926940918,0.0048739182834729436,0.04338805211497374,1715381802.116252,29,29
0.0039439833227613505,0.008367458427210064,4.244952201843262,8.074608087539673,0.004423475104448712,0.04328200332076505,1715381802.196602,30,30
0.0035778509108914344,0.007891222443283032,4.3249831199646,8.154649496078491,0.004313371532391598,0.04619066365804409,1715381802.2766435,31,31
0.003377076990577872,0.006969531363284697,4.432460069656372,8.262532711029053,0.0035924543727068247,0.045765329207476634,1715381802.3845267,32,32
0.003252930261846773,0.0061902319892466594,4.530341863632202,8.370121479034424,0.0029373017273998867,0.04526762272433863,1715381802.4921155,33,33
0.003189537117514436,0.005881218782834833,4.641981601715088,8.472312211990356,0.0026916816653203973,0.04277322501131269,1715381802.5943062,34,34
0.0030377316425684612,0.005530888367055408,4.7422380447387695,8.572348833084106,0.0024931567244869473,0.03762652407525276,1715381802.6943429,35,35
0.0028208681820212364,0.005312880589175532,4.8393566608428955,8.669377326965332,0.002492012407154295,0.03465009305330002,1715381802.7913713,36,36
0.0026928724305606082,0.00475192857302577,4.942009925842285,8.772117376327515,0.0020590561424651617,0.03269642526170347,1715381802.8941114,37,37
0.0024942754407786608,0.004266533381083219,5.04552960395813,8.875564813613892,0.0017722579403045586,0.032730556702647386,1715381802.9975588,38,38
0.0024293552372762033,0.003924074593589105,5.146727085113525,8.97701358795166,0.0014947193563129013,0.03471401631327167,1715381803.0990076,39,39
0.0021900826871190477,0.0036635554956452833,5.253474712371826,9.083934545516968,0.0014734728085262353,0.03541601898821555,1715381803.2059286,40,40
0.002055636773980703,0.003182893848490233,5.4199230670928955,9.249697208404541,0.0011272570745095303,0.03430669263883285,1715381803.3716912,42,41
