_runtime,l2_error,step,loss_boundary,loss_interior,time,loss,_step,_timestamp
6.0652220249176025,0.29136811617644004,0,0.006179260679215324,48.79311548923636,1.546393632888794,48.799294749915575,0,1714529399.784974
6.382166147232056,0.6058719739019919,1,0.06289467394442581,46.68175655131199,2.3308753967285156,46.74465122525642,1,1714529400.1019182
6.712511777877808,1.2466887663286965,2,0.4181675161378923,35.99166357345732,2.661120653152466,36.409831089595215,2,1714529400.4322639
7.134028434753418,1.1965247475066163,3,1.1353042573234045,19.008377288769125,3.082026243209839,20.14368154609253,3,1714529400.8537805
7.531754016876221,1.5079598633234799,4,1.0941400402704926,12.886591303738726,3.4799959659576416,13.980731344009218,4,1714529401.251506
7.891446828842163,1.2523136591738329,5,1.4807463815460957,8.441098350933167,3.8387444019317627,9.921844732479263,5,1714529401.611199
8.257690906524658,1.455482740643327,6,1.1259147721364322,6.430434309291817,4.206353187561035,7.556349081428249,6,1714529401.977443
8.683421850204468,1.3430990321675063,7,1.384845744405459,4.8497724619043705,4.631272077560425,6.234618206309829,7,1714529402.403174
9.107124090194702,1.4480189521980162,8,1.2418335526892545,4.347773607296941,5.055192708969116,5.589607159986196,8,1714529402.8268762
9.488420009613037,1.3929328118140405,9,1.3721624138161226,3.7868365367699717,5.437241077423096,5.158998950586094,9,1714529403.208172
9.843751430511475,1.4361164983337784,10,1.3013028880223316,3.549506123257255,5.792396068572998,4.850809011279587,10,1714529403.5635035
10.22887897491455,1.2470265340779292,11,1.3524081053015962,3.35065003185684,6.177459239959717,4.703058137158436,11,1714529403.948631
10.610346794128418,1.3325135386080222,12,1.0667651567894394,2.782920494557622,6.558926820755005,3.849685651347061,12,1714529404.3300989
10.974369049072266,1.3054745063375182,13,1.1782298345682163,2.4611750573099593,6.922940015792847,3.6394048918781756,13,1714529404.6941211
11.311450481414795,1.3093875245542916,14,1.1499717519971795,2.4167696342000102,7.260251045227051,3.5667413861971897,14,1714529405.0312026
11.702368974685669,1.2938076010738984,15,1.1638089460818772,2.2686567350707323,7.650736570358276,3.4324656811526095,15,1714529405.422121
12.151250123977661,1.2620218423660132,16,1.1286496509947146,2.2277577299126463,8.100196123123169,3.3564073809073607,16,1714529405.8710022
12.542241334915161,1.2769380729242834,17,1.0919904134350336,2.2309303441906705,8.490798711776733,3.3229207576257043,17,1714529406.2619934
12.902187824249268,1.2258286309354705,18,1.1049075643607869,2.1868465463379447,8.85084080696106,3.2917541106987316,18,1714529406.62194
13.242212295532227,1.2455273500493553,19,1.0446978438308214,2.2146633913987532,9.190276384353638,3.2593612352295747,19,1714529406.9619644
13.578035354614258,1.1835260328001929,20,1.0634420719772835,2.1524411740937404,9.526508808135986,3.215883246071024,20,1714529407.2977874
13.949233531951904,1.1147198723843352,21,0.944828206860272,2.0184348090282875,9.897642612457275,2.9632630158885593,21,1714529407.6689856
14.29710054397583,1.0619733295436435,22,0.8784762564374212,1.8306307678708087,10.245750904083252,2.70910702430823,22,1714529408.0168526
14.646666288375854,1.0932735969008085,23,0.8405697921080386,1.6241795189983996,10.595579624176025,2.4647493111064382,23,1714529408.3664184
14.98616099357605,1.0607795262423447,24,0.8672766007530356,1.517547287453257,10.934448719024658,2.3848238882062924,24,1714529408.705913
15.292984962463379,1.074284015420098,25,0.8353913913569249,1.4959276447017436,11.241885662078857,2.3313190360586686,25,1714529409.012737
15.609607458114624,1.023059921950188,26,0.843619581461226,1.4403939830593384,11.558296918869019,2.2840135645205644,26,1714529409.3293595
15.91952395439148,1.0566963303876862,27,0.7921361110278594,1.4344464271515112,11.868196725845337,2.2265825381793705,27,1714529409.639276
16.241689920425415,1.012860357717949,28,0.8165418007207617,1.3564023377281056,12.190421342849731,2.1729441384488672,28,1714529409.961442
16.581374406814575,1.0299290429930412,29,0.7756750948562012,1.349504936638632,12.530261278152466,2.1251800314948333,29,1714529410.3011265
16.96404528617859,0.9991557187605942,30,0.7858858111508206,1.2939424634711656,12.912578105926514,2.079828274621986,30,1714529410.6837974
17.325204610824585,1.0122594707777546,31,0.7565353581993032,1.2802636193513102,13.274135112762451,2.0367989775506135,31,1714529411.0449567
17.72257900238037,0.9603076593001988,32,0.7590905351712529,1.223077972025104,13.671136617660522,1.9821685071963568,32,1714529411.442331
18.158071517944336,0.9823101190666551,33,0.713353005831061,1.2168650303642967,14.106280326843262,1.9302180361953578,33,1714529411.8778236
18.562137603759766,0.9480853445813825,34,0.7266044109816739,1.1557705863800543,14.510467052459717,1.8823749973617283,34,1714529412.2818897
18.97571849822998,0.9661320107277963,35,0.6958947618631978,1.1425484943808293,14.924484491348267,1.8384432562440272,35,1714529412.6954706
19.377235412597656,0.9369997985428069,36,0.7017036025859535,1.091517583026391,15.325790882110596,1.7932211856123446,36,1714529413.0969875
19.71941590309143,0.7181849172320927,37,0.6773323688151036,1.0567023847452124,15.668189287185669,1.734034753560316,37,1714529413.439168
20.0415997505188,0.7598562834941781,38,0.4670311511387622,0.9576504105295272,15.990374565124512,1.4246815616682893,38,1714529413.7613518
20.368205547332764,0.776457604534972,39,0.48986013591184824,0.6327031475364586,16.316990852355957,1.1225632834483068,39,1714529414.0879576
20.68889856338501,0.7407001349536456,40,0.49774847031319136,0.5905622602923527,16.6376633644104,1.088310730605544,40,1714529414.4086506
21.388960123062134,0.7390717508465398,42,0.4816671966564974,0.5337714372337741,17.337424516677856,1.0154386338902714,41,1714529415.1087122
22.81571340560913,0.7160276383388918,46,0.4500455463727321,0.4415674650431947,18.764174938201904,0.8916130114159269,42,1714529416.5354655
