time,_runtime,loss,_timestamp,loss_interior,loss_boundary,step,_step,l2_error
1.0904128551483154,5.232910633087158,48.799294749915575,1714525997.3890495,48.79311548923636,0.006179260679215324,0,0,0.4102749024517091
1.3832340240478516,5.24451470375061,48.72957293607922,1714525997.4006536,48.72226188909613,0.007311046983087858,1,1,0.3964363063925317
1.3933472633361816,5.254307985305786,48.60036792550196,1714525997.410447,48.590642885602556,0.009725039899405227,2,2,0.3780029429465284
1.4041383266448975,5.265074014663696,48.42219689723253,1714525997.421213,48.40844719342146,0.013749703811070267,3,3,0.35670830363308914
1.4143328666687012,5.275287628173828,48.20335762426736,1714525997.4314265,48.18351875568088,0.019838868586480467,4,4,0.334373995313534
1.424708366394043,5.285664319992065,47.94784643522851,1714525997.4418032,47.91924336161574,0.0286030736127695,5,5,0.313220356073253
1.4350266456604004,5.296001672744751,47.65390310793138,1714525997.4521406,47.612965904518305,0.040937203413074844,6,6,0.29662661119314515
1.4450831413269043,5.306123733520508,47.31301376690788,1714525997.4622626,47.254763621086525,0.05825014582135425,7,7,0.2903090919956614
1.4559621810913086,5.3169121742248535,46.90897517392007,1714525997.473051,46.82615769627288,0.08281747764719065,8,8,0.3030999147208774
1.466202735900879,5.327225923538208,46.41652899830267,1714525997.4833648,46.29821968216745,0.11830931613521468,9,9,0.3454657719300183
1.4769229888916016,5.337925910949707,45.79900548241852,1714525997.4940648,45.62842790857538,0.17057757384314065,10,10,0.42600779024435786
1.4875128269195557,5.349828481674194,45.00418239079269,1714525997.5059674,44.75539156149007,0.24879082930262156,11,11,0.5501832757535442
1.4993577003479004,5.360372304916382,43.95677974978322,1714525997.5165112,43.589869163940406,0.36691058584281394,12,12,0.7218783567105778
1.5093529224395752,5.370394468307495,42.54378994377974,1714525997.5265334,41.99864812746906,0.5451418163106805,13,13,0.9438631214529649
1.5187652111053467,5.3799238204956055,40.583560355507416,1714525997.5360627,39.77355073182325,0.8100096236841688,14,14,1.2150664964647933
1.528303861618042,5.389457941055298,37.760818964570724,1714525997.5455968,36.57136639323909,1.189452571331636,15,15,1.5234590756540967
1.538022756576538,5.398584842681885,33.51421711576892,1714525997.5547237,31.819471724491812,1.6947453912771129,16,16,1.8294290334492431
1.547494649887085,5.408094882965088,26.96973930887848,1714525997.5642338,24.69363146477986,2.27610784409862,17,17,2.0317444722101285
1.5567059516906738,5.4173078536987305,17.641131238318682,1714525997.5734468,14.850555949331232,2.7905752889874496,18,18,2.0946372013686316
1.565755844116211,5.426360845565796,22.238133179479924,1714525997.5824997,18.771089828242474,3.4670433512374514,19,19,2.6013623059218243
1.577934980392456,5.43856406211853,23.839299529875113,1714525997.594703,19.236835655274465,4.602463874600646,20,20,2.361543545283234
1.5875115394592285,5.448094606399536,15.339990873176108,1714525997.6042335,11.636413022370288,3.70357785080582,21,21,1.5863055411814944
1.5966911315917969,5.4572978019714355,16.63350114197638,1714525997.6134367,14.626718996581271,2.0067821453951087,22,22,1.1216654727512891
1.6058011054992676,5.466334104537964,20.047627558225265,1714525997.622473,18.860918805573974,1.1867087526512927,23,23,1.0396921255288263
1.614762306213379,5.475353240966797,19.263810978351238,1714525997.6314921,18.223126253860578,1.040684724490661,24,24,1.2469700451521768
1.6237156391143799,5.484334230422974,15.709017729845026,1714525997.6404731,14.36973848560156,1.3392792442434651,25,25,1.593507235781284
1.6328723430633545,5.4935126304626465,12.66201122093746,1714525997.6496515,10.715181190198907,1.946830030738554,26,26,1.7034334477258273
1.641831398010254,5.5023345947265625,10.929351031513935,1714525997.6584735,8.60449191912159,2.3248591123923443,27,27,1.529795420368709
1.6507201194763184,5.51128888130188,12.922059168873176,1714525997.6674278,10.641346159153194,2.2807130097199817,28,28,1.3350829230914243
1.6596758365631104,5.520251989364624,10.08583525445638,1714525997.676391,8.250710024648985,1.8351252298073955,29,29,1.0608919826558276
1.6687309741973877,5.5293121337890625,7.946422586659457,1714525997.685451,6.7336386060095395,1.212783980649918,30,30,0.99472522545323
1.6776683330535889,5.538222551345825,9.718265731337231,1714525997.6943614,8.738141969612085,0.9801237617251464,31,31,0.9947175156213021
1.6865530014038086,5.54714560508728,9.229847217248121,1714525997.7032845,8.289887001637771,0.9399602156103503,32,32,0.9175239940023293
1.6956422328948975,5.556235074996948,7.17930555369586,1714525997.712374,6.3061264721339185,0.8731790815619417,33,33,0.9478441831096333
1.7046101093292236,5.565197467803955,6.961007087721516,1714525997.7213364,6.062226323934768,0.8987807637867479,34,34,1.2492834693252794
1.7135334014892578,5.574106216430664,7.035301592645126,1714525997.730245,5.828832889937789,1.2064687027073375,35,35,1.481430141549312
1.722421407699585,5.582990884780884,8.101382480128876,1714525997.7391298,6.580638139422113,1.5207443407067638,36,36,1.2437663474798977
1.731490135192871,5.592071294784546,6.8517860518650995,1714525997.7482102,5.603969499096386,1.247816552768714,37,37,0.951227055636674
1.740412712097168,5.6010026931762695,6.447494007173297,1714525997.7571416,5.558170877666862,0.8893231295064349,38,38,0.9184427388537241
1.749509572982788,5.61004376411438,5.26947805220246,1714525997.7661827,4.508921106066751,0.7605569461357087,39,39,0.9450909161314147
1.758396863937378,5.618991374969482,5.737632624393829,1714525997.7751303,5.054391937006582,0.6832406873872461,40,40,0.8421122990441154
1.7749314308166504,5.635540962219238,5.113862811941744,1714525997.7916799,4.6279095961466785,0.48595321579506545,42,41,0.7200507204112786
1.8085722923278809,5.669275522232056,4.249310071466637,1714525997.8254144,3.512777629056862,0.7365324424097757,46,42,0.7414583896427065
