step,l2_error,loss,_step,_runtime,_timestamp,loss_interior,loss_boundary,time
0,0.3056135052669171,48.799294749915575,0,5.729590177536011,1714525393.396259,48.79311548923636,0.006179260679215324,1.5746393203735352
1,0.45508615812739567,45.245107808869605,1,5.8818535804748535,1714525393.5485225,45.12126688970278,0.12384091916682582,1.9863650798797607
2,0.5010251551444324,24.581398279711483,2,6.028293132781982,1714525393.694962,24.3561763685934,0.22522191111808443,2.1313486099243164
3,0.37774540828819214,6.2136714409904235,3,6.169781923294067,1714525393.8364508,6.051841125984297,0.16183031500612582,2.2740814685821533
4,0.2698218693307149,2.121153797952807,4,6.308050632476807,1714525393.9747195,2.0218027446956817,0.09935105325712532,2.4123916625976562
5,0.21722791206878933,0.9382349030507756,5,6.454050064086914,1714525394.120719,0.8768383055900721,0.06139659746070345,2.5518651008605957
6,0.19886585971879236,0.4006335324276703,6,6.596367359161377,1714525394.2630363,0.35210812190395774,0.04852541052371254,2.700697898864746
7,0.18686462324944783,0.28811266766812577,7,6.733586549758911,1714525394.4002554,0.2467239157519418,0.04138875191618398,2.837916135787964
8,0.1597003631300108,0.1917332455681538,8,6.8710596561431885,1714525394.5377285,0.15251863902321658,0.03921460654493722,2.9754157066345215
9,0.1509838905482094,0.12247434684457616,9,7.0112080574035645,1714525394.677877,0.09268607009027553,0.029788276754300624,3.1154463291168213
10,0.1260292803551297,0.09169212187721429,10,7.148906469345093,1714525394.8155754,0.0647269601226301,0.026965161754584188,3.2531845569610596
11,0.12082834053299125,0.06530134048981395,11,7.2970802783966064,1714525394.9637492,0.04640811537577217,0.01889322511404178,3.4008729457855225
12,0.11110328415014054,0.055682293714103964,12,7.437626600265503,1714525395.1042955,0.03819650216592772,0.017485791548176238,3.541905403137207
13,0.10312440227150321,0.049089558216347494,13,7.581936836242676,1714525395.2486057,0.03458514841973919,0.014504409796608305,3.6862294673919678
14,0.07790248349166064,0.04327056039915349,14,7.721457242965698,1714525395.3881261,0.030620449599355688,0.012650110799797802,3.8257551193237305
15,0.07514513197481516,0.033888653748614814,15,7.861401319503784,1714525395.5280702,0.02577749727798522,0.008111156470629596,3.965711832046509
16,0.06875813595559424,0.03014124162891013,16,8.003128051757812,1714525395.669797,0.022518154879764794,0.0076230867491453354,4.107929944992065
17,0.06388361180331575,0.02710295086734961,17,8.140546798706055,1714525395.8072157,0.020394593617390846,0.006708357249958763,4.245296955108643
18,0.059184700753795186,0.02432797750855475,18,8.282436847686768,1714525395.9491057,0.018084205464490914,0.006243772044063837,4.387245416641235
19,0.057225723843963815,0.021767378180872266,19,8.425180912017822,1714525396.0918498,0.01602818184080188,0.005739196340070387,4.5299601554870605
20,0.05693735516536143,0.02009219303156213,20,8.577756881713867,1714525396.2444258,0.014649616045918091,0.005442576985644039,4.6825597286224365
21,0.05506392276596505,0.0183932526258722,21,8.72223973274231,1714525396.3889086,0.01322872320384204,0.005164529422030162,4.827044248580933
22,0.05353213017456581,0.017118414868122944,22,8.865568399429321,1714525396.5322373,0.012172715763403218,0.0049456991047197255,4.970379829406738
23,0.05094098055481877,0.015783572568684685,23,9.007230520248413,1714525396.6738994,0.011022996724946115,0.004760575843738572,5.112006664276123
24,0.04980201284656138,0.014138556781861034,24,9.150792121887207,1714525396.817461,0.009653485567986382,0.004485071213874652,5.255593299865723
25,0.04468262759455619,0.013109270948874742,25,9.290943145751953,1714525396.957612,0.0087937406420085,0.004315530306866242,5.395660400390625
26,0.04463396146044932,0.011560219401907481,26,9.42604923248291,1714525397.0927181,0.007841235338120568,0.003718984063786913,5.530808925628662
27,0.04392621396118852,0.010111939086174313,27,9.560736179351807,1714525397.227405,0.006477802224533915,0.003634136861640398,5.665483713150024
28,0.04454902322674275,0.008900042737018651,28,9.69356083869934,1714525397.3602297,0.005517200026136599,0.0033828427108820516,5.798295736312866
29,0.043494941557680813,0.008334645851298615,29,9.825604438781738,1714525397.4922733,0.0050470404385843815,0.003287605412714233,5.930506944656372
30,0.039882184884083106,0.0076691717524002695,30,9.957679271697998,1714525397.6243482,0.004514875025128521,0.0031542967272717485,6.062535524368286
31,0.039334339413179625,0.006943114111720607,31,10.094318866729736,1714525397.7609878,0.004161893607213154,0.0027812205045074532,6.199117422103882
32,0.03892099748316866,0.005842249200145668,32,10.233456134796143,1714525397.900125,0.003157671248969828,0.0026845779511758404,6.338255167007446
33,0.038530541638572814,0.005619470227343822,33,10.372645616531372,1714525398.0393145,0.003022672426967421,0.002596797800376401,6.477486610412598
34,0.03817255401419576,0.005309624469090082,34,10.524624109268188,1714525398.191293,0.0027987253685183284,0.0025108991005717536,6.628634214401245
35,0.03863159026040411,0.004851897315294724,35,10.664630651473999,1714525398.3312995,0.0025599651748373464,0.002291932140457378,6.768993139266968
36,0.03732514990149342,0.0044950963288835424,36,10.802658319473267,1714525398.4693272,0.002283209530921886,0.002211886797961657,6.9070305824279785
37,0.035979687951085,0.004211059824525028,37,10.942023038864136,1714525398.608692,0.0021075116037267342,0.002103548220798293,7.046359300613403
38,0.03360106333446618,0.003895281895310338,38,11.081079006195068,1714525398.747748,0.0018860185160143174,0.0020092633792960207,7.185452222824097
39,0.03308591594219117,0.0036611853911467564,39,11.2182776927948,1714525398.8849466,0.0017838051852508646,0.0018773802058958918,7.32311749458313
40,0.03262878796805957,0.003383671588932523,40,11.35455322265625,1714525399.021222,0.0015493101820498298,0.0018343614068826932,7.459390878677368
42,0.030752931921824822,0.0029527185173634837,41,11.623808860778809,1714525399.2904778,0.001285244679369636,0.0016674738379938478,7.728710889816284
