_step,_timestamp,loss_interior,_runtime,loss_boundary,step,time,l2_error,loss
0,1715375769.7794738,46.920246795591744,5.909909725189209,0.006210411064169767,0,1.666541576385498,0.39303493624868513,46.92645720665591
1,1715375769.9274552,42.376838347511566,6.057891130447388,0.01183832840091928,1,2.1430041790008545,0.7551175023186505,42.388676675912485
2,1715375770.07158,13.509757852933786,6.2020158767700195,0.6057641510974764,2,2.286102533340454,1.0303592250382625,14.115522004031263
3,1715375770.206891,7.589027219735585,6.337327003479004,1.07209584509241,3,2.4226558208465576,0.9774292893728418,8.661123064827995
4,1715375770.339362,4.8961434972479605,6.469797849655151,0.8699424186885665,4,2.5551462173461914,0.8192434130354608,5.766085915936527
5,1715375770.471112,2.845066339518629,6.601547956466675,0.6114730871873654,5,2.6868934631347656,0.6453631662574552,3.4565394267059943
6,1715375770.6019568,1.5390954374309682,6.73239278793335,0.3565507168253061,6,2.817776918411255,0.47171615352423274,1.8956461542562744
7,1715375770.7349336,0.7596357592768949,6.865369558334351,0.22624744525836968,7,2.9506897926330566,0.3849259914626251,0.9858832045352646
8,1715375770.8665085,0.4417724779660087,6.996944427490234,0.15855821323657435,8,3.0822906494140625,0.3143036619131323,0.6003306912025831
9,1715375770.9973269,0.30770337156832456,7.127762794494629,0.10781619620198933,9,3.213090181350708,0.2886920460817671,0.4155195677703139
10,1715375771.1286201,0.197730970381572,7.259056091308594,0.09333017382568487,10,3.3444011211395264,0.262860728504174,0.29106114420725687
11,1715375771.2636237,0.14765068225931796,7.394059658050537,0.07829671823697512,11,3.479365348815918,0.22602384915358312,0.22594740049629308
12,1715375771.395479,0.0976798518282891,7.525914907455444,0.05816051070488772,12,3.611250877380371,0.19080877259810586,0.15584036253317682
13,1715375771.5290399,0.062235269040318564,7.659475803375244,0.04160871657226329,13,3.74476957321167,0.17816104755847834,0.10384398561258185
14,1715375771.6635666,0.04725647050204886,7.794002532958984,0.036288197777964895,14,3.8793785572052,0.16947548942863844,0.08354466828001375
15,1715375771.7956884,0.036215012605374804,7.926124334335327,0.03250273547456642,15,4.011342763900757,0.1611129299639344,0.06871774807994122
16,1715375771.9275334,0.02771863544206561,8.057969331741333,0.028388510998781192,16,4.143296480178833,0.15335994960624708,0.0561071464408468
17,1715375772.0618045,0.020521338763519352,8.192240476608276,0.02441442284559499,17,4.277548313140869,0.14371273765953987,0.04493576160911435
18,1715375772.1942906,0.01499128599178467,8.324726581573486,0.02120558338668439,18,4.410061597824097,0.11957979208066177,0.03619686937846906
19,1715375772.3302474,0.009307632161501878,8.460683345794678,0.014767327200634632,19,4.545994758605957,0.11183873876016102,0.024074959362136508
20,1715375772.4634926,0.006827970075986747,8.593928575515747,0.013037964213524746,20,4.679214000701904,0.10856956317584605,0.019865934289511493
21,1715375772.5954864,0.005206052840825078,8.725922346115112,0.01221273979995851,21,4.811144828796387,0.1023411269750243,0.01741879264078359
22,1715375772.7265372,0.004805768481871549,8.85697317123413,0.010456169109287034,22,4.942307233810425,0.10019611091223947,0.015261937591158584
23,1715375772.8582666,0.0027182709460834005,8.988702535629272,0.00981670870867236,23,5.0740065574646,0.09462341642774941,0.012534979654755762
24,1715375772.9911208,0.00203661591842428,9.121556758880615,0.008424152217967489,24,5.206828832626343,0.09149565084282432,0.010460768136391768
25,1715375773.1286032,0.0015624554757464099,9.259039163589478,0.007827414505810188,25,5.344347238540649,0.07045349959508128,0.009389869981556598
26,1715375773.2624118,0.002340473075623415,9.392847776412964,0.004739668232082731,26,5.4781529903411865,0.06712797094838711,0.007080141307706147
27,1715375773.3970935,0.0014094890205170296,9.52752947807312,0.004354794975039752,27,5.6128151416778564,0.06379103283995419,0.005764283995556781
28,1715375773.5290973,0.0010547666731948466,9.659533262252808,0.004022919104750656,28,5.744731426239014,0.06234936178667456,0.0050776857779455025
29,1715375773.66457,0.000894729690888375,9.795006036758423,0.0038703091412182642,29,5.879732370376587,0.05860995577691739,0.004765038832106639
30,1715375773.7998412,0.0008509689789920339,9.930277109146118,0.003569267421131848,30,6.015580654144287,0.04874186854929666,0.004420236400123882
31,1715375773.9351442,0.0012939201720010398,10.065580129623413,0.0027777295405308077,31,6.150498628616333,0.04843116378361387,0.004071649712531848
32,1715375774.0680838,0.0007603528160541364,10.198519706726074,0.002752211629693981,32,6.283374309539795,0.04825719730305546,0.0035125644457481174
33,1715375774.2009566,0.0006816242745972767,10.331392526626587,0.0027355228940845948,33,6.4166858196258545,0.04765680299396997,0.0034171471686818716
34,1715375774.337962,0.000605607200809056,10.468397855758667,0.0026504308338511067,34,6.553697824478149,0.04475596078893228,0.003256038034660163
35,1715375774.473171,0.0006559339997824928,10.603606939315796,0.0024104035802613158,35,6.688559055328369,0.04344525900097177,0.0030663375800438087
36,1715375774.6050406,0.0004777597633104363,10.73547649383545,0.0023105945445309143,36,6.820833683013916,0.04263399105908246,0.0027883543078413508
37,1715375774.7393813,0.00041379933906128264,10.86981725692749,0.002246045259781135,37,6.955172061920166,0.040314477220099114,0.0026598445988424177
38,1715375774.8700514,0.00037948127795715613,11.000487327575684,0.0020917911725499777,38,7.08580470085144,0.03933085549417078,0.002471272450507134
39,1715375775.0016398,0.00033006168045559864,11.132075786590576,0.0020218762074483967,39,7.217447757720947,0.03856725907309158,0.0023519378879039952
40,1715375775.138601,0.00029908384335502976,11.269037008285522,0.0019695167571247498,40,7.354409456253052,0.03678294713836713,0.0022686006004797796
41,1715375775.4142056,0.00023301785640275524,11.544641494750977,0.0018083368757430892,42,7.629960775375366,0.0346804653865058,0.0020413547321458444
