loss_boundary,loss_interior,_timestamp,l2_error,loss,step,time,_step,_runtime
0.006179260679215324,48.79311548923636,1714525686.2330024,0.09640329559615779,48.799294749915575,0,1.5697994232177734,0,5.642508506774902
0.01209010598778032,3.011896792117661,1714525686.393822,0.27123584778075766,3.0239868981054414,1,1.964221477508545,1,5.803328037261963
0.04471154852959103,0.38190786346948735,1714525686.5194726,0.12607557967907854,0.4266194119990784,2,2.089513063430786,2,5.928978681564331
0.014054714607756605,0.02182373138518853,1714525686.643192,0.14722232994720338,0.03587844599294514,3,2.214273452758789,3,6.052698135375977
0.019575785412864127,0.006058966920921185,1714525686.7697878,0.14722232994720338,0.025634752333785312,4,2.340982437133789,4,6.179293870925903
0.019575785412864127,0.006058966920921185,1714525686.8933775,0.14830569741790406,0.025634752333785312,5,2.464611768722534,5,6.302883625030518
0.019846386081646624,0.005563123466785219,1714525687.0159273,0.14822100401868507,0.025409509548431842,6,2.5872862339019775,6,6.425433397293091
0.01980736275534057,0.005339875959296884,1714525687.1383545,0.14569376620322763,0.025147238714637456,7,2.7093405723571777,7,6.547860622406006
0.019115460188711287,0.005551968603509077,1714525687.2618175,0.14069146009502584,0.024667428792220364,8,2.833026885986328,8,6.671323537826538
0.01782488520680422,0.006349281875713483,1714525687.3863766,0.12588849874381536,0.024174167082517704,9,2.9574825763702393,9,6.795882701873779
0.014337942639369074,0.008670384876453914,1714525687.5109887,0.09030204779425044,0.02300832751582299,10,3.0820157527923584,10,6.920494794845581
0.00766749210494387,0.013502930195858937,1714525687.6351416,0.07264954107332773,0.021170422300802808,11,3.2064335346221924,11,7.044647693634033
0.005217204836411308,0.014492506859728735,1714525687.757701,0.058389600004616155,0.019709711696140043,12,3.329083204269409,12,7.1672070026397705
0.003627406145951201,0.013918859920664968,1714525687.879906,0.05496253482275271,0.01754626606661617,13,3.4512174129486084,13,7.289412021636963
0.003255252243087999,0.012929619715190124,1714525688.0036137,0.05616463108492265,0.016184871958278123,14,3.574359178543091,14,7.413119792938232
0.0033457881640193824,0.012706537974686233,1714525688.1348839,0.057763818551788484,0.016052326138705615,15,3.705817937850952,15,7.544389963150024
0.0034675151431391962,0.012432779892654327,1714525688.2592616,0.05963760035381672,0.015900295035793523,16,3.830481767654419,16,7.668767690658569
0.003611085595509831,0.012148917683569122,1714525688.3842962,0.061637554164047086,0.015760003279078953,17,3.9554216861724854,17,7.793802261352539
0.0037641545808568015,0.011877575218739295,1714525688.5111938,0.06360550664874937,0.015641729799596098,18,4.082210302352905,18,7.920699834823608
0.003912252573913626,0.011622166486617442,1714525688.6404157,0.06538757639482409,0.015534419060531067,19,4.210896968841553,19,8.049921751022339
0.00403999410985756,0.01136903276172789,1714525688.7711825,0.06862013815119453,0.01540902687158545,20,4.341897487640381,20,8.180688619613647
0.0042616789524506146,0.010921021887680822,1714525688.8956134,0.07129966129973743,0.015182700840131437,21,4.4664716720581055,21,8.305119514465332
0.004431336126557124,0.010498251375333325,1714525689.0202148,0.07511545166269318,0.01492958750189045,22,4.591141939163208,22,8.429720878601074
0.00462940464196808,0.009585043558415206,1714525689.1461713,0.07939763479597484,0.014214448200383287,23,4.717107534408569,23,8.55567741394043
0.004797401842156747,0.00782265577831918,1714525689.2754226,0.07817964624090272,0.012620057620475926,24,4.846355438232422,24,8.68492865562439
0.0045829725693635895,0.006175133658810513,1714525689.4002903,0.07411982778621334,0.010758106228174103,25,4.971123218536377,25,8.809796333312988
0.0042097929808318935,0.00547424111859325,1714525689.5240824,0.0668670682382837,0.009684034099425143,26,5.095015287399292,26,8.93358850479126
0.0036129751753291297,0.005131694808881553,1714525689.656933,0.06208206667956083,0.008744669984210682,27,5.227365255355835,27,9.066439151763916
0.0032570262551504746,0.005247407797884984,1714525689.783392,0.0591559855431494,0.008504434053035458,28,5.353996992111206,28,9.192898035049438
0.003050558183966496,0.005360193618514662,1714525689.912965,0.055763769873357905,0.008410751802481159,29,5.48340368270874,29,9.322471141815186
0.002820779439861057,0.005494062934239666,1714525690.0429692,0.05205270308622199,0.008314842374100722,30,5.61411714553833,30,9.452475309371948
0.0025815873021272757,0.005655581692157903,1714525690.1693916,0.048190416537280324,0.008237168994285178,31,5.740169525146484,31,9.578897714614868
0.002345858234250839,0.005841189438998666,1714525690.2959712,0.04436630332608572,0.008187047673249504,32,5.866321086883545,32,9.705477237701416
0.002124753273469971,0.006037561585597925,1714525690.4231277,0.04079131228998165,0.008162314859067895,33,5.9936089515686035,33,9.83263373374939
0.0019272389744809256,0.006223498348071781,1714525690.5559616,0.03769158712766625,0.008150737322552707,34,6.126300573348999,34,9.965467691421509
0.0017598204274377634,0.006372993911923505,1714525690.6835358,0.035288536035005945,0.008132814339361269,35,6.253964424133301,35,10.093041896820068
0.0016264683661708676,0.006458988305928215,1714525690.8085659,0.033226110822986994,0.008085456672099083,36,6.379520893096924,36,10.218071937561035
0.0014648052443689212,0.006489225971110477,1714525690.9386408,0.03496827364082691,0.007954031215479399,37,6.509432077407837,37,10.348146915435791
0.001435395328759898,0.00633777824613599,1714525691.06314,0.04565909487416776,0.007773173574895887,38,6.634077072143555,38,10.472645998001099
0.0016965926148884147,0.005639019473992929,1714525691.1953454,0.058836448642527336,0.007335612088881344,39,6.7657763957977295,39,10.604851484298706
0.002234007097691312,0.0046043260858392105,1714525691.3254027,0.07002842675636216,0.006838333183530523,40,6.895865440368652,40,10.734908819198608
0.003301687743543871,0.0023803911322024932,1714525691.5777087,0.08037402476779741,0.0056820788757463644,42,7.148469924926758,41,10.987214803695679
