l2_error,loss_interior,loss,_runtime,_timestamp,step,time,_step,loss_boundary
0.6082955999165447,49.75080524600818,50.547725792114214,5.328521251678467,1714528775.4050753,0,1.1483755111694336,0,0.7969205461060336
1.245599547536777,41.2990025588283,41.561400316297494,5.527599573135376,1714528775.6041536,1,1.542344570159912,1,0.2623977574691982
1.2519456641922813,26.41057469059764,27.703106630231474,5.828849792480469,1714528775.9054039,2,1.8439557552337646,2,1.292531939633834
1.5197021657744894,9.642812738418105,11.112890396984598,6.125127077102661,1714528776.2016811,3,2.140270471572876,3,1.4700776585664932
1.2663102829674548,4.10715328652054,6.289540837307618,6.447443962097168,1714528776.523998,4,2.4625558853149414,4,2.182387550787077
0.7819188984416285,2.27563852403023,3.810781069301086,6.794856786727905,1714528776.8714108,5,2.8099119663238525,5,1.5351425452708558
0.2881004943030206,1.5354443162143445,2.117311529315563,7.231775522232056,1714528777.3083296,6,3.2468717098236084,6,0.5818672131012184
0.15641693933438244,0.7559193511370426,0.841708849528301,7.688724040985107,1714528777.765278,7,3.70245099067688,7,0.08578949839125852
0.12673829502500394,0.32843915086496245,0.36064524851262014,8.067790031433105,1714528778.144344,8,4.082897424697876,8,0.03220609764765769
0.10120938614807412,0.021895721397888618,0.045907574679588455,8.541386842727661,1714528778.617941,9,4.556433916091919,9,0.024011853281699837
0.06714101646834653,0.02028840717159437,0.03539386082277264,9.107872009277344,1714528779.184426,10,5.122980117797852,10,0.01510545365117827
0.04430936561103728,0.005483211252469358,0.012279055082709812,9.643006324768066,1714528779.7195604,11,5.658082008361816,11,0.006795843830240454
0.027153778999624643,0.002965021426768298,0.005998847453701191,10.384785890579224,1714528780.46134,12,6.3999104499816895,12,0.0030338260269328933
0.017534849805282433,0.002594318585990344,0.0036614971564004266,11.030006408691406,1714528781.1065605,13,7.0450849533081055,13,0.0010671785704100827
0.008438803776329485,0.0012622090637568028,0.0015853512312547803,11.67164134979248,1714528781.7481954,14,7.686635494232178,14,0.00032314216749797746
0.006265812660695223,0.00021025703803653385,0.0003106874273219345,12.394837617874146,1714528782.4713917,15,8.409899473190308,15,0.00010043038928540061
0.006027737802736313,8.346455061010098e-05,0.00016001248315842783,13.289153099060059,1714528783.3657072,16,9.304198026657104,16,7.654793254832683e-05
0.005559981230343623,6.536226689756193e-05,0.00013435130351284604,14.328370332717896,1714528784.4049244,17,10.343386888504028,17,6.89890366152841e-05
0.0051401090319840685,5.1544708244567174e-05,0.00011000904221866117,15.320320129394531,1714528785.3968742,18,11.33540391921997,18,5.8464333974093994e-05
0.004697636183238201,4.385838829135655e-05,9.206569317250587e-05,16.44306516647339,1714528786.5196192,19,12.457903385162354,19,4.820730488114932e-05
0.004304233436321206,4.373037439218262e-05,8.128556806851351e-05,17.446868419647217,1714528787.5234225,20,13.46185564994812,20,3.755519367633089e-05
0.004089753504913211,3.980029204567935e-05,6.895177229820313e-05,18.89428949356079,1714528788.9708436,21,14.909342288970947,21,2.915148025252378e-05
0.003953101888657248,4.003697748435564e-05,6.443853515273267e-05,20.009993314743042,1714528790.0865474,22,16.025007724761963,22,2.440155766837703e-05
0.0037428036252413837,3.2271455012084187e-05,5.39685235265543e-05,20.44738221168518,1714528790.5239363,23,16.462422609329224,23,2.169706851447011e-05
0.003607514315202283,2.9638916126451938e-05,4.9465584846022016e-05,21.86517333984375,1714528791.9417274,24,17.88022017478943,24,1.9826668719570078e-05
0.0034899800715252134,2.7843700541099482e-05,4.614201940973724e-05,22.38073492050171,1714528792.457289,25,18.39582872390747,25,1.829831886863776e-05
0.003390906967478734,2.645090856835922e-05,4.3771269214516116e-05,22.959656953811646,1714528793.036211,26,18.974679946899414,26,1.73203606461569e-05
0.0033424349001614367,2.6010826759721987e-05,4.231954000361294e-05,23.744182109832764,1714528793.8207362,27,19.7591655254364,27,1.6308713243890947e-05
0.0032795030604992263,2.554480034641465e-05,4.0912614876502515e-05,24.3224196434021,1714528794.3989737,28,20.337456703186035,28,1.5367814530087866e-05
0.003231720198560094,2.5368887679632574e-05,3.966057602111201e-05,25.784882307052612,1714528795.8614364,29,21.799944400787354,29,1.4291688341479437e-05
0.003108148599505017,2.225267765246389e-05,3.5703407881727715e-05,26.50570321083069,1714528796.5822573,30,22.520743131637573,30,1.3450730229263826e-05
0.0029122035178239325,2.1339501684566154e-05,3.391500568970874e-05,28.00320291519165,1714528798.079757,31,24.018200159072876,31,1.2575504005142585e-05
0.0027466007119905794,2.0135742291273708e-05,3.156846117915967e-05,28.62974715232849,1714528798.7063012,32,24.644792556762695,32,1.143271888788596e-05
0.0026163127941220134,1.6964234515125546e-05,2.7633614445655686e-05,30.03627634048462,1714528800.1128304,33,26.05132532119751,33,1.066937993053014e-05
0.002504002337662315,1.361694114608305e-05,2.3288726840672906e-05,30.422426223754883,1714528800.4989803,34,26.43749976158142,34,9.671785694589855e-06
0.002276497998874766,1.1881432836708134e-05,2.0868235860974934e-05,31.694368362426758,1714528801.7709224,35,27.709308862686157,35,8.9868030242668e-06
0.0022026277007451247,9.5026526248931e-06,1.7864286108795744e-05,33.61271405220032,1714528803.689268,36,29.627779483795166,36,8.361633483902642e-06
0.0020973144155465224,8.21391515135227e-06,1.57567095337198e-05,34.3779182434082,1714528804.4544723,37,30.393001079559326,37,7.542794382367528e-06
0.0019149570768814206,6.915057217795667e-06,1.3535418679512838e-05,35.12005543708801,1714528805.1966095,38,31.135111808776855,38,6.620361461717171e-06
