time,loss_boundary,loss,_timestamp,loss_interior,step,l2_error,_step,_runtime
1.0795729160308838,1.6761577093521625,121.7103350429466,1715385393.7330644,120.03417733359443,0,1.6465650622981705,0,5.35360050201416
1.3648109436035156,1.3147017224406885,118.71447536462703,1715385393.7514915,117.39977364218635,1,1.3561452938495497,1,5.372027635574341
1.3823304176330566,0.9724734276886431,114.41069092610813,1715385393.7690318,113.43821749841949,2,0.9841889796387624,2,5.389567852020264
1.3999688625335693,0.4803824552198475,110.39242882762812,1715385393.7866123,109.91204637240827,3,0.5504579228287263,3,5.407148361206055
1.4175524711608887,0.15782721405167505,98.05182882175133,1715385393.8040042,97.89400160769965,4,1.0037922805973396,4,5.424540281295776
1.4313879013061523,0.5608704648783235,85.4639617297897,1715385393.8180509,84.90309126491138,5,1.5071693049795616,5,5.438586950302124
1.448829174041748,1.2853136773752487,70.19330781663899,1715385393.8357456,68.90799413926375,6,1.7364159489464532,6,5.456281661987305
1.4664435386657715,1.7073360515047502,52.356866565074505,1715385393.8529994,50.64953051356976,7,2.0701808589778508,7,5.473535537719727
1.4841856956481934,2.6505468715720766,34.873813095140044,1715385393.8707438,32.22326622356797,8,2.889263093774284,8,5.49127984046936
1.501744031906128,5.325724173629271,22.39774488372605,1715385393.888294,17.07202071009678,9,3.1280162914675596,9,5.5088300704956055
1.5193665027618408,5.939936140224711,14.194824680356126,1715385393.9059446,8.254888540131414,10,3.4515818836432737,10,5.526480674743652
1.5366716384887695,8.526643915689483,18.765558803185435,1715385393.9232423,10.238914887495952,11,3.699449515702096,11,5.543778419494629
1.5541439056396484,9.117961366520047,27.782719359136955,1715385393.942009,18.664757992616906,12,4.348124618840636,12,5.56254506111145
1.5738961696624756,12.550460432440191,35.862352932179824,1715385393.9608257,23.311892499739635,13,3.6366871330926216,13,5.581361770629883
1.6036722660064697,9.611965089512486,26.483906728161372,1715385393.990651,16.871941638648885,14,3.292373869172696,14,5.611186981201172
1.6221554279327393,7.093482236601209,24.599702317137606,1715385394.0091228,17.506220080536398,15,3.7029609792836053,15,5.629658937454224
1.6406126022338867,8.298587512329862,16.872890183863028,1715385394.0275824,8.574302671533164,16,4.12400088722699,16,5.648118495941162
1.659294605255127,10.318963170544997,21.48927811839088,1715385394.0463045,11.170314947845885,17,3.348173592851731,17,5.666840553283691
1.678144931793213,7.100596326174968,17.192611100042445,1715385394.0651271,10.092014773867477,18,2.4334986252263526,18,5.685663223266602
1.696824550628662,4.317852135267593,16.287468464585764,1715385394.08377,11.969616329318171,19,2.303286488833125,19,5.704306125640869
1.7151103019714355,3.614323497681571,15.847159336614702,1715385394.1020393,12.23283583893313,20,2.3728792756948516,20,5.722575426101685
1.733499526977539,3.4160533938488635,12.464288173212083,1715385394.1204832,9.048234779363218,21,2.423111599190269,21,5.741019248962402
1.7516632080078125,4.103691763906791,12.271307777898834,1715385394.1386704,8.167616013992042,22,2.508308999014426,22,5.759206533432007
1.7701103687286377,4.234208333285751,13.023607188272308,1715385394.1571445,8.789398854986558,23,2.77852648916344,23,5.7776806354522705
1.788602352142334,4.473074176084656,10.461311213487473,1715385394.1756136,5.9882370374028175,24,3.2129712000319026,24,5.796149730682373
1.8067309856414795,5.8316680488256605,11.371726734238417,1715385394.1937,5.540058685412756,25,3.236330838302972,25,5.814236164093018
1.8250761032104492,5.881363155490814,11.699196518031217,1715385394.2120395,5.817833362540402,26,2.7589505496441755,26,5.832575559616089
1.8432409763336182,4.740312231867107,9.7680315895289,1715385394.2302198,5.027719357661791,27,2.239941970828901,27,5.850755929946899
1.8613698482513428,3.0236670667831747,8.393689378079355,1715385394.248332,5.37002231129618,28,1.9698527075279688,28,5.868868112564087
1.8799526691436768,2.9035608170739216,9.286689887233933,1715385394.2669125,6.383129070160011,29,1.8057920741011724,29,5.88744854927063
1.898144006729126,2.024778658227193,7.534954722377666,1715385394.2851188,5.510176064150473,30,1.665655819602122,30,5.9056549072265625
1.9163107872009277,2.0145413603259024,8.033512924868322,1715385394.3032906,6.0189715645424196,31,1.5656854493901315,31,5.923826694488525
1.9345512390136719,1.692585615666445,8.242603471954176,1715385394.3215117,6.550017856287731,32,1.564237800617762,32,5.942047834396362
1.9527981281280518,1.6143952102173744,7.703547851497636,1715385394.3397706,6.089152641280262,33,1.723747952777283,33,5.960306644439697
1.9707391262054443,2.0764851275496583,7.266096058227493,1715385394.3577275,5.189610930677835,34,1.8284716634485756,34,5.97826361656189
1.9890820980072021,2.164554567055443,7.178001269523188,1715385394.3761148,5.013446702467745,35,1.7332118329904191,35,5.99665093421936
2.007416248321533,2.1535976437193156,7.313675511031541,1715385394.3944016,5.160077867312225,36,1.58698930067909,36,6.01493763923645
2.025723934173584,1.6436258260846122,6.821311349058409,1715385394.4127011,5.177685522973797,37,1.5285137823745025,37,6.0332372188568115
2.044034481048584,1.527800067578527,7.273925261956496,1715385394.4310145,5.746125194377969,38,1.5003882641113093,38,6.051550626754761
2.0623600482940674,1.3630197606601477,6.834490595218574,1715385394.4493418,5.471470834558426,39,1.4844840073006422,39,6.069877862930298
2.0806729793548584,1.5589702369013052,6.471195522235695,1715385394.467676,4.91222528533439,40,1.4587648387522179,40,6.088212013244629
2.1365885734558105,1.3343528980265773,6.056303173913444,1715385394.523719,4.721950275886867,42,1.2791353490205628,41,6.1442551612854
2.198437213897705,1.1118928902364764,5.826082732694287,1715385394.5855556,4.71418984245781,46,1.2655097741612766,42,6.206091642379761
