_runtime,loss,loss_interior,l2_error,step,_timestamp,loss_boundary,time,_step
8.640981912612915,121.7599812787429,120.3092726036797,1.5634448836289077,0,1714834452.9722629,1.4507086750632023,2.4357006549835205,0
8.726434707641602,121.75996991634184,120.30926293340679,9.192690722294032,1,1714834453.0577157,1.4507069829350667,3.4223854541778564,1
8.766971588134766,3067.672422541615,3019.9706430263395,3.5683681381588306,2,1714834453.0982525,47.70177951527551,3.4630446434020996,2
8.809460163116455,185.75315788727107,177.19450720518554,2.3513223423426535,3,1714834453.140741,8.55865068208552,3.50522518157959,3
8.84650206565857,59.88473555843026,56.01750089780415,2.1430326766984895,4,1714834453.177783,3.8672346606261097,3.5423619747161865,4
8.881573915481567,27.272691763548867,24.129399230454087,2.1345629589796147,5,1714834453.2128549,3.14329253309478,3.5777366161346436,5
8.915619850158691,16.049070520304895,12.899031299438684,2.1629316068533577,6,1714834453.2469008,3.1500392208662107,3.6109981536865234,6
8.952932596206665,11.619110819185817,8.426386270204393,1.8822986111815674,7,1714834453.2842135,3.1927245489814244,3.6483168601989746,7
8.989300966262817,9.42982710698809,6.9973499914199575,1.6388685701270436,8,1714834453.320582,2.432477115568133,3.6850175857543945,8
9.026622772216797,7.9970746410128095,6.137433902326087,1.1796304230196963,9,1714834453.3579037,1.8596407386867222,3.7202577590942383,9
9.062750816345215,6.164025995341686,5.207312911667889,0.8652542887235104,10,1714834453.3940318,0.9567130836737973,3.758441209793091,10
9.100258588790894,4.938128921727277,4.417437325331168,0.624673800740688,11,1714834453.4315395,0.5206915963961087,3.795802116394043,11
9.136391878128052,3.8118818906292624,3.5367661281341345,0.525583935237005,12,1714834453.4676728,0.27511576249512815,3.8319344520568848,12
9.17196249961853,2.8805506078731855,2.6773995491569837,0.43401701482661104,13,1714834453.5032434,0.20315105871620162,3.867611885070801,13
9.206905126571655,2.1989579671567108,2.0541410177410047,0.378637644650756,14,1714834453.538186,0.144816949415706,3.9025564193725586,14
9.241519212722778,1.86016553814338,1.7426386010991206,0.3632398549194115,15,1714834453.5728002,0.11752693704425933,3.937190055847168,15
9.28734278678894,1.5753561035626398,1.4635913648883796,0.33436924440261123,16,1714834453.6186237,0.11176473867426015,3.982823371887207,16
9.32298994064331,1.220284742855739,1.1216116920924624,0.3327605987614456,17,1714834453.654271,0.0986730507632766,4.018465280532837,17
9.35896611213684,1.0644901728415181,0.967659454021562,0.3357701399976982,18,1714834453.690247,0.09683071881995625,4.054399013519287,18
9.403809070587158,0.9732054184771589,0.8772622794813154,0.3381057943314647,19,1714834453.73509,0.09594313899584354,4.099186420440674,19
9.440474033355713,0.8526043199588268,0.7582052648116011,0.31873907915956196,20,1714834453.771755,0.09439905514722569,4.135919570922852,20
9.477006435394287,0.9621427365208565,0.8774146154531905,0.3062786029105257,21,1714834453.8082874,0.08472812106766592,4.172512769699097,21
9.513659954071045,0.681931380270526,0.6035115515188364,0.2800189696524171,22,1714834453.844941,0.07841982875168967,4.209115028381348,22
9.549814939498901,0.6108059170162117,0.5418518441935967,0.2694586085027193,23,1714834453.881096,0.068954072822615,4.245397567749023,23
9.584972858428955,0.5591951982816,0.49884209749283187,0.28539531254133477,24,1714834453.9162538,0.060353100788768196,4.280756711959839,24
9.619284629821777,0.5138137518896125,0.44934968821101157,0.23779362728453532,25,1714834453.9505656,0.06446406367860098,4.315066814422607,25
9.653454303741455,0.4694398856354918,0.42070436292787017,0.21671924579350596,26,1714834453.9847353,0.04873552270762165,4.349210739135742,26
9.693923234939575,0.43342288478990065,0.39099987764231087,0.2239315557222983,27,1714834454.0252042,0.04242300714758979,4.389050483703613,27
9.73047137260437,0.3960148077828048,0.3539310729000038,0.24560603165746941,28,1714834454.0617523,0.042083734882801,4.425984621047974,28
9.766044855117798,0.34500919370062744,0.29963987578909035,0.2369575621016079,29,1714834454.0973258,0.045369317911537116,4.4622416496276855,29
9.80643343925476,0.31003579815459986,0.26707143775219483,0.22097667065873935,30,1714834454.1377144,0.04296436040240505,4.501922845840454,30
9.845395565032959,0.2806344468660404,0.2419005902135819,0.1963179022408611,31,1714834454.1766765,0.03873385665245848,4.5413713455200195,31
9.887336730957031,0.25488111329995905,0.22206109187851533,0.19352972265067192,32,1714834454.2186177,0.032820021421443725,4.583033323287964,32
9.920976400375366,0.2391092712045406,0.2081088853446836,0.18945994179108855,33,1714834454.2522573,0.03100038585985699,4.6170783042907715,33
9.954968690872192,0.2165518251037693,0.1865006920966322,0.18475668773430096,34,1714834454.2862496,0.030051133007137097,4.650949001312256,34
9.989192962646484,0.20569832856978326,0.1764067621336115,0.17379616681769935,35,1714834454.320474,0.029291566436171756,4.685230016708374,35
10.023672580718994,0.19009624775312023,0.16240810721031812,0.17981818692057583,36,1714834454.3549535,0.02768814054280212,4.719689607620239,36
10.057689666748047,0.18263563779201258,0.15394736047632399,0.19364514216333284,37,1714834454.3889706,0.028688277315688602,4.7538111209869385,37
10.092619180679321,0.1734722050953682,0.14215344529782223,0.19009293072056543,38,1714834454.4239001,0.031318759797545975,4.788720369338989,38
10.125816583633423,0.16508550765004068,0.13467369146780056,0.16973576260801185,39,1714834454.4570975,0.030411816182240117,4.821456432342529,39
10.161049365997314,0.15689233485860613,0.13006183036652125,0.15811120995206232,40,1714834454.4923303,0.02683050449208487,4.856629133224487,40
10.227013349533081,0.13416041493709419,0.10931836518534693,0.16685586636849045,42,1714834454.5582943,0.024842049751747256,4.92257285118103,41
10.354052066802979,0.10835116160620376,0.0868088622519358,0.148642028276866,46,1714834454.685333,0.021542299354267946,5.050349950790405,42
