loss_boundary,loss_interior,_timestamp,loss,l2_error,_runtime,step,time,_step
0.029843192091417906,36.98753711057163,1713033464.4404135,37.01738030266305,0.8763560408561679,5.780879497528076,0,1.4810116291046143,0
0.4046233722701509,24.444494570213116,1713033464.5095315,24.849117942483268,0.683606525281058,5.849997520446777,1,1.9228370189666748,1
0.24523119866388324,22.49452192419708,1713033464.5695345,22.739753122860964,0.5104230285904191,5.910000562667847,2,1.9828836917877197,2
0.14581711148942658,19.900788905514414,1713033464.6272612,20.04660601700384,0.4833192367988824,5.967727184295654,3,2.0405900478363037,3
0.1348294523696106,18.427007234746736,1713033464.6834545,18.561836687116347,0.44988942165050005,6.02392053604126,4,2.0970115661621094,4
0.11762554735857035,17.059428766881066,1713033464.7380633,17.177054314239637,0.34831837378650476,6.078529357910156,5,2.151592254638672,5
0.0829004951743003,14.56995962824778,1713033464.8080666,14.65286012342208,0.33932757139834574,6.1485326290130615,6,2.221374273300171,6
0.07956161278388413,12.567364320703238,1713033464.8689358,12.646925933487122,0.327281248091763,6.209401845932007,7,2.2810251712799072,7
0.07554133333436146,10.888242447818595,1713033464.9295225,10.963783781152957,0.3475573750381647,6.269988536834717,8,2.342238664627075,8
0.08687454247254957,9.687291925083136,1713033464.9912324,9.774166467555686,0.3294408288555103,6.331698417663574,9,2.4040229320526123,9
0.07814771740913132,8.527852975116193,1713033465.0469913,8.606000692525324,0.3477915149571504,6.387457370758057,10,2.460439443588257,10
0.08966949860402665,7.797767033060553,1713033465.1062,7.887436531664579,0.34559667072132716,6.44666600227356,11,2.519702911376953,11
0.08802998248807858,7.433909851029405,1713033465.2052717,7.521939833517484,0.3479385016614615,6.5457377433776855,12,2.6180498600006104,12
0.08861328466337495,6.8780093044561195,1713033465.2661266,6.966622589119495,0.3955920660432235,6.606592655181885,13,2.6789236068725586,13
0.117072854012377,6.047654926447785,1713033465.3243144,6.1647277804601615,0.3860156920099962,6.664780378341675,14,2.737342357635498,14
0.10639529328493885,5.237471021184606,1713033465.4393342,5.343866314469545,0.3664783010402595,6.779800176620483,16,2.8521039485931396,15
0.09917151671685358,5.086071553312248,1713033465.501246,5.1852430700291015,0.365030863891403,6.84171199798584,17,2.91404390335083,16
0.09971323484413847,4.9532582007775074,1713033465.5609846,5.052971435621646,0.3517813755346398,6.9014506340026855,18,2.9738962650299072,17
0.09324235241476074,4.641310768046852,1713033465.6752243,4.734553120461612,0.33868888881666454,7.015690326690674,20,3.088041067123413,18
0.08582616674025453,4.5115370626351945,1713033465.7373285,4.597363229375449,0.3385364465372972,7.077794551849365,21,3.1500470638275146,19
0.0818611965482348,4.161790514194117,1713033465.8503757,4.243651710742352,0.31303179549530297,7.1908416748046875,23,3.2632248401641846,20
0.07745379403306873,3.9127755963105306,1713033465.9107068,3.9902293903435995,0.30519886323944495,7.251172780990601,24,3.323458433151245,21
0.07482321694629623,3.7454934763491727,1713033466.0258307,3.820316693295469,0.30157709628275275,7.366296768188477,26,3.4386541843414307,22
0.07233645476320649,3.615304917734021,1713033466.1525958,3.6876413724972275,0.2962609894114974,7.493061780929565,28,3.565272569656372,23
0.0675728487567908,3.4232596352208517,1713033466.330462,3.4908324839776426,0.287027384366492,7.670928001403809,31,3.7426745891571045,24
0.0646480702813331,3.3180060881634406,1713033466.4485652,3.382654158444774,0.2798380476351981,7.789031267166138,33,3.8613414764404297,25
0.062454053236807444,3.225682434293965,1713033466.5682523,3.288136487530773,0.2735359499812016,7.9087183475494385,35,3.9814505577087402,26
0.05993478430268542,3.100616645518997,1713033466.759111,3.1605514298216826,0.264551759183775,8.099576950073242,38,4.172225713729858,27
0.05499377669254969,2.8914973494945193,1713033466.9382813,2.946491126187069,0.25043549960376343,8.278747320175171,41,4.351914167404175,28
0.05427678369666702,2.8134404573604757,1713033467.1737165,2.8677172410571425,0.2471632070281305,8.514182567596436,44,4.587406396865845,29
0.054278955412006676,2.6626641400258513,1713033467.5562396,2.716943095437858,0.24811428821855402,8.896705627441406,48,4.969905853271484,30
0.05422783669964006,2.590254768688884,1713033467.7719772,2.644482605388524,0.25064449608828215,9.112443208694458,51,5.178123950958252,31
0.05564333026864008,2.433705011825223,1713033468.075839,2.4893483420938627,0.2534046972191786,9.41630506515503,55,5.4886815547943115,32
0.056903596622695146,2.2323986507237574,1713033468.3348696,2.2893022473464524,0.25466042840941083,9.67533564567566,59,5.747905731201172,33
0.056590084492934525,2.095597727169983,1713033468.609999,2.1521878116629174,0.25546277227514,9.950464963912964,64,6.023353099822998,34
0.05640528112265656,1.8161455896440077,1713033468.906222,1.8725508707666643,0.2551170862606732,10.2466881275177,69,6.319715261459351,35
0.05813572290051531,1.6676794413824627,1713033469.3075936,1.725815164282978,0.25506416443749164,10.648059606552124,74,6.720212936401367,36
0.05656389520527354,1.552959155488935,1713033469.6469786,1.6095230506942086,0.2543038178084539,10.987444639205933,80,7.059829473495483,37
0.056840041987467005,1.4959002123079599,1713033469.9922545,1.552740254295427,0.25451517013863045,11.332720518112183,86,7.402784109115601,38
0.05577478170683133,1.4169451960970727,1713033470.3978102,1.472719977803904,0.25419970633282635,11.738276243209839,93,7.809898138046265,39
0.05571269155679556,1.3302859067153714,1713033470.7943869,1.385998598272167,0.2540706548814815,12.134852886199951,100,8.207269191741943,40
0.05497901800558074,1.2515311636350772,1713033471.206717,1.306510181640658,0.25144631713224347,12.5471830368042,107,8.619559049606323,41
0.05373929349162749,1.1686952009100435,1713033471.6593072,1.222434494401671,0.24799468692459906,12.999773263931274,115,9.071937322616577,42
