_runtime,time,loss_boundary,loss,step,_step,_timestamp,loss_interior,l2_error
5.636460542678833,1.4641778469085693,0.029843192091417906,37.01738030266305,0,0,1712948362.6047726,36.98753711057163,1.1067715604350918
5.868905305862427,1.9123129844665527,0.6839339531365065,23.85551426041588,1,1,1712948362.8372173,23.171580307279374,0.257118079046988
6.068670272827148,2.1125094890594482,0.04470368615118801,19.890016102250293,2,2,1712948363.0369823,19.845312416099105,0.48579265295362745
6.277385473251343,2.3211779594421387,0.13507314266936288,17.05324263802655,3,3,1712948363.2456975,16.918169495357187,0.43146812978742544
6.489297866821289,2.5331296920776367,0.09753062248214632,13.544713903859954,4,4,1712948363.45761,13.447183281377807,0.3904532593686533
6.696671962738037,2.740508794784546,0.07830897488627951,12.525268207562274,5,5,1712948363.664984,12.446959232675994,0.5544540067787788
6.899848222732544,2.943650484085083,0.15176350471543998,11.484455747146837,6,6,1712948363.8681602,11.332692242431397,1.0895227008950839
7.10841703414917,3.150973320007324,0.6310312173824529,9.989712023175722,7,7,1712948364.076729,9.358680805793268,0.6728751755968243
7.306094408035278,3.350015640258789,0.24035096301978615,7.408161849385919,8,8,1712948364.2744064,7.167810886366133,0.3926417735590999
7.509260892868042,3.553178071975708,0.09462660931409977,5.6095450137791625,9,9,1712948364.477573,5.514918404465063,0.2802118647531124
7.707504749298096,3.751413106918335,0.05982632984831265,4.606198228651226,10,10,1712948364.6758168,4.546371898802914,0.43569700099405806
7.917740106582642,3.961582899093628,0.11330429061575333,3.4489915179587913,11,11,1712948364.8860521,3.335687227343038,0.40813261523306044
8.13606309890747,4.179802656173706,0.09925736648740206,2.6376402667568954,12,12,1712948365.1043751,2.5383829002694935,0.3205227840094556
8.340155363082886,4.383928298950195,0.06217363458478062,1.745753646435309,13,13,1712948365.3084674,1.6835800118505284,0.2657298273153738
8.548818111419678,4.592599868774414,0.04416186338319737,1.4350554501871786,14,14,1712948365.5171301,1.3908935868039813,0.20194969137862112
8.944967985153198,4.988772392272949,0.021778871908006658,0.7291786821822692,16,15,1712948365.91328,0.7073998102742626,0.1687444136515882
9.141271591186523,5.185037612915039,0.023811816792882183,0.5392301797235323,17,16,1712948366.1095836,0.5154183629306501,0.16663182053571354
9.338947534561157,5.382728099822998,0.02324839773253028,0.44848392509364693,18,17,1712948366.3072596,0.42523552736111664,0.16571423323456821
9.743855476379395,5.787595987319946,0.023292391752753397,0.315097329606543,20,18,1712948366.7121675,0.29180493785378964,0.16150302439571332
9.946218490600586,5.990283489227295,0.02171570396361304,0.2655498756132159,21,19,1712948366.9145305,0.2438341716496029,0.15573174336516707
10.348628520965576,6.39240574836731,0.019209239649543065,0.19344731291426126,23,20,1712948367.3169405,0.17423807326471819,0.14635936911637376
10.551021814346313,6.594425439834595,0.018046055942470714,0.17405047973063054,24,21,1712948367.5193338,0.15600442378815982,0.13954215841770667
10.954694271087646,6.998168706893921,0.015185267224767391,0.12943566205302803,26,22,1712948367.9230063,0.11425039482826063,0.1284561424224127
11.348449230194092,7.391906261444092,0.012761183793739722,0.09960972448410119,28,23,1712948368.3167613,0.08684854069036146,0.11815944721886698
11.931379079818726,7.974874496459961,0.009908390830226441,0.06797010180042791,31,24,1712948368.899691,0.05806171097020147,0.10522095866384797
12.332479238510132,8.375878095626831,0.008185188971792677,0.050226650823760904,33,25,1712948369.3007913,0.04204146185196823,0.09635530364004298
12.768343448638916,8.811450004577637,0.006850749659559393,0.038123253308015886,35,26,1712948369.7366555,0.03127250364845649,0.08890356647907915
13.409708023071289,9.452840566635132,0.005512591335879373,0.029362517150636886,38,27,1712948370.37802,0.023849925814757512,0.07929399124275256
14.068936824798584,10.112281084060669,0.0044119595039343144,0.024829301226672085,41,28,1712948371.0372488,0.02041734172273777,0.07166006000964793
14.677369832992554,10.720793724060059,0.003691429830728276,0.022022368585022573,44,29,1712948371.6456819,0.018330938754294295,0.06669133767728214
15.493836402893066,11.53737759590149,0.003054258770409053,0.019488612082085657,48,30,1712948372.4621484,0.016434353311676603,0.061671499154412286
16.08703112602234,12.130436420440674,0.0027964407653475183,0.018057059908214598,51,31,1712948373.0553432,0.01526061914286708,0.05905783941137201
16.897631883621216,12.941046237945557,0.002455323188420858,0.016345260684925218,55,32,1712948373.865944,0.013889937496504358,0.05660013259514509
17.728737115859985,13.772180557250977,0.0022752665520670242,0.014442867291819969,59,33,1712948374.6970491,0.012167600739752945,0.05498098807042804
18.76587462425232,14.809276103973389,0.002075395657446208,0.013051143824658216,64,34,1712948375.7341866,0.010975748167212009,0.05124589689783323
19.794657230377197,15.838027954101562,0.0019267303937714286,0.012247474115314997,69,35,1712948376.7629693,0.010320743721543568,0.04931909350168403
20.806549072265625,16.850021362304688,0.0018378854379842218,0.011648883270864458,74,36,1712948377.774861,0.009810997832880235,0.04795893333866958
22.01689124107361,18.06021547317505,0.001770315424424904,0.011129646371774483,80,37,1712948378.9852033,0.009359330947349578,0.04704632821242471
23.207016229629517,19.25046730041504,0.001702815972572568,0.010817816541046547,86,38,1712948380.1753283,0.00911500056847398,0.046077270129194096
24.60838770866394,20.65176296234131,0.0016741163526172531,0.010556128151537775,93,39,1712948381.5766997,0.008882011798920522,0.04544536450080706
26.00437641143799,22.047253608703613,0.0016880587005955179,0.010397011969239658,100,40,1712948382.9726884,0.00870895326864414,0.04526650793548523
27.379204273223877,23.422802686691284,0.0016970992947181794,0.010295345069488994,107,41,1712948384.3475163,0.008598245774770814,0.04521631827584229
