_step,_timestamp,loss,_runtime,l2_error,loss_boundary,loss_interior,step,time
73,1714536479.2224283,0.0004439606286803592,46.78943228721619,0.009838065280891907,7.726476839617369e-05,0.0003666958602841855,869,43.029109716415405
74,1714536483.776237,0.0003336764072417571,51.34324097633362,0.008274669964079624,5.379118220901649e-05,0.0002798852250327406,956,47.5911545753479
75,1714536488.7983916,0.0002507115235892722,56.36539554595947,0.006866700972034337,3.779703175143948e-05,0.0002129144918378327,1052,52.61295557022095
76,1714536494.332036,0.0001938372349299415,61.89903998374939,0.005980862520726546,2.8051082637479382e-05,0.00016578615229246213,1157,58.14615345001221
77,1714536500.5429637,0.00014612979095371466,68.10996770858765,0.005353599751036228,2.230807288115474e-05,0.00012382171807255992,1272,64.35720801353455
78,1714536507.7078757,0.00011211409958380914,75.27487969398499,0.004979030116125125,1.9313329725280577e-05,9.280076985852856e-05,1400,71.52216625213623
79,1714536516.324318,8.953071768596573e-05,83.89132189750671,0.0046689353871765295,1.665340856025617e-05,7.287730912570955e-05,1539,80.12813520431519
80,1714536525.061762,7.32994963769073e-05,92.62876605987549,0.004488484882039625,1.5052492749754845e-05,5.824700362715246e-05,1693,88.8761727809906
81,1714536534.1308436,6.063624409847139e-05,101.69784760475159,0.004328038897068966,1.3891390689282034e-05,4.674485340918936e-05,1863,97.9452953338623
82,1714536544.2777767,5.193400264714969e-05,111.84478068351746,0.004193000437280669,1.2907626089192403e-05,3.902637655795729e-05,2049,108.09207725524902
83,1714536555.2348385,4.488129244180566e-05,122.80184245109558,0.004069936876648153,1.2038174421742854e-05,3.284311802006281e-05,2254,119.04901099205017
84,1714536567.1611853,3.9165740589120976e-05,134.7281892299652,0.0038889623278544885,1.1124711270002937e-05,2.8041029319118037e-05,2479,130.97571849822998
85,1714536581.4784582,3.340706544615463e-05,149.04546213150024,0.00368022730563945,9.92883831350654e-06,2.3478227132648086e-05,2727,145.29281044006348
86,1714536597.1073186,2.7416848080717357e-05,164.67432260513306,0.003414398803067312,8.403719351425582e-06,1.9013128729291775e-05,3000,160.92161321640015
87,1714536613.3727486,2.271400006809821e-05,180.93975257873535,0.003193726091923388,7.374673738845678e-06,1.5339326329252533e-05,3299,177.18729615211487
88,1714536631.625974,1.8355910022860165e-05,199.19297790527344,0.002971052311884437,6.35114122677559e-06,1.2004768796084573e-05,3629,195.44047236442566
89,1714536651.0379615,1.40707534953574e-05,218.60496544837952,0.0026894995677975825,5.145936693714182e-06,8.924816801643218e-06,3992,214.85247349739075
90,1714536672.4694648,1.0601572408666269e-05,240.03646874427795,0.0023291257880027594,3.948721514896445e-06,6.652850893769823e-06,4391,236.28385424613953
91,1714536697.8854232,7.792416231925814e-06,265.45242714881897,0.001965783939861751,2.9155019413967625e-06,4.8769142905290515e-06,4831,261.70004200935364
92,1714536724.2662077,5.525420801054358e-06,291.83321166038513,0.001622679739472428,2.0588497509245576e-06,3.4665710501298012e-06,5314,288.0806076526642
93,1714536754.1146286,4.046183631434679e-06,321.6816325187683,0.0013416464006978867,1.4353135860675166e-06,2.6108700453671625e-06,5845,317.92891025543213
94,1714536785.742844,3.0851888541860696e-06,353.30984807014465,0.0011242427402804091,1.0231734840150987e-06,2.0620153701709706e-06,6429,349.55435967445374
95,1714536819.150617,2.3999103896279292e-06,386.7176208496094,0.0009571840335704735,7.564498805115625e-07,1.6434605091163667e-06,7072,382.96506690979004
96,1714536856.1461854,2.000221082702636e-06,423.7131893634796,0.0008540506716396169,6.054310258107716e-07,1.3947900568918644e-06,7779,419.9605255126953
97,1714536896.9161906,1.6718752872102555e-06,464.48319458961487,0.0007787636345941738,5.020759266607224e-07,1.1697993605495332e-06,8557,460.7307858467102
98,1714536941.544748,1.4469450924340385e-06,509.11175203323364,0.0007239755359705517,4.377590406591468e-07,1.0091860517748917e-06,9413,505.35906052589417
99,1714536991.2132711,1.2810909415416765e-06,558.78027510643,0.0006764473099687559,3.8734690877758693e-07,8.937440327640895e-07,10354,555.0281412601471
100,1714537045.5387871,1.156628864824979e-06,613.105791091919,0.0006338395473895374,3.4443317740206203e-07,8.121956874229168e-07,11389,609.3532240390778
101,1714537105.4560976,1.0412949093484013e-06,673.023101568222,0.0005888766516011699,3.053135579399719e-07,7.359813514084295e-07,12528,669.2703025341034
102,1714537171.0661645,9.088756486803991e-07,738.6331684589386,0.0005461199277204348,2.595404468788567e-07,6.493352018015424e-07,13781,734.880487203598
103,1714537244.2029212,7.318723930796396e-07,811.7699251174927,0.0005037761060661212,2.157791917676122e-07,5.160932013120274e-07,15159,808.0171871185303
104,1714537325.5905485,5.981670354972233e-07,893.1575524806976,0.00047639017901006245,1.855318253727527e-07,4.1263521012447055e-07,16675,889.4048273563385
105,1714537412.9124138,5.04106474791661e-07,980.4794178009033,0.0004426173266322551,1.559847354533832e-07,3.481217393382778e-07,18342,976.7266201972961
106,1714537509.9466739,4.250884657702574e-07,1077.5136778354645,0.00040624909776635466,1.2937728040784686e-07,2.957111853624105e-07,20177,1073.760451555252
107,1714537615.7105298,3.488525718125467e-07,1183.2775337696075,0.00036385675388881685,1.0407668162613963e-07,2.447758901864071e-07,22194,1179.525011062622
108,1714537732.6836975,2.717537829399605e-07,1300.2507014274597,0.0003171417340663124,7.829764116080919e-08,1.9345614177915132e-07,24414,1296.4974777698517
109,1714537863.2891648,1.8167031753412778e-07,1430.8561687469482,0.0002450327675866276,4.897272407408866e-08,1.3269759346003913e-07,26855,1427.103525876999
110,1714538004.388411,1.2158992641398628e-07,1571.9554150104523,0.00019725093626545747,3.163672312373778e-08,8.995320329024851e-08,29540,1568.2022705078125
111,1714538161.1751273,7.837610004447413e-08,1728.7421312332153,0.0001478693477474387,1.76187101140936e-08,6.075738993038053e-08,32494,1724.9889602661133
112,1714538332.3836017,5.1336239549418694e-08,1899.9506056308746,0.00011468189966466512,1.0327552181981218e-08,4.1008687367437476e-08,35744,1896.1974895000458
113,1714538520.3723996,3.551101876988386e-08,2087.9394035339355,9.171860809566985e-05,6.5114167216707805e-09,2.899960204821308e-08,39318,2084.1862704753876
114,1714538726.8846457,2.196750754860013e-08,2294.4516496658325,7.419604571746756e-05,4.207834425575525e-09,1.7759673123024604e-08,43250,2290.69903755188
115,1714538955.7125447,1.4687743716333239e-08,2523.2795486450195,5.691266473646529e-05,2.468026183660723e-09,1.2219717532672515e-08,47575,2519.526552915573
116,1714539208.1188793,1.0454086399527622e-08,2775.685883283615,4.710161099344068e-05,1.6995435320017625e-09,8.75454286752586e-09,52332,2771.9329719543457
117,1714539436.2328877,8.575070144757312e-09,3003.7998917102814,4.188715729420266e-05,1.3409844819551846e-09,7.234085662802127e-09,56652,3000.0467948913574
