_timestamp,loss_interior,step,_runtime,loss,l2_error,time,loss_boundary,_step
1711507998.4524558,36.28802142882445,0,4.697879791259766,36.31786462091587,2.904379963195831,1.1600358486175537,0.029843192091417906,0
1711507998.6952019,21.80086768778748,1,4.940625905990601,26.121278981629334,1.0484953739603595,1.4025499820709229,4.320411293841853,1
1711507998.903826,21.071113191631966,2,5.149250030517578,21.666641491718337,0.21003794785585417,1.611617088317871,0.5955283000863706,2
1711507999.1131866,19.2911359409841,3,5.3586106300354,19.31468104251724,0.2674938725222622,1.8209352493286133,0.023545101533141644,3
1711507999.3275118,16.90808634345275,4,5.5729358196258545,16.944871770527403,0.23682933162498862,2.035332441329956,0.03678542707465277,4
1711507999.532845,14.686786915411135,5,5.778269052505493,14.721727639685856,0.2880205870438958,2.2406351566314697,0.03494072427472103,5
1711507999.7405457,11.588164626112311,6,5.98596978187561,11.642027088187437,0.25637535988529175,2.4483859539031982,0.053862462075124976,6
1711507999.9477923,9.300168300267353,7,6.193216323852539,9.349662599920903,0.5040721599383934,2.6556015014648438,0.049494299653548575,7
1711508000.1517048,7.774514641238929,8,6.3971288204193115,7.938300487137066,0.42063133517672124,2.8580193519592285,0.16378584589813652,8
1711508000.3632872,6.082631289960299,9,6.608711242675781,6.208935541816129,0.3108902452415183,3.0705249309539795,0.12630425185583088,9
1711508000.5712476,5.08966721884814,10,6.81667160987854,5.172021458681636,0.28808374379899027,3.278463125228882,0.0823542398334962,10
1711508000.78179,4.678155804283565,11,7.027214050292969,4.748830755049153,0.2704627716665125,3.489611864089966,0.0706749507655875,11
1711508000.9913917,4.171115378256331,12,7.236815690994263,4.2320802700754,0.29393838438899916,3.6992011070251465,0.060964891819069396,12
1711508001.2021568,3.6656799324077523,13,7.447580814361572,3.7323143462598773,0.26509327961368984,3.9099366664886475,0.06663441385212494,13
1711508001.4166484,3.429983601657959,14,7.662072420120239,3.486491113941864,0.3173558303552901,4.124138355255127,0.056507512283904764,14
1711508001.6268442,3.031106010953948,15,7.872268199920654,3.1024542983074386,0.42980582991000127,4.3346781730651855,0.07134828735349089,15
1711508001.8305724,2.609971955220873,16,8.075996398925781,2.7290022275285484,0.43949423917029284,4.538403749465942,0.11903027230767543,16
1711508002.0350292,2.343276412898626,17,8.280453205108643,2.462888520267834,0.39838188518946666,4.742322206497192,0.11961210736920813,17
1711508002.2588892,2.0984573541638656,18,8.504313230514526,2.198243573891257,0.1851666189456227,4.965975284576416,0.09978621972739142,18
1711508002.47075,1.894891259374145,19,8.716174125671387,1.92446456340183,0.1792613136696853,5.177947044372559,0.029573304027685182,19
1711508002.6856887,1.667838604854532,20,8.93111276626587,1.6933293312503537,0.14936718479622507,5.392972946166992,0.02549072639582177,20
1711508002.8960788,1.4313636784671688,21,9.141502857208252,1.4511223404694922,0.23087260553069971,5.603136777877808,0.019758662002323454,21
1711508003.1071181,1.0005225986424808,22,9.352542161941528,1.0394922408320804,0.15795351969385996,5.814384698867798,0.038969642189599425,22
1711508003.5229049,0.44329766454701436,24,9.76832890510559,0.4595986939420981,0.15313529440320023,6.230738639831543,0.016301029395083752,23
1711508003.7309856,0.3157632734124652,25,9.976409673690796,0.3353397621615499,0.14704701113536364,6.43878698348999,0.01957648874908472,24
1711508003.9374871,0.2415131603851963,26,10.182911157608032,0.26095072303818934,0.1517509800955429,6.645318269729614,0.019437562652993064,25
1711508004.3520072,0.16768882785294578,28,10.597431182861328,0.18775059595277252,0.1538297927458529,7.059813022613525,0.020061768099826745,26
1711508004.5598078,0.14760646092081317,29,10.805231809616089,0.1675260288206291,0.1518978858994255,7.267661094665527,0.019919567899815947,27
1711508004.9682198,0.10517662562312953,31,11.213643789291382,0.12409155017161917,0.1481940168941106,7.67607045173645,0.018914924548489642,28
1711508005.17287,0.08974543040332549,32,11.418293952941895,0.10745053741543328,0.14428213326058537,7.880698919296265,0.017705107012107795,29
1711508005.5782826,0.06850013640517315,34,11.82370662689209,0.08439796947406027,0.13399504552168823,8.286099672317505,0.015897833068887122,30
1711508005.988551,0.05284599194661219,36,12.233974933624268,0.0660345601401398,0.1188259899185637,8.69610047340393,0.0131885681935276,31
1711508006.4060838,0.042879891493034915,38,12.65150785446167,0.05344705426613263,0.10403723191768707,9.113838911056519,0.010567162773097718,32
1711508006.8168392,0.035753024226333883,40,13.062263250350952,0.044436990617953656,0.0973765460176233,9.524151086807251,0.008683966391619774,33
1711508007.231468,0.030946054473036007,42,13.476891994476318,0.03845386042950901,0.09011047980193326,9.938776969909668,0.0075078059564730034,34
1711508007.651659,0.026802083402040888,44,13.897083044052124,0.03289147534469354,0.08289385401777974,10.358883619308472,0.006089391942652655,35
1711508008.2724547,0.020999170258388065,47,14.517878770828247,0.025823375804233755,0.07360411967134556,10.979429244995117,0.004824205545845689,36
1711508008.6925478,0.018396728337302878,49,14.937971830368042,0.02231865107206015,0.06587939955651567,11.399872779846191,0.003921922734757275,37
1711508009.3138824,0.015252591918846817,52,15.559306383132935,0.01814272945954195,0.05389946022732263,12.02082371711731,0.0028901375406951333,38
1711508009.7310839,0.013220776206378635,54,15.976507902145386,0.015574848877406396,0.0495660666868512,12.43890643119812,0.0023540726710277616,39
1711508010.4343357,0.010745361960803305,57,16.679759740829468,0.012626329714993924,0.04751746008304333,13.141238689422607,0.001880967754190618,40
1711508011.0850942,0.009437584990229127,60,17.33051824569702,0.011119089286828865,0.04497832435742594,13.792222738265991,0.0016815042965997388,41
