step,l2_error,_timestamp,loss_boundary,loss_interior,loss,_step,time,_runtime
0,0.273952095212066,1712877348.3681552,0.029843192091417906,36.98753711057163,37.01738030266305,0,1.0824646949768066,5.786137342453003
1,0.15279308501964065,1712877348.3746476,0.010194052054528037,36.63485503736012,36.64504908941465,1,1.406639814376831,5.792629718780518
2,0.28720668442098435,1712877348.379531,0.004676167227048131,35.99319948839021,35.99787565561726,2,1.411588191986084,5.797513008117676
3,0.5901495173258394,1712877348.3850136,0.06111192442325875,35.134564594578286,35.195676519001545,3,1.4164831638336182,5.802995681762695
4,0.9427345412258068,1712877348.3911932,0.22478695932259043,34.12399615796338,34.348783117285976,4,1.4231433868408203,5.809175252914429
5,1.3157338524306315,1712877348.3963761,0.527258678833454,33.01203134913814,33.539290027971596,5,1.428332805633545,5.814358234405518
6,1.689142903444212,1712877348.401637,0.9798639342922925,31.835643883080746,32.81550781737304,6,1.4336256980895996,5.819619178771973
7,2.0434886267033696,1712877348.4067922,1.5692930175137993,30.62439837383375,32.19369139134755,7,1.4387445449829102,5.824774265289307
8,2.3582352393422195,1712877348.4118674,2.2540086783249698,29.407208102421116,31.661216780746084,8,1.4438555240631104,5.829849481582642
9,2.6123253143799676,1712877348.4168355,2.9634010347872874,28.21603720131036,31.17943823609765,9,1.4487996101379395,5.83481764793396
10,2.7862104054420245,1712877348.4221478,3.603718135389072,27.085014536015755,30.68873267140483,10,1.4541056156158447,5.840129852294922
11,2.8647225992695775,1712877348.4277983,4.073773802781216,26.045786006842313,30.119559809623528,11,1.459721326828003,5.845780372619629
13,2.712755674223712,1712877348.4376714,4.205189067763262,24.32328018430863,28.528469252071893,12,1.4696617126464844,5.855653524398804
14,2.493868064914068,1712877348.444033,3.835430877844975,23.648056596981633,27.483487474826607,13,1.4744064807891846,5.862015008926392
15,2.202138341823619,1712877348.448702,3.246691999368247,23.082481186340726,26.329173185708974,14,1.4807822704315186,5.866684198379517
17,1.5045388456264894,1712877348.4559176,1.8334498954897567,22.194595517757783,24.02804541324754,15,1.4880285263061523,5.873899698257446
18,1.1569553567541369,1712877348.4605036,1.212204469009076,21.81976331620392,23.031967785213,16,1.4926047325134277,5.878485679626465
20,0.6002010696614822,1712877348.4676888,0.4079711043826123,21.06810594502234,21.47607704940495,17,1.4998071193695068,5.885670900344849
22,0.37719709648011535,1712877348.4748769,0.1234294898120946,20.309380180482666,20.43280967029476,18,1.5069763660430908,5.892858982086182
24,0.5253069686876142,1712877348.4843895,0.10564858392551606,19.90887395076245,20.014522534687966,19,1.5164577960968018,5.902371644973755
26,0.8618939496863117,1712877348.4949617,0.2454343083085338,19.855778695431773,20.10121300374031,20,1.5270519256591797,5.9129438400268555
29,1.3379778610839401,1712877348.5068448,0.7440883142906394,19.46852349015809,20.21261180444873,21,1.538921594619751,5.9248268604278564
31,1.356945136281174,1712877348.5139875,0.9538006672976276,19.150035757285536,20.103836424583164,22,1.5460712909698486,5.93196964263916
34,0.9721452682234535,1712877348.523922,0.6346479170767056,18.86095343303403,19.495601350110736,23,1.5560050010681152,5.941904067993164
37,0.6344261631012041,1712877348.5338602,0.2654137771742247,18.673430147799642,18.938843924973867,24,1.565965175628662,5.951842308044434
41,0.4070303672091301,1712877348.546418,0.11204185858806211,18.274090068986247,18.386131927574308,25,1.5784828662872314,5.964400053024292
45,0.26098925066446493,1712877348.5590715,0.04707328243044536,18.0223522350856,18.069425517516045,26,1.5911359786987305,5.977053642272949
49,0.2504406610709837,1712877348.571296,0.04054883807180625,17.599855775143368,17.640404613215175,27,1.6033830642700195,5.989278078079224
54,0.2591852937609417,1712877348.5869203,0.042411026317749026,17.029865791951785,17.072276818269533,28,1.6189937591552734,6.004902362823486
59,0.38189697956519847,1712877348.6031325,0.0714604805355632,16.48418192574588,16.555642406281443,29,1.635197639465332,6.0211145877838135
64,0.49387965176523324,1712877348.6184752,0.12113917664053689,15.956783810612,16.07792298725254,30,1.650453805923462,6.036457300186157
70,0.5109028422901313,1712877348.6359136,0.1480212038777231,15.398364189192034,15.546385393069757,31,1.6681339740753174,6.053895711898804
77,0.46254173819699346,1712877348.6565971,0.1289899404910394,14.725592728058846,14.854582668549885,32,1.6887786388397217,6.074579238891602
84,0.46471219162974964,1712877348.6774495,0.12368791626232126,13.948963322834379,14.0726512390967,33,1.7096714973449707,6.095431566238403
92,0.5262159490775512,1712877348.7004006,0.15456558501946127,12.982490775456952,13.137056360476414,34,1.7325952053070068,6.118382692337036
100,0.5630625758929102,1712877348.7230296,0.1867730829678965,12.086174595414843,12.272947678382739,35,1.7552645206451416,6.141011714935303
109,0.5239940305903359,1712877348.750734,0.1793632265307726,11.200583026346319,11.379946252877092,36,1.7829639911651611,6.168716192245483
120,0.5321924317127588,1712877348.7826083,0.19437281265634024,10.224815355655936,10.419188168312276,37,1.8148143291473389,6.200590372085571
131,0.5367645931478668,1712877348.8138444,0.2035719391592836,9.379962587353418,9.583534526512702,38,1.8460540771484375,6.231826543807983
143,0.5392038298685892,1712877348.8476355,0.2079272762983486,8.641402958983237,8.849330235281586,39,1.8798246383666992,6.265617609024048
156,0.5291354659948715,1712877348.8847055,0.20391610456000644,8.078863672921234,8.28277977748124,40,1.9168884754180908,6.302687644958496
171,0.5042427234826597,1712877348.9275348,0.1870559105953528,7.583124667575066,7.770180578170419,41,1.9597053527832031,6.345516920089722
187,0.48498543596187427,1712877348.9727442,0.17274082321544632,7.113463255793373,7.286204079008819,42,2.0049335956573486,6.390726327896118
204,0.4706640097446866,1712877349.029539,0.16156059134802467,6.634887400913241,6.796447992261266,43,2.0616941452026367,6.447521209716797
223,0.46235645587329005,1712877349.0885282,0.15556271554535625,6.053251588279586,6.208814303824942,44,2.120602607727051,6.506510257720947
244,0.45048786163436283,1712877349.1489172,0.14968905874264476,5.391195414612286,5.5408844733549305,45,2.1810829639434814,6.566899299621582
266,0.42527849078063273,1712877349.2122574,0.1364010140750012,4.87921211589591,5.015613129970911,46,2.24442458152771,6.630239486694336
291,0.3857174536794637,1712877349.2889733,0.11557397469048514,4.481797329760103,4.597371304450588,47,2.3210933208465576,6.706955432891846
318,0.3614398766516792,1712877349.3731015,0.10318621899913023,4.137251413698123,4.240437632697253,48,2.4052088260650635,6.791083574295044
347,0.3595355312540202,1712877349.4566717,0.10212465646242973,3.8138907572676954,3.916015413730125,49,2.4887170791625977,6.8746538162231445
380,0.3612333051763338,1712877349.5528142,0.1030640572301176,3.535149250246103,3.638213307476221,50,2.5849599838256836,6.970796346664429
415,0.360954563343977,1712877349.6508756,0.1028186940329264,3.3134459747788942,3.4162646688118206,51,2.683061361312866,7.068857669830322
453,0.35923838541871517,1712877349.7775815,0.10189082598898767,3.1313051856406986,3.233196011629686,52,2.8097102642059326,7.195563554763794
495,0.3556060574071846,1712877349.9164908,0.10021696971251941,2.9500954624041356,3.050312432116655,53,2.9486522674560547,7.334472894668579
541,0.34736261082199743,1712877350.0414367,0.09619403846629404,2.7292313333791456,2.82542537184544,54,3.073633909225464,7.459418773651123
592,0.32730222758425637,1712877350.1809545,0.08577553397259709,2.485562953060925,2.5713384870335223,55,3.2131147384643555,7.598936557769775
647,0.30383370334177195,1712877350.339853,0.07371210392896299,2.2523876907995852,2.326099794728548,56,3.371978521347046,7.757835149765015
707,0.28526709839595893,1712877350.5046217,0.0652786565409758,2.030949218607012,2.096227875147988,57,3.536789655685425,7.9226038455963135
772,0.2744856690890841,1712877350.693769,0.0618320930952124,1.8456090493074628,1.9074411424026751,58,3.7259368896484375,8.111751079559326
844,0.26778439309284746,1712877350.8925633,0.06001853815646311,1.6902560011282475,1.7502745392847106,59,3.924685478210449,8.310545444488525
922,0.2613957829820043,1712877351.1318524,0.05746771815931962,1.5444596349072428,1.6019273530665625,60,4.163851261138916,8.549834489822388
1008,0.2519545421225034,1712877351.387827,0.053184437116360284,1.3904557754166371,1.4436402125329975,61,4.4200193881988525,8.805809020996094
