time,loss_interior,l2_error,loss_boundary,step,_step,_timestamp,loss,_runtime
1.4260108470916748,120.3092726036797,1.5634225799155204,1.4507086750632023,0,0,1714834445.8766801,121.7599812787429,6.481854200363159
2.0845580101013184,120.29479772261102,456.4807460011817,1.4506773240589337,1,1,1714834445.922101,121.74547504666995,6.527275085449219
2.127065896987915,204819.0454793011,138.56573914085945,139588.72378386473,2,2,1714834445.9647088,344407.7692631658,6.569882869720459
2.1599690914154053,16449.662543141396,37.52186055481468,12994.805218616953,3,3,1714834445.997587,29444.46776175835,6.6027610301971436
2.192831039428711,988.8072441052859,11.930704095861284,961.2085683820368,4,4,1714834446.0304356,1950.0158124873228,6.6356096267700195
2.2255754470825195,71.21851534757494,5.590480928145223,98.19109299669057,5,5,1714834446.0631564,169.4096083442655,6.668330430984497
2.258622646331787,34.394747881474416,3.467941235922647,20.7323467417634,6,6,1714834446.096237,55.12709462323782,6.701411008834839
2.2917075157165527,35.29424501917323,2.4272877840002804,8.017324570062781,7,7,1714834446.1293414,43.311569589236015,6.734515428543091
2.3248090744018555,21.121790906704618,2.4092272186000763,3.660339330958831,8,8,1714834446.16373,24.78213023766345,6.768903970718384
2.3606691360473633,11.456071430719422,1.6445525718587122,2.9682832731690008,9,9,1714834446.1986928,14.424354703888422,6.803866863250732
2.395463705062866,7.287740696306643,1.6623124537895106,1.8908655772464158,10,10,1714834446.2334692,9.178606273553058,6.838643312454224
2.430290937423706,4.584904822935572,0.7430831060839224,1.8553143580005513,11,11,1714834446.2683043,6.440219180936124,6.873478412628174
2.4690747261047363,3.781116838000968,0.7042561352308448,0.41787251777004586,12,12,1714834446.3070602,4.198989355771014,6.912234306335449
2.503692388534546,2.6537136822255367,0.44312858938570837,0.3141926936011193,13,13,1714834446.341707,2.967906375826656,6.946881055831909
2.53810715675354,2.4926332562726943,0.35726514216164273,0.16066460973972102,14,14,1714834446.3761113,2.6532978660124154,6.981285333633423
2.5718698501586914,2.363786508890217,0.3465900146673029,0.12103200772580582,15,15,1714834446.4091277,2.4848185166160226,7.014301776885986
2.6029582023620605,2.2297348616350123,0.3482682359067251,0.1166702974707331,16,16,1714834446.440936,2.3464051591057453,7.046110153198242
2.6369314193725586,2.096651255948498,0.3627141824691927,0.10608882508784694,17,17,1714834446.4748898,2.202740081036345,7.080063819885254
2.6710076332092285,2.028120105129421,0.44042237747997776,0.1185348947093601,18,18,1714834446.5089858,2.1466549998387814,7.114159822463989
2.7050516605377197,1.8358894442643232,0.3786352809308598,0.14197859196441187,19,19,1714834446.5430267,1.977868036228735,7.148200750350952
2.7403035163879395,1.7437122317793785,0.3304663518794959,0.11335028484505809,20,20,1714834446.5782957,1.8570625166244366,7.183469772338867
2.7745652198791504,1.7175535238502104,0.32801215958015845,0.10797368345929488,21,21,1714834446.6125705,1.8255272073095052,7.217744588851929
2.8089025020599365,1.7088233322931425,0.33588195399331927,0.10543261158875904,22,22,1714834446.6469042,1.8142559438819015,7.252078294754028
2.842956304550171,1.6868286370534735,0.3265085008748179,0.10455674669300051,23,23,1714834446.6809688,1.791385383746474,7.286142826080322
2.873520851135254,1.680625922884406,0.3363749284702602,0.10417407066683196,24,24,1714834446.7111204,1.784799993551238,7.316294431686401
2.9054622650146484,1.670147277233292,0.3549978173656148,0.10490225409368159,25,25,1714834446.7430694,1.7750495313269736,7.348243474960327
2.938161611557007,1.647956327977255,0.362081681879094,0.10828476087887624,26,26,1714834446.7757447,1.7562410888561313,7.380918741226196
2.981114387512207,1.6067764836508722,0.3531952339523347,0.10655798722293827,27,27,1714834446.8187256,1.7133344708738105,7.4238996505737305
3.014017105102539,1.5987740304648552,0.35206646687321275,0.10261687442745013,28,28,1714834446.8516068,1.7013909048923053,7.456780910491943
3.0468480587005615,1.5639883955442528,0.2974686558706527,0.10295916883226883,29,29,1714834446.8844292,1.6669475643765217,7.489603281021118
3.0795791149139404,1.5088725715762754,0.28859189649739175,0.08659803043971954,30,30,1714834446.9172237,1.595470602015995,7.522397756576538
3.112471103668213,1.5050717768730422,0.29902389662962403,0.07871952205250689,31,31,1714834446.9500754,1.5837912989255492,7.555249452590942
3.1455061435699463,1.4952640060018287,0.29228551381541124,0.07961924556623277,32,32,1714834446.983108,1.5748832515680615,7.588282108306885
3.178330659866333,1.473377650209197,0.2857197046852796,0.07588385934961002,33,33,1714834447.015921,1.5492615095588071,7.621095180511475
3.211015462875366,1.462199790322388,0.27716351476465567,0.07350305464361338,34,34,1714834447.0486045,1.5357028449660013,7.653778553009033
3.243971586227417,1.441737562541845,0.2854270264677238,0.07047672626659768,35,35,1714834447.0815737,1.5122142888084427,7.686747789382935
3.2767064571380615,1.3931214495387825,0.26342908132202314,0.07098212665697849,36,36,1714834447.1143088,1.464103576195761,7.719482898712158
3.309659957885742,1.3726684658946926,0.24496897840593662,0.05905384353516992,37,37,1714834447.1472988,1.4317223094298626,7.752472877502441
3.342487096786499,1.364118615249648,0.2370221651589005,0.05324620524884823,38,38,1714834447.1800523,1.4173648204984963,7.785226345062256
3.375185251235962,1.3338293887273824,0.2365656630893348,0.05007796579564794,39,39,1714834447.2127736,1.3839073545230303,7.817947626113892
3.4080920219421387,1.3262953220725933,0.25108691333634664,0.04995991355443126,40,40,1714834447.2456732,1.3762552356270246,7.850847244262695
3.4729115962982178,1.2687231225773894,0.24810976769751164,0.06225639652831117,42,41,1714834447.310512,1.3309795191057006,7.915686130523682
3.594630241394043,1.1448070432917905,0.24308573062733477,0.04049962085320071,46,42,1714834447.4322488,1.1853066641449912,8.037422895431519
