loss_boundary,loss_interior,_runtime,_timestamp,_step,l2_error,loss,step,time
1.4507086750632023,120.3092726036797,5.462775468826294,1714535373.8046114,0,0.9897940769947414,121.7599812787429,0,1.4523754119873047
0.6521367781455795,50.40742476206983,5.5343194007873535,1714535373.8761554,1,2.020154454927413,51.05956154021541,1,1.7636559009552002
2.856096474335521,37.618497004440925,5.589020013809204,1714535373.930856,2,3.7904399010473244,40.47459347877645,2,1.8185677528381348
9.863155386643863,27.153387009931553,5.642848253250122,1714535373.9846842,3,4.908871017728958,37.01654239657542,3,1.8725106716156006
16.250294398703964,19.01847400147747,5.697227478027344,1714535374.0390635,4,5.52158276721802,35.26876840018143,4,1.9257450103759766
19.826240059688647,8.427922029626716,5.7512993812561035,1714535374.0931354,5,4.058737475516217,28.254162089315365,5,1.980593204498291
10.715003839122106,7.274316390620805,5.804912805557251,1714535374.1467488,6,2.658365550535034,17.989320229742912,6,2.0343072414398193
4.754900510094776,9.238877480543037,5.857944965362549,1714535374.199781,7,1.9074192472588363,13.993777990637813,7,2.0873942375183105
2.5377915149941574,10.220334389113772,5.911027669906616,1714535374.2528636,8,1.602354721546813,12.75812590410793,8,2.140509605407715
1.822966413823835,10.52306435520608,5.965644598007202,1714535374.3074806,9,1.4377155754778033,12.346030769029914,9,2.1949150562286377
1.4722377871081154,10.612394136442742,6.019126653671265,1714535374.3609626,10,1.4318615356872704,12.084631923550857,10,2.2485713958740234
1.4526281022491068,10.55911488979016,6.072863817214966,1714535374.4146998,11,1.474184905641925,12.011742992039267,11,2.3022780418395996
1.5320730467704469,10.419075218461757,6.125685930252075,1714535374.467522,12,1.5092336538923836,11.951148265232204,12,2.355175495147705
1.6047043779080217,10.311796202581586,6.1788976192474365,1714535374.5207336,13,1.6023224629228165,11.916500580489608,13,2.4083428382873535
1.813936547848064,10.033689373580014,6.231303930282593,1714535374.57314,14,1.6576551635396009,11.847625921428078,14,2.460805892944336
1.947688142342916,9.869834591832294,6.286488056182861,1714535374.628324,15,1.7801541482091625,11.81752273417521,15,2.5159778594970703
2.266317677296923,9.503942967020347,6.340371370315552,1714535374.6822073,16,1.8446606210053669,11.77026064431727,16,2.569523572921753
2.445896682755036,9.308774822229582,6.394188642501831,1714535374.7360246,17,1.9060913823588919,11.754671504984618,17,2.623579263687134
2.626543029232943,9.10303142159534,6.44762396812439,1714535374.78946,18,2.0285641160682815,11.729574450828283,18,2.676974296569824
3.0077596588606297,8.685813836697257,6.542429685592651,1714535374.8842657,19,2.0877275963800006,11.693573495557887,19,2.770693063735962
3.201432493647686,8.47971620668847,6.600189924240112,1714535374.942026,20,2.140420826620613,11.681148700336156,20,2.8291876316070557
3.3811501216440467,8.274806970569168,6.6561925411224365,1714535374.9980285,21,2.2369335141554094,11.655957092213214,21,2.885104179382324
3.722710979524138,7.881411377769907,6.740052700042725,1714535375.0818887,22,2.326317357564456,11.604122357294045,22,2.9576163291931152
4.048484380873325,7.519860565182992,6.793993234634399,1714535375.1358292,23,2.4043317007259866,11.568344946056317,23,3.023601770401001
4.339240040120356,7.193268390389351,6.845422029495239,1714535375.187258,24,2.4670108653705363,11.532508430509708,24,3.075252056121826
4.576207437192699,6.9019223272209365,6.900162220001221,1714535375.2419982,25,2.5648944701083063,11.478129764413636,25,3.1300418376922607
4.943355390516241,6.420270450287326,6.950934171676636,1714535375.2927701,26,2.631595318069018,11.363625840803568,26,3.1809890270233154
5.181570690595331,6.058909925947235,7.064099311828613,1714535375.4059353,27,2.6971885325922513,11.240480616542566,27,3.293691873550415
5.367318814199167,5.635894843306884,7.11794638633728,1714535375.4597824,28,2.6758791474411763,11.003213657506052,28,3.34759521484375
5.199624255949855,5.516184544846711,7.174564361572266,1714535375.5164003,29,2.5369623420360505,10.715808800796566,29,3.4043471813201904
4.610439652658895,5.585311678769229,7.255489826202393,1714535375.5973258,30,2.069605375331439,10.195751331428124,30,3.4853479862213135
2.9868817414358455,6.254251718485054,7.307927370071411,1714535375.6497633,31,1.7784106001443978,9.2411334599209,31,3.53770112991333
2.1722911639071154,6.7646018009490065,7.381984233856201,1714535375.7238202,32,1.4327656724997344,8.936892964856122,32,3.6110992431640625
1.3902537444037388,7.244595349822462,7.448352813720703,1714535375.7901888,33,1.2473268577837053,8.634849094226201,33,3.677907705307007
1.0498027319473942,7.422874572943236,7.501374959945679,1714535375.843211,34,0.9629926359315185,8.472677304890631,34,3.7310702800750732
0.6365266685817833,7.633541412940234,7.5525031089782715,1714535375.894339,35,0.9470660549064601,8.270068081522018,35,3.7823052406311035
0.6189773953378581,7.639424632926917,7.604060888290405,1714535375.9458969,36,0.9480332859084625,8.258402028264776,36,3.8338115215301514
0.6341756714217976,7.561054953366766,7.65604305267334,1714535375.997879,37,0.9685742487997723,8.195230624788564,37,3.885775566101074
0.664101863010064,7.520280236075636,7.709946632385254,1714535376.0517826,38,1.032702256473174,8.1843820990857,38,3.939474582672119
0.7562531634723701,7.395903003843535,7.76359224319458,1714535376.1054282,39,1.0762004424426628,8.152156167315905,39,3.993295669555664
0.8199663794576516,7.316015124104509,7.823217153549194,1714535376.1650531,40,1.1841273341366294,8.13598150356216,40,4.05292534828186
1.0339816119154885,7.07348665063969,7.924999475479126,1714535376.2668355,41,1.2764680370288084,8.107468262555178,42,4.154790163040161
1.4887728040942918,6.567858225078375,8.12601113319397,1714535376.467847,42,1.5370232069397296,8.056631029172667,46,4.355275630950928
1.9697655377893453,6.050698877498399,8.331615686416626,1714535376.6734517,43,1.800442685385343,8.020464415287744,50,4.561256647109985
