step,l2_error,_timestamp,time,_step,loss_interior,loss,_runtime,loss_boundary
0,1.4319390078760303,1713038959.7325897,1.4656062126159668,0,36.98753711057163,37.01738030266305,5.567297697067261,0.029843192091417906
1,3.2327963613515296,1713038959.8225412,1.915379285812378,1,31.824616358439513,32.97572086587317,5.657249212265015,1.1511045074336599
2,1.618336987009632,1713038959.876259,1.9694559574127197,2,22.149783684689996,27.493872948184524,5.710967063903809,5.344089263494527
3,1.0014870364191333,1713038959.9311182,2.0241968631744385,3,23.08973945646746,24.48415445313553,5.765826225280762,1.3944149966680712
4,0.4666069540501413,1713038959.985704,2.0786428451538086,4,20.54690723515323,21.088715720189015,5.820411920547485,0.5418084850357836
5,0.5285051635221951,1713038960.0397103,2.132838487625122,5,20.491222962190914,20.62481922845232,5.874418258666992,0.13359626626140722
6,0.3304349078195818,1713038960.0930665,2.1861889362335205,6,20.162338772362993,20.32237527635672,5.927774429321289,0.16003650399372515
7,0.5261594283168757,1713038960.148507,2.2403101921081543,7,20.018495078818077,20.089335786618477,5.983215093612671,0.07084070780040098
8,0.3165084726466909,1713038960.2021601,2.2953970432281494,8,19.711236069144164,19.843311214134168,6.036868095397949,0.13207514499000467
9,0.5603745617687642,1713038960.2552028,2.3483810424804688,9,19.52945058623657,19.584412184795102,6.0899107456207275,0.054961598558531805
10,0.2791637670637406,1713038960.3080258,2.4012842178344727,10,19.073789034364832,19.22526880089094,6.142733812332153,0.1514797665261079
11,0.4504003173645387,1713038960.3598638,2.4530727863311768,11,18.747243790350716,18.790806710913984,6.1945717334747314,0.04356292056326754
12,0.32734247101359654,1713038960.4121292,2.5053653717041016,12,18.60209030555293,18.701422799604664,6.246837139129639,0.09933249405173476
13,0.45688536190604917,1713038960.4643195,2.5575270652770996,13,18.542016437472615,18.598710579655787,6.299027442932129,0.056694142183170745
14,0.3325445230001273,1713038960.5162725,2.6094987392425537,14,18.320501589899692,18.42348577466668,6.350980520248413,0.10298418476698881
16,0.32710484220874547,1713038960.6206386,2.7138354778289795,15,18.059668436447982,18.18404586914831,6.455346584320068,0.1243774327003277
17,0.4652601612401021,1713038960.6732938,2.766590118408203,16,17.987616712978234,18.046368115159428,6.508001804351807,0.058751402181194436
