loss_interior,step,time,l2_error,_timestamp,loss,_runtime,loss_boundary,_step
120.30927686545765,0,1.44370436668396,3.211474617956517,1713934243.0691488,121.75998552611632,5.828078746795654,1.4507086606586714,0
57.79526764173551,1,1.9000990390777588,3.6098467550674083,1713934243.1385448,64.34065360042666,5.897474765777588,6.545385958691163,1
24.941599814666386,2,1.9781057834625244,3.261216226739434,1713934243.2163377,33.111000704263176,5.975267648696899,8.169400889596789,2
15.61073246792713,3,2.0330276489257812,3.8991589969056926,1713934243.271213,22.8919170859586,6.0301430225372314,7.281184618031468,3
6.226832457795935,4,2.088815450668335,3.5501099720106257,1713934243.3270657,16.292099114807712,6.085995674133301,10.065266657011776,4
6.38234676161347,5,2.1451163291931152,3.5191557585830564,1713934243.3834417,14.94501735661316,6.142371654510498,8.562670594999691,5
6.150359961070493,6,2.2009668350219727,3.4221474182663942,1713934243.440447,14.431081993930654,6.199377059936523,8.28072203286016,6
5.997691904512329,7,2.2569210529327393,2.1541630264123017,1713934243.4954035,13.922349486941364,6.25433349609375,7.9246575824290355,7
6.870977074301205,8,2.311814069747925,2.2346885798992635,1713934243.550584,10.014472786547518,6.309514045715332,3.1434957122463136,8
5.726423825172319,9,2.368709087371826,2.096471153299431,1713934243.6074903,9.064813844540584,6.366420269012451,3.338390019368264,9
5.750557625907825,10,2.425271511077881,2.1283635047481164,1713934243.6640353,8.72426166933542,6.4229652881622314,2.973704043427595,10
5.380744405647112,11,2.481510877609253,1.977186418981088,1713934243.7202146,8.425630254301925,6.47914457321167,3.044885848654814,11
5.3468179024058555,12,2.5372087955474854,1.9855241557666625,1713934243.7758603,7.985314647472386,6.534790277481079,2.6384967450665298,12
5.017249588415257,13,2.592151403427124,1.899482905076597,1713934243.8309662,7.673697259227929,6.589896202087402,2.656447670812672,13
5.043461391674436,14,2.6495461463928223,1.9024323367041929,1713934243.8882375,7.479660424649335,6.647167444229126,2.4361990329748995,14
5.001577996738191,16,2.7596094608306885,1.675958522097175,1713934243.9983282,6.924992325279097,6.757258176803589,1.9234143285409058,15
4.5984272563257855,17,2.8142194747924805,1.6335978980313983,1713934244.052643,6.4872826909541885,6.811573028564453,1.8888554346284026,16
4.608557973020699,18,2.8684298992156982,1.621995048227018,1713934244.107005,6.40426798096421,6.8659348487854,1.7957100079435113,17
4.5433545563223445,20,2.974386692047119,1.4534469788561464,1713934244.2131371,6.267379986519066,6.97206711769104,1.724025430196721,18
4.500533623364785,21,3.0294437408447266,1.4027576938076278,1713934244.2681658,5.903747190395681,7.027095794677734,1.4032135670308958,19
4.287661634867491,23,3.134004592895508,1.3617414176716298,1713934244.3726225,5.583926672103702,7.131552457809448,1.296265037236211,20
4.287593380527371,24,3.188889503479004,1.3576421836474217,1713934244.4275854,5.53140307102236,7.1865153312683105,1.2438096904949887,21
4.2437826974544395,26,3.294689416885376,1.2019432661668374,1713934244.5333169,5.2134242623808715,7.2922468185424805,0.969641564926432,22
4.000984148459945,28,3.4003140926361084,1.1742250298772274,1713934244.6389358,4.930575072007647,7.3978657722473145,0.9295909235477025,23
3.892040990167149,31,3.5626790523529053,1.0254564729856552,1713934244.8013642,4.6610928859684275,7.560294151306152,0.7690518958012785,24
3.6610000958602313,33,3.667518138885498,1.0069111343429569,1713934244.9061465,4.358041218287082,7.665076494216919,0.6970411224268502,25
3.5124648626688817,35,3.7730870246887207,0.8935409452454105,1713934245.0117445,4.097246785411858,7.770674467086792,0.584781922742977,26
3.3045388821448505,38,3.927953004837036,0.867535657555256,1713934245.166586,3.8085792020693985,7.92551589012146,0.5040403199245482,27
3.083145653850325,41,4.081190824508667,0.7885524299386187,1713934245.319707,3.5289068296848973,8.078636884689331,0.4457611758345725,28
2.8998403845257226,44,4.23366904258728,0.7390425723837982,1713934245.4722803,3.265582095738537,8.231210231781006,0.36574171121281435,29
2.6216973520558566,48,4.436757326126099,0.6646839481344111,1713934245.6753807,2.919076395493418,8.434310674667358,0.29737904343756155,30
2.388224304858429,51,4.591189384460449,0.6136920232921199,1713934245.829805,2.660235303847321,8.588734865188599,0.2720109989888922,31
2.0884573993019013,55,4.795336008071899,0.5456921938427086,1713934246.033973,2.304263604740868,8.792902946472168,0.2158062054389667,32
1.8082338122434876,59,4.99765682220459,0.4883361152166887,1713934246.2363281,1.9776919742918748,8.995258092880249,0.1694581620483872,33
1.4399657144992668,64,5.250412464141846,0.4069504596140115,1713934246.489123,1.5504039258224815,9.248053073883057,0.11043821132321466,34
1.2499792454443823,69,5.504933595657349,0.3510612879352506,1713934246.743564,1.341092949704025,9.502493858337402,0.09111370425964267,35
1.0949295791983038,74,5.75954794883728,0.31667801577768595,1713934246.998195,1.1634621072174167,9.757124900817871,0.068532528019113,36
0.9817437699563535,80,6.061420440673828,0.28390825061956115,1713934247.300062,1.0370191368004702,10.0589919090271,0.05527536684411675,37
0.8890595028641758,86,6.370351076126099,0.2642047576735598,1713934247.6092985,0.9364680937271596,10.368228435516357,0.04740859086298374,38
0.8152947220978182,93,6.727803707122803,0.24294329824835043,1713934247.966399,0.8583888137137258,10.725328922271729,0.043094091615907604,39
0.7610854552851418,100,7.083906888961792,0.2317431327568744,1713934248.3224938,0.7984706507535891,11.08142375946045,0.03738519546844735,40
0.7165236915020987,107,7.435727596282959,0.2232778727997648,1713934248.674283,0.7530409698212441,11.433212995529175,0.036517278319145446,41
0.6810416308210853,115,7.842424154281616,0.21588026075013558,1713934249.081031,0.7149161823766081,11.839961051940918,0.033874551555522874,42
