loss,_runtime,l2_error,loss_boundary,loss_interior,time,_step,step,_timestamp
121.75998552611632,6.9214928150177,1.5560422824019948,1.4507086606586714,120.30927686545765,1.0019829273223877,0,0,1713882641.5638268
121.65038340569927,6.9293928146362305,1.5425697804780654,1.4355518058403098,120.21483159985897,1.9969911575317383,1,1,1713882641.5717268
121.44305807357928,6.935251951217651,1.524590368190372,1.4078374598302847,120.03522061374899,2.0029125213623047,2,2,1713882641.577586
121.14813975258753,6.950019598007202,1.5036205143883095,1.3705370126218075,119.77760273996572,2.0102884769439697,3,3,1713882641.5923536
120.7720573186246,6.957806348800659,1.480942491796497,1.3264752669512496,119.44558205167336,2.025538682937622,4,4,1713882641.6001403
120.31565487561227,6.962670564651489,1.4575249484523622,1.2779874763257872,119.03766739928648,2.0305259227752686,5,5,1713882641.6050045
119.77262074764386,6.96729040145874,1.4340321235073035,1.2267900058186156,118.54583074182524,2.035198211669922,6,6,1713882641.6096244
119.12820358216844,6.971897840499878,1.4108587337747063,1.1740176987320896,117.95418588343635,2.039796829223633,7,7,1713882641.6142318
118.35801678944526,6.97629189491272,1.3880861532216429,1.1203205136521441,117.23769627579311,2.0442113876342773,8,8,1713882641.6186259
117.42660964830509,6.980794429779053,1.3652088933977269,1.0658704823905178,116.36073916591457,2.048717975616455,9,9,1713882641.6231284
116.28520522779006,6.9851953983306885,1.340442157769696,1.0100939251782914,115.27511130261176,2.0531156063079834,10,10,1713882641.6275294
114.8671471680758,6.9895408153533936,1.3094711664555312,0.9509357905234881,113.91621137755232,2.0574793815612793,11,11,1713882641.6318748
110.7734045131418,6.996650218963623,1.1898312392188035,0.7995005218475464,109.97390399129425,2.064588785171509,12,13,1713882641.6389842
107.72748403358105,7.00221848487854,1.070781774818777,0.6871464456674967,107.04033758791356,2.068880796432495,13,14,1713882641.6445525
103.59701994155587,7.006437540054321,0.8979018215504216,0.5397871668113551,103.05723277474452,2.074403762817383,14,15,1713882641.6487715
90.2402144426712,7.013449192047119,0.6375649940322551,0.24801561921132406,89.99219882345987,2.0814099311828613,15,17,1713882641.6557832
80.01202756416664,7.0177061557769775,0.8508851195976957,0.2699884004576991,79.74203916370894,2.085663318634033,16,18,1713882641.6600401
50.32713986077361,7.024586915969849,1.7993131770220323,1.193016606717853,49.13412325405576,2.092539072036743,17,20,1713882641.666921
22.51679041785463,7.031530141830444,3.0952720574046677,4.084832832315598,18.43195758553903,2.0994575023651123,18,22,1713882641.6738641
29.531705060110816,7.038525104522705,3.997337786359926,8.682273365135611,20.849431694975205,2.106449842453003,19,24,1713882641.680859
36.98592873377967,7.045442581176758,3.7482845377356204,10.627519415418774,26.3584093183609,2.113363265991211,20,26,1713882641.6877766
25.907573171716,7.055024862289429,2.951092830106484,6.29242302909537,19.615150142620628,2.122957706451416,21,29,1713882641.6973588
17.506505708327712,7.061979293823242,2.9661234689567326,6.154387958573847,11.352117749753864,2.1299030780792236,22,31,1713882641.7043133
16.126318591026973,7.071821689605713,3.024477401780516,6.20897417864463,9.917344412382343,2.139720916748047,23,34,1713882641.7141557
14.720303379654538,7.081693410873413,3.0710470388323974,6.391076007291753,8.329227372362785,2.149564743041992,24,37,1713882641.7240274
12.963228908105476,7.094499826431274,3.085496279508686,6.572571765923731,6.3906571421817455,2.162320375442505,25,41,1713882641.7368338
11.721718165915497,7.113005638122559,2.7352795241183108,5.374908294618488,6.346809871297009,2.1807777881622314,26,45,1713882641.7553396
10.291648292925963,7.126044988632202,2.436173468318427,4.284357210336364,6.007291082589599,2.1938424110412598,27,49,1713882641.768379
9.408609580120748,7.141151666641235,2.081540612271453,3.068274123337923,6.340335456782825,2.209043264389038,28,54,1713882641.7834857
8.381293818852827,7.15632438659668,1.996186841243232,2.7008736491026224,5.680420169750204,2.224221706390381,29,59,1713882641.7986584
7.677191779953398,7.171381235122681,1.931830572791171,2.5428507020136193,5.134341077939779,2.239299774169922,30,64,1713882641.8137152
6.811852282628126,7.1891632080078125,1.8222860895584483,2.2734238191729412,4.538428463455185,2.257085084915161,31,70,1713882641.8314972
5.988723674096134,7.209957838058472,1.7377670827702798,2.065330987983291,3.923392686112843,2.2777762413024902,32,77,1713882641.8522918
5.201634530372387,7.231083154678345,1.6245853535964112,1.8085601548258816,3.393074375546506,2.29860258102417,33,84,1713882641.8734171
4.323898165122987,7.268409729003906,1.5036023596480252,1.553137873592772,2.7707602915302156,2.3362514972686768,34,92,1713882641.9107437
3.501402425994582,7.301549196243286,1.3472099533499988,1.2446390400178187,2.2567633859767633,2.369381904602051,35,100,1713882641.9438832
2.6904141266980828,7.336910009384155,1.1791918973854771,0.9618327793629937,1.728581347335089,2.4048447608947754,36,109,1713882641.979244
2.0560320875661375,7.375287294387817,0.9827534013603645,0.6702040907859292,1.385827996780208,2.4432389736175537,37,120,1713882642.0176213
1.7221913403671685,7.406425714492798,0.8538199740605407,0.5013594630772733,1.2208318772898952,2.474491596221924,38,131,1713882642.0487597
1.4228189347832518,7.440715789794922,0.7526790724536565,0.38966242392378936,1.0331565108594625,2.5087056159973145,39,143,1713882642.0830498
1.170488935944836,7.480560541152954,0.63817788304176,0.28160875489400483,0.8888801810508312,2.5486371517181396,40,156,1713882642.1228945
0.9502170248204841,7.52511739730835,0.5247991258543986,0.19053115122540665,0.7596858735950774,2.5931220054626465,41,171,1713882642.1674514
0.7708201924348489,7.569721221923828,0.445032284084359,0.13751777848942828,0.6333024139454206,2.637730121612549,42,187,1713882642.2120552
