_step,loss_interior,_timestamp,loss,step,time,_runtime,l2_error,loss_boundary
0,36.28802142882445,1711522379.6608343,36.31786462091587,0,1.0755712985992432,4.467888355255127,2.266934204078931,0.029843192091417906
1,28.32162489201832,1711522379.7883403,31.046992989094935,1,1.2029063701629639,4.5953943729400635,1.4859102870834797,2.725368097076616
2,24.909324188156003,1711522379.9142172,26.105814886208027,2,1.329139232635498,4.721271276473999,1.4294005589297882,1.1964906980520256
3,19.54573578913677,1711522380.0412195,20.60382025758381,3,1.4560589790344238,4.848273515701294,0.42496044191604504,1.05808446844704
4,18.404905188102727,1711522380.1661243,18.519071092431425,4,1.581106424331665,4.973178386688232,0.5729945675765032,0.1141659043286984
5,17.508870886205997,1711522380.2906284,17.707987016518782,5,1.7056000232696533,5.097682476043701,0.43880490510891745,0.19911613031278574
6,16.950620578208458,1711522380.4139342,17.07572609436359,6,1.8289124965667725,5.2209882736206055,0.49466415728861457,0.12510551615513235
7,16.286183512086282,1711522380.5388443,16.442840422606398,7,1.9538495540618896,5.345898389816284,0.4304407472662966,0.15665691052011765
8,15.824759277729632,1711522380.6627083,15.950000017826403,8,2.0761849880218506,5.469762325286865,0.42173546926357747,0.1252407400967706
9,15.21195479222291,1711522380.7873392,15.33279644265213,9,2.2023062705993652,5.594393253326416,0.4698768866516336,0.12084165042922047
10,14.7388971329636,1711522380.908946,14.883734456407117,10,2.3239660263061523,5.716000080108643,0.4207491773144171,0.14483732344351666
11,14.419501225100117,1711522381.0334723,14.54112563878773,11,2.448486089706421,5.840526342391968,0.4556121654880532,0.12162441368761286
12,13.606168036046348,1711522381.1556275,13.749268731157951,12,2.570643186569214,5.962681531906128,0.4776511704016452,0.1431006951116025
13,13.20803399249586,1711522381.2814825,13.35896749492227,13,2.6964151859283447,6.088536500930786,0.42348929764488813,0.15093350242640974
14,12.915553414113814,1711522381.4040415,13.041360736794685,14,2.819031238555908,6.211095571517944,0.3871476964859121,0.12580732268087122
15,12.331401941575248,1711522381.5279632,12.43926291344948,15,2.9427380561828613,6.335017204284668,0.42183409773977054,0.10786097187423249
16,12.067932153161344,1711522381.6504273,12.192112452172497,16,3.0654330253601074,6.457481384277344,0.3912655071712878,0.1241802990111526
17,11.896940154481058,1711522381.7726445,12.008053159865003,17,3.1876611709594727,6.57969856262207,0.4100921960277598,0.11111300538394557
18,11.670650155691444,1711522381.8974845,11.790480956125046,18,3.312410593032837,6.704538583755493,0.3862902703062828,0.11983080043360311
19,11.349107580174387,1711522382.15188,11.4679581198124,20,3.56683087348938,6.95893406867981,0.38490682268732085,0.11885053963801326
20,11.171364658009722,1711522382.275666,11.280037285501365,21,3.6906344890594482,7.082720041275024,0.386226723314475,0.10867262749164316
21,10.862616915782555,1711522382.5216103,10.967978571105913,23,3.9366044998168945,7.328664302825928,0.3767329517664023,0.10536165532335848
22,10.722010010143077,1711522382.6444635,10.827647493037334,24,4.059469223022461,7.451517581939697,0.3842265353789298,0.10563748289425821
23,10.249212371739382,1711522382.8896103,10.349318615911162,26,4.304599285125732,7.696664333343506,0.36086451750607684,0.10010624417178011
24,9.875848601583085,1711522383.1338584,9.969335716857616,28,4.548832416534424,7.940912485122681,0.35338452834811973,0.09348711527453067
25,9.57192043896016,1711522383.3823326,9.660791575048734,30,4.79719352722168,8.18938660621643,0.3464019545805306,0.08887113608857512
