step,_runtime,loss_interior,time,l2_error,_timestamp,loss_boundary,loss,_step
0,5.478113651275635,36.98753711057163,1.143925666809082,0.8679766469205751,1712885055.0622287,0.029843192091417906,37.01738030266305,0
1,5.604659557342529,18.069809470496672,1.6353485584259033,0.4757355271613129,1712885055.1887746,0.3797309171809315,18.449540387677605,1
2,5.781286716461182,10.901999520262926,1.8116319179534912,0.48810819115064696,1712885055.3654017,0.1617674159057959,11.063766936168722,2
3,6.0092456340789795,7.027750653791032,2.0399601459503174,0.31256476934270616,1712885055.5933607,0.1704867950366578,7.19823744882769,3
4,6.2502124309539795,5.387459545326503,2.2809548377990723,0.34326686893661784,1712885055.8343275,0.07961636342134472,5.467075908747848,4
5,6.516368389129639,4.413942185476271,2.547060966491699,0.35067998092785874,1712885056.1004834,0.09784786257187185,4.511790048048143,5
6,6.777723550796509,3.639101625905303,2.8084323406219482,0.3644580660005086,1712885056.3618386,0.09834085796456754,3.7374424838698705,6
7,7.0461156368255615,3.1066455905210617,3.0768380165100098,0.3508223183314152,1712885056.6302307,0.11128212721744034,3.217927717738502,7
8,7.306685209274292,2.704344808999928,3.3374249935150146,0.338011023247335,1712885056.8908002,0.1016452671421725,2.8059900761421,8
9,7.568309783935547,2.1521110361548197,3.5989432334899902,0.30254456856422646,1712885057.1524248,0.09912488439538308,2.2512359205502026,9
10,7.83324122428894,1.6824714545281039,3.863908529281616,0.257206498959393,1712885057.4173563,0.07836714982396185,1.7608386043520656,10
11,8.095633268356323,1.4256609729639076,4.126303434371948,0.20094044043213646,1712885057.6797483,0.055261141575029614,1.4809221145389373,11
12,8.357075691223145,1.281250589899166,4.387775421142578,0.20955324664514383,1712885057.9411907,0.03945421502834743,1.3207048049275134,12
13,8.631994724273682,1.1780646569180575,4.661328554153442,0.21834410861165893,1712885058.2161098,0.04225946086914986,1.2203241177872073,13
14,8.896353006362915,1.0788663823833586,4.927031755447388,0.2079922391695702,1712885058.480468,0.042804195953480034,1.1216705783368386,14
16,9.431281805038452,0.8741276046030428,5.461964130401611,0.20854529824874865,1712885059.0153968,0.04777024927377616,0.921897853876819,15
17,9.69152545928955,0.7949077249356009,5.72221302986145,0.19791683301530563,1712885059.2756405,0.04383131007767973,0.8387390350132806,16
18,9.95299482345581,0.7256714977774672,5.983667373657227,0.19208138776004205,1712885059.5371099,0.03981177304276746,0.7654832708202347,17
20,10.484313726425171,0.6147303342929298,6.514891624450684,0.19313029584142108,1712885060.0684288,0.03916478159705266,0.6538951158899824,18
21,10.745645523071289,0.576895475182166,6.776348829269409,0.19003502836196798,1712885060.3297606,0.0399400689178119,0.6168355440999779,19
23,11.266465663909912,0.5297251592502984,7.297166109085083,0.19996512097605615,1712885060.8505807,0.039355654559654125,0.5690808138099526,20
24,11.526571989059448,0.503080790413537,7.55729866027832,0.20532946088179538,1712885061.110687,0.04057585501128698,0.5436566454248241,21
26,12.046902656555176,0.4379289269716002,8.07758092880249,0.20444107159172129,1712885061.6310177,0.04532614944858737,0.48325507642018756,22
28,12.57185697555542,0.3921884620082571,8.602545022964478,0.20365186402283075,1712885062.155972,0.043098831883985625,0.4352872938922427,23
31,13.356652021408081,0.33440654325187064,9.387364149093628,0.1987385270179877,1712885062.940767,0.04289302025425896,0.3772995635061296,24
33,13.874097108840942,0.3078071635434633,9.904784202575684,0.18761057538975584,1712885063.4582121,0.040033931779465105,0.34784109532292845,25
35,14.396899461746216,0.28110918400299895,10.427572011947632,0.1824230114787155,1712885063.9810145,0.03689894505722064,0.3180081290602196,26
38,15.188917636871338,0.24447189546943912,11.219614267349243,0.1732999962730236,1712885064.7730327,0.03209541494122868,0.2765673104106678,27
41,15.975931882858276,0.2025023596013641,12.006636619567871,0.16683575058812147,1712885065.560047,0.02822248456488194,0.23072484416624603,28
44,16.783556699752808,0.1785701925435967,12.814261436462402,0.16079935979093873,1712885066.3676717,0.02692657913530728,0.20549677167890398,29
48,17.84418821334839,0.1587713156877009,13.874850034713745,0.14753450349275582,1712885067.4283032,0.023515507658475314,0.1822868233461762,30
51,18.62556552886963,0.1409040057132643,14.65626072883606,0.14820390883966844,1712885068.2096806,0.021810492974643002,0.1627144986879073,31
55,19.670568466186523,0.1273030329441333,15.70126461982727,0.14025172183140963,1712885069.2546835,0.019375987022486843,0.14667901996662014,32
59,20.717607021331787,0.11922472682472615,16.748262405395508,0.13276103269150577,1712885070.301722,0.01799138076315956,0.13721610758788572,33
64,22.02676820755005,0.10693939573563412,18.057430744171143,0.12189301725480672,1712885071.6108832,0.015511635144469705,0.12245103088010383,34
69,23.351983785629272,0.08846988230066051,19.382681608200073,0.11308633691284196,1712885072.9360988,0.013538293410041997,0.1020081757107025,35
74,24.694828748703003,0.07443872839069945,20.72551918029785,0.11301775298297848,1712885074.2789438,0.012379635905775661,0.08681836429647512,36
80,26.285799026489258,0.053303153826217795,22.316470623016357,0.09969906852234808,1712885075.869914,0.009855137490783018,0.06315829131700082,37
86,27.8741192817688,0.037436463909211785,23.90477442741394,0.09423010991076268,1712885077.4582343,0.007728312453504949,0.045164776362716735,38
93,29.717687368392944,0.02986352398239272,25.74840021133423,0.0787975762616042,1712885079.3018024,0.0059208796107400735,0.03578440359313279,39
100,31.63566827774048,0.025192074776854687,27.66633653640747,0.0721301433071301,1712885081.2197833,0.005127353116259307,0.030319427893113995,40
107,33.53907227516174,0.021231051536294898,29.569777011871338,0.07023966152872346,1712885083.1231873,0.004795559755855999,0.0260266112921509,41
