l2_error,loss_interior,time,loss,_runtime,_step,_timestamp,loss_boundary,step
1.5159435547077218,120.3092726036797,0.9817895889282227,121.7599812787429,4.9745166301727295,0,1714546077.5008197,1.4507086750632023,0.0
1.4139427566966982,117.97423296112109,1.1858086585998535,119.27603472441172,4.98088526725769,1,1714546077.5071883,1.3018017632906203,1.0
1.2433007542517736,114.99286737884394,1.190481185913086,116.07979441423619,4.98549222946167,2,1714546077.5117953,1.0869270353922469,2.0
0.968388348401925,110.67614704854172,1.1949834823608398,111.47841022493618,4.989991188049316,3,1714546077.5162942,0.8022631763944549,3.0
0.5182505013289639,104.81154593014153,1.1993463039398193,105.27094474461626,4.994349241256714,4,1714546077.5206523,0.4593988144747211,4.0
0.5444294814785915,97.02759668444077,1.2036399841308594,97.15382284200075,4.99864387512207,5,1714546077.524947,0.1262261575599888,5.0
1.2532470687181083,86.78931725833601,1.2085790634155273,86.97492694202273,5.00360894203186,6,1714546077.529912,0.18560968368672498,6.0
1.883261851157221,73.90409530696991,1.2135729789733887,74.81224370736362,5.008608102798462,7,1714546077.5349112,0.9081484003937152,7.0
2.314148808102363,58.8005003144568,1.2184903621673584,60.82959372959013,5.013519763946533,8,1714546077.5398228,2.0290934151333353,8.0
2.6998824328920925,42.65648314063855,1.2232434749603271,45.79628115859932,5.01830267906189,9,1714546077.5446057,3.1397980179607723,9.0
3.2418694034287947,27.1935429963833,1.2280981540679932,31.58756125523678,5.023111820220947,10,1714546077.5494149,4.394018258853477,10.0
3.616896693499487,14.409272605490763,1.232764482498169,20.722475861278284,5.027788877487183,11,1714546077.554092,6.3132032557875215,11.0
3.706618569465354,8.013418531035779,1.2368531227111816,16.00949608861741,5.031881093978882,12,1714546077.5581841,7.996077557581633,12.0
4.038956697893727,9.472630554589061,1.2409915924072266,18.31906309941771,5.03765344619751,13,1714546077.5639565,8.846432544828648,13.0
3.804625874004211,15.302143183630944,1.2468912601470947,25.506548665542624,5.041933298110962,14,1714546077.5682364,10.204405481911682,14.0
3.684378762243825,17.412379912013154,1.2511091232299805,27.21291558600026,5.046135187149048,15,1714546077.5724382,9.800535673987106,15.0
