_runtime,_timestamp,step,l2_error,_step,time,loss_boundary,loss_interior,loss
5.637156009674072,1714550775.437114,0,1.5871226378797683,0,1.3694126605987549,1.4507086750632023,120.3092726036797,121.7599812787429
5.85452127456665,1714550775.6544793,1,1.604306474878459,1,1.9184927940368652,1.5091611710137276,119.75057457226542,121.25973574327915
6.062619209289551,1714550775.8625772,2,1.6745238685906316,2,2.1265666484832764,1.5030859691444363,108.05653369970055,109.55961966884499
6.272152423858643,1714550776.0721104,3,1.583464202484829,3,2.336103916168213,1.5742269473293082,101.29914639807306,102.87337334540237
6.486908435821533,1714550776.2868664,4,1.873145966825738,4,2.5508177280426025,1.3822805946272259,94.2719217107364,95.65420230536363
6.6966941356658936,1714550776.4966521,5,1.8318458081670381,5,2.760650157928467,1.9014100533954974,89.29607602832556,91.19748608172105
6.89625883102417,1714550776.6962168,6,1.7578880430764345,6,2.958995819091797,1.8193499420554897,83.55872093769698,85.37807087975247
7.1069629192352295,1714550776.906921,7,1.5436716157955563,7,3.170395851135254,1.7055714540791755,71.61970118413653,73.32527263821571
7.324159622192383,1714550777.1241176,8,1.3392756642258439,8,3.387648105621338,1.3447013406619026,57.42037284916931,58.76507418983121
7.536559104919434,1714550777.336517,9,1.156325314510338,9,3.5999956130981445,1.0253256259745136,45.20883517182331,46.23416079779783
7.750054359436035,1714550777.5500124,10,0.9135092753595893,10,3.8140158653259277,0.7722051782052428,36.5054930993553,37.27769827756054
7.96509051322937,1714550777.7650485,11,0.665563579495971,11,4.029037952423096,0.48050596085805797,21.751084505083586,22.231590465941643
8.175785541534424,1714550777.9757435,12,0.4529097496885832,12,4.239743232727051,0.2442918483509958,10.70270939078865,10.947001239139645
8.389296770095825,1714550778.1892548,13,0.32914868666177766,13,4.453229665756226,0.11009504913174831,6.803999305483827,6.9140943546155755
8.608136177062988,1714550778.4080942,14,0.216218475523617,14,4.671459674835205,0.06145386694567632,3.9041732222620795,3.965627089207756
8.820699214935303,1714550778.6206572,15,0.15382154666131914,15,4.884143829345703,0.031133789448082948,2.773004482550608,2.804138271998691
9.032260179519653,1714550778.8322182,16,0.13343059321296236,16,5.0957183837890625,0.016168493931246284,1.5189264361925015,1.5350949301237478
9.241490364074707,1714550779.0414484,17,0.148733944331962,17,5.304898977279663,0.01222369592910444,0.9453041987706625,0.957527894699767
9.4530611038208,1714550779.253019,18,0.0583539573344444,18,5.516478776931763,0.012457888235984647,0.5229793272994239,0.5354372155354085
9.663824081420898,1714550779.463782,19,0.040251120485228484,19,5.727275609970093,0.002483406652235369,0.1707181081499246,0.17320151480215998
9.876354932785034,1714550779.676313,20,0.027466727154176158,20,5.939768314361572,0.0012732575211501743,0.09713587577450963,0.09840913329565981
10.086569547653198,1714550779.8865275,21,0.042430232885024344,21,6.1500163078308105,0.0006395962846030208,0.05763316355583749,0.05827275984044051
10.296881198883057,1714550780.0968392,22,0.02416555206714019,22,6.359906196594238,0.001319066834988706,0.02267626816414876,0.023995334999137467
10.516368627548218,1714550780.3163266,23,0.013958277653881185,23,6.57981014251709,0.00046061174628087123,0.007894737247409956,0.008355348993690828
10.726207494735718,1714550780.5261655,24,0.009292827312352453,24,6.7896528244018555,0.00013878516396119019,0.003051248742111561,0.0031900339060727512
10.935165643692017,1714550780.7351236,25,0.007497254147041492,25,6.998595952987671,6.87085180407259e-05,0.0011034976601525103,0.0011722061781932363
11.145942449569702,1714550780.9459004,26,0.00533630901170607,26,7.209366083145142,4.784821641473699e-05,0.00041570134417198327,0.0004635495605867203
11.356404066085815,1714550781.156362,27,0.0044759817350417215,27,7.419873237609863,2.513980822023426e-05,0.00014753521982199173,0.000172675028042226
11.564964771270752,1714550781.3649228,28,0.0038610562180540794,28,7.628385305404663,1.5855424500303774e-05,8.08666848219048e-05,9.672210932220858e-05
11.771316528320312,1714550781.5712745,29,0.0033796430164862463,29,7.835271120071411,1.248032182024918e-05,5.3283774000105413e-05,6.57640958203546e-05
11.980509042739868,1714550781.780467,30,0.003007218678148872,30,8.04391074180603,9.76240220021921e-06,3.9029142648654636e-05,4.879154484887385e-05
12.201597690582275,1714550782.0015557,31,0.002812211687748289,31,8.265020847320557,7.920554945990713e-06,3.162918231586277e-05,3.954973726185348e-05
12.41161561012268,1714550782.2115736,32,0.0023686273195992484,32,8.47504734992981,6.89380552940268e-06,2.7737078190539423e-05,3.4630883719942105e-05
12.636522769927979,1714550782.4364808,33,0.0021529761167643447,33,8.69993257522583,4.9689795478863e-06,2.3272612114295032e-05,2.824159166218133e-05
12.84660029411316,1714550782.6465583,34,0.0019634226691551144,34,8.910467147827148,4.189714469531846e-06,2.062752583145222e-05,2.4817240300984067e-05
13.055246114730835,1714550782.855204,35,0.001655839876752084,35,9.118683576583862,3.5206771353454e-06,1.761889128972153e-05,2.1139568425066933e-05
13.265097379684448,1714550783.0650554,36,0.001427958677906934,36,9.328516960144043,2.5190736175636298e-06,1.3952650749331755e-05,1.6471724366895383e-05
13.476440668106079,1714550783.2763987,37,0.0013270749072597557,37,9.53988242149353,1.91709771072657e-06,1.1668728454935669e-05,1.3585826165662239e-05
