time,l2_error,loss_interior,loss,step,loss_boundary,_step,_runtime,_timestamp
1.5560579299926758,1.5633612828744716,120.3092726036797,121.7599812787429,0,1.4507086750632023,0,5.845347881317139,1714356382.6715949
1.9325964450836182,1.5633185991891336,120.30364536316083,121.7541800940336,1,1.4505347308727696,1,5.935812473297119,1714356382.7620595
2.001281261444092,1.5632154740122304,120.3028924091383,121.75333788411554,2,1.4504454749772426,2,6.00421929359436,1714356382.8304663
2.0655031204223633,1.5630886781336228,120.30197843099792,121.75221041320158,3,1.4502319822036671,3,6.0684545040130615,1714356382.8947015
2.1278159618377686,1.5627571412354815,120.30173747827156,121.75170990322238,4,1.44997242495081,4,6.132089614868164,1714356382.9583366
2.198547124862671,1.5560977095049822,120.30141856570522,121.75072152895504,5,1.4493029632498173,5,6.201535940170288,1714356383.027783
2.2596373558044434,1.5459673478329505,120.26517353419132,121.70130467831461,6,1.4361311441232913,6,6.262562990188599,1714356383.08881
2.323105812072754,1.5453606817197847,120.22291318530938,121.6389259620403,7,1.4160127767309172,7,6.32607889175415,1714356383.1523259
2.3837268352508545,1.5432147292956018,120.2235226870018,121.63831779225895,8,1.4147951052571461,8,6.386546611785889,1714356383.2127936
2.443312883377075,1.5422639750954394,120.22542401515818,121.63589876324667,9,1.4104747480884825,9,6.44616961479187,1714356383.2724166
2.519080638885498,1.538837992987161,120.2261328702068,121.63468638512694,10,1.4085535149201387,10,6.522050380706787,1714356383.3482974
2.580461025238037,1.5325165830499763,120.22712587520014,121.62872128753841,11,1.4015954123382708,11,6.582589387893677,1714356383.4088364
2.6407477855682373,1.5217691943387395,120.22476177392892,121.61333881981864,12,1.388577045889714,12,6.643919229507446,1714356383.4701662
2.7023210525512695,1.5150631587251588,120.15923575648432,121.52469189893937,13,1.365456142455043,13,6.705187082290649,1714356383.531434
2.7628331184387207,1.514174072168199,120.08576635841214,121.43457507396002,14,1.3488087155478814,14,6.765712738037109,1714356383.5919597
2.880962371826172,1.5130133809182995,120.07348846112603,121.41731370241925,16,1.343825241293215,15,6.884215593338013,1714356383.7104626
2.9421942234039307,1.512931180921449,120.06414786247916,121.40479492016298,17,1.340647057683819,16,6.945131301879883,1714356383.7713783
3.0043351650238037,1.5130030131541417,120.05977824080453,121.3992703074279,18,1.339492066623358,17,7.007280349731445,1714356383.8335273
3.1238205432891846,1.514962903170458,120.0219239088294,121.35729716571257,20,1.3353732568831713,18,7.126791715621948,1714356383.9530387
3.184813976287842,1.5163776004308118,120.00228398984362,121.3361578084841,21,1.3338738186404775,19,7.18755841255188,1714356384.0138054
3.302490472793579,1.5290719020713357,119.89866302312655,121.2292366577876,23,1.3305736346610553,20,7.305363893508911,1714356384.1316109
3.36324143409729,1.5333352108008262,119.69474128487445,121.02471956443551,24,1.3299782795610595,21,7.366087913513184,1714356384.192335
3.477691650390625,1.5364591536193652,119.63279426129105,120.96622535074252,26,1.3334310894514676,22,7.48051643371582,1714356384.3067634
3.595082998275757,1.5407415876877757,119.61681425499086,120.95176010621505,28,1.3349458512241958,23,7.597107172012329,1714356384.4233541
3.769484281539917,1.511916477261208,119.55164208162188,120.88529915237731,31,1.3336570707554334,24,7.772387266159058,1714356384.5986342
3.8837008476257324,1.4975804298895774,112.17741019305687,113.42568577760393,33,1.2482755845470548,25,7.886631011962891,1714356384.712878
4.002529621124268,1.4974145225880897,110.92848769335019,112.19369388589894,35,1.2652061925487483,26,8.005216598510742,1714356384.8314636
4.1697468757629395,1.4974102959487547,110.91077457861675,112.1802726844298,38,1.2694981058130468,27,8.17245888710022,1714356384.9987059
4.341447353363037,1.497430188961987,110.89672399652237,112.17006093746429,41,1.2733369409419202,28,8.344222068786621,1714356385.170469
4.523004770278931,1.497573578019708,110.87015634039075,112.15047511611479,44,1.2803187757240435,29,8.525775909423828,1714356385.352023
4.750087261199951,1.4935787770830127,110.76244690037915,112.05991019457875,48,1.2974632941996056,30,8.753160953521729,1714356385.579408
4.9257423877716064,1.4726718214843566,110.35104040973168,111.67746783700376,51,1.32642742727208,31,8.928513765335083,1714356385.7547607
5.147385597229004,1.496435522988578,109.36981687782728,110.92256945069629,55,1.5527525728690108,32,9.150426626205444,1714356385.9766736
5.37216591835022,1.5453658378505482,108.53176262462785,110.27608633095336,59,1.7443237063255224,33,9.375086784362793,1714356386.2013338
5.656044006347656,1.6032740299549837,107.76658585888772,109.70401143486993,64,1.9374255759822028,34,9.658844947814941,1714356386.485092
5.940823078155518,1.652946183882338,106.07341936811878,108.21288940699971,69,2.139470038880927,35,9.943532705307007,1714356386.7697797
6.2200117111206055,1.7023715606414471,105.17583860011312,107.41836919319253,74,2.242530593079413,36,10.223347187042236,1714356387.0495942
6.564797878265381,1.839549823139667,103.22590011245815,105.62087238782362,80,2.394972275365469,37,10.567603349685669,1714356387.3938503
6.907707691192627,2.062971671254102,97.95004524216081,100.53405499144164,86,2.5840097492808285,38,10.910600900650024,1714356387.7368479
7.305317163467407,1.4630438268496013,93.3943341695972,95.31780630336497,93,1.9234721337677794,39,11.308178663253784,1714356388.1344256
7.726954698562622,2.0963637717747776,78.05945467284198,80.34765666527026,100,2.2882019924282906,40,11.730184555053711,1714356388.5564315
8.163938760757446,3.8327450277409394,48.651103113988235,53.12784106323765,107,4.4767379492494195,41,12.174213409423828,1714356389.0004604
9.069826126098633,3.4011257612735344,21.425183892344453,25.27691983290867,115,3.851735940564217,42,13.081645250320435,1714356389.9078922
10.076303243637085,1.8891668330243976,7.941493467634571,10.672403198560799,124,2.730909730926228,43,14.083324193954468,1714356390.9095712
