loss_boundary,_runtime,_timestamp,loss,step,_step,time,loss_interior,l2_error
0.029843192091417906,5.508737564086914,1712891276.3907075,37.01738030266305,0,0,1.1132705211639404,36.98753711057163,0.9792721958510144
0.5266033015374174,5.643755197525024,1712891276.5257251,22.358262691484846,1,1,1.5633985996246338,21.83165938994743,0.43444332545138575
0.11977347858971966,5.777189016342163,1712891276.659159,21.430652918528004,2,2,1.696833610534668,21.310879439938283,0.498609412335383
0.15594697836403087,5.931513786315918,1712891276.8134837,19.560472860146966,3,3,1.851327896118164,19.404525881782934,0.5734289068137256
0.22140329667751094,6.111423969268799,1712891276.993394,17.744218260854947,4,4,2.031148910522461,17.522814964177435,0.681726283050837
0.3220629713779026,6.284230470657349,1712891277.1662004,17.76572939215282,5,5,2.204090118408203,17.443666420774917,0.7907585873499956
0.44615131121153134,6.4944374561309814,1712891277.3764074,16.043985330178735,6,6,2.4142565727233887,15.597834018967204,1.0174262049664045
0.7487000018570442,6.71278977394104,1712891277.5947597,11.780799807440857,7,7,2.6326241493225098,11.032099805583814,1.0086558427133876
0.6448614718903136,6.958041191101074,1712891277.8400111,8.899251333414313,8,8,2.8778560161590576,8.254389861523999,0.7229725569553863
0.33988609827850574,7.239990711212158,1712891278.1219606,8.215127648919662,9,9,3.1584956645965576,7.875241550641156,0.8296205754907016
0.3693471098122309,7.575795650482178,1712891278.4577656,7.302753062149729,10,10,3.495649576187134,6.933405952337498,0.5041804161841529
0.15722873347998348,7.950286865234375,1712891278.8322568,4.495905870694311,11,11,3.8701272010803223,4.338677137214328,0.39419612790744113
0.11654769882378513,8.455902338027954,1712891279.3378723,3.9621062194096566,12,12,4.375744581222534,3.8455585205858713,0.46127842681891323
0.14697823517588338,8.872095108032227,1712891279.754065,3.369648696551997,13,13,4.791924953460693,3.2226704613761137,0.40715382441376136
0.12287816800583873,9.319222688674927,1712891280.2011926,2.9723951264860826,14,14,5.239063739776611,2.849516958480244,0.3308570303619882
0.07617601737863504,10.400015115737915,1712891281.281985,2.0757569352347476,16,15,6.319847822189331,1.9995809178561126,0.30098508453694556
0.0762979287799442,10.889074087142944,1712891281.771044,1.5984555709892583,17,16,6.808892488479614,1.5221576422093142,0.24476331194065165
0.056269560524074495,11.608939170837402,1712891282.490909,1.4144888067456163,18,17,7.528666019439697,1.3582192462215419,0.2733790005265824
0.07859970939579972,13.044819593429565,1712891283.9267895,0.9542948990993175,20,18,8.964648485183716,0.8756951897035178,0.32353705531560006
0.07471011917500728,14.309996843338013,1712891285.1919668,0.8606594869958232,21,19,10.22980785369873,0.7859493678208159,0.4327135253653817
0.1255678049774081,15.482438087463379,1712891286.364408,0.7550035710550971,23,20,11.402150392532349,0.629435766077689,0.3454997529805054
0.08848512248461425,16.74779200553894,1712891287.629762,0.658498097859344,24,21,12.66752004623413,0.5700129753747297,0.35123311373753385
0.10034803629813153,18.23840308189392,1712891289.120373,0.41707246883726934,26,22,14.158217191696167,0.3167244325391378,0.34259141248274944
0.09057722082656874,20.77857232093811,1712891291.6605422,0.3359928959864993,28,23,16.698357582092285,0.2454156751599305,0.32731739470524246
0.060729621348372925,24.003562688827515,1712891294.8855326,0.2191647703870046,31,24,19.92306423187256,0.15843514903863168,0.2523672519737291
0.0460386541067269,25.937336921691895,1712891296.8193069,0.17895916995324157,33,25,21.857054233551025,0.13292051584651468,0.22016767914250351
0.03953985564717424,28.458937644958496,1712891299.3409076,0.1254603379118191,35,26,24.378666877746582,0.08592048226464487,0.20482694264778306
0.03426715427594876,32.32111072540283,1712891303.2030807,0.10072854719120489,38,27,28.240932941436768,0.06646139291525613,0.19378550638988484
0.02599232805669851,35.78347682952881,1712891306.6654468,0.06874503479525365,41,28,31.703293085098267,0.04275270673855514,0.17456282740784435
0.02031978539769476,38.74904251098633,1712891309.6310124,0.037964268482917125,44,29,34.66884732246399,0.017644483085222366,0.15411001949327885
0.01730598365021475,41.86277651786804,1712891312.7447464,0.032236893696838756,48,30,37.782613039016724,0.014930910046624002,0.14240061159647663
0.015422451728663748,44.06999063491821,1712891314.9519606,0.02885409605201067,51,31,39.98976469039917,0.01343164432334692,0.13467591917401767
0.012896502332749539,48.48666310310364,1712891319.368633,0.024726433497305064,55,32,44.406245470047,0.011829931164555527,0.12134473712948152
0.011214075833642449,52.735974073410034,1712891323.617944,0.02087180907258184,59,33,48.65569519996643,0.00965773323893939,0.10820709682326116
0.009828982347428216,58.4033887386322,1712891329.2853587,0.0180390590410131,64,34,54.32321333885193,0.008210076693584884,0.09594109328062234
0.008677725135766824,62.38409090042114,1712891333.2660608,0.01601463817694465,69,35,58.30387592315674,0.007336913041177829,0.09062106752816097
0.008139932658156122,67.0231249332428,1712891337.9050949,0.01487044204294543,74,36,62.94289255142212,0.006730509384789307,0.08942918714887782
0.0074213286743309,74.8195731639862,1712891345.701543,0.012423139315070317,80,37,70.73900604248047,0.005001810640739417,0.083810332544156
0.006796852832029938,82.54914927482605,1712891353.4311192,0.011273950996323525,86,38,78.46859121322632,0.004477098164293588,0.08342701156719594
0.005875353043591952,90.77966833114624,1712891361.6616383,0.009880485094032863,93,39,86.69914364814758,0.00400513205044091,0.0780092782426357
0.0041521297792129165,99.73782920837402,1712891370.6197991,0.0078065377043711175,100,40,95.65724658966064,0.003654407925158201,0.06747521553044387
0.003237983248986886,107.97146797180176,1712891378.853438,0.006455209924312647,107,41,103.89087915420532,0.0032172266753257616,0.06413065893434056
