_runtime,time,step,loss_interior,_step,l2_error,_timestamp,loss_boundary,loss
4.9925477504730225,1.040222406387329,0,120.3092726036797,0,2.1193284132550616,1714547119.4334297,1.4507086750632023,121.7599812787429
5.100738763809204,1.348677158355713,1,67.25149458104292,1,5.06064299247695,1714547119.5416207,3.1183853827471504,70.36987996379007
5.256009340286255,1.5039722919464111,2,9.637892424166127,2,2.7939981457341503,1714547119.6968913,16.46878346189968,26.10667588606581
5.4262635707855225,1.6741466522216797,3,4.958277062313557,3,0.4089778512152131,1714547119.8671455,5.364844802756242,10.323121865069798
5.6673407554626465,1.9152913093566895,4,1.7934233238275756,4,0.3330215652843346,1714547120.1082227,0.12384343891534727,1.917266762742923
5.9134581089019775,2.1613683700561523,5,0.5231666871942193,5,0.3179240288920037,1714547120.35434,0.0901021288614809,0.6132688160557003
6.193882465362549,2.441845417022705,6,0.2542199983949594,6,0.25570767921094706,1714547120.6347644,0.08691720957026541,0.34113720796522484
6.537654638290405,2.785581588745117,7,0.1365746349869934,7,0.20501110922556434,1714547120.9785366,0.058761737639799486,0.19533637262679288
6.902157783508301,3.1500680446624756,8,0.07759518751106222,8,0.1545320925875576,1714547121.3430398,0.0381307750592884,0.11572596257035062
7.337456703186035,3.585364818572998,9,0.05211847081514447,9,0.10691367747369933,1714547121.7783387,0.022151123394041475,0.07426959420918594
7.81169319152832,4.0595924854278564,10,0.036645363274290514,10,0.08965008838571678,1714547122.2525752,0.011772861247202894,0.04841822452149341
8.325679540634155,4.573599576950073,11,0.02670585779717728,11,0.07955472005674577,1714547122.7665615,0.008597854214445186,0.03530371201162247
8.846672296524048,5.0932862758636475,12,0.0169261302868889,12,0.06766899757394965,1714547123.2875543,0.006504132688769877,0.023430262975658776
9.34376835823059,5.591738939285278,13,0.011893598181970267,13,0.05777701193303962,1714547123.7846503,0.004879154172971255,0.016772752354941523
9.889042377471924,6.136971950531006,14,0.009834852422460181,14,0.05103659141346238,1714547124.3299243,0.003595248187063221,0.013430100609523403
10.396326303482056,6.644275188446045,15,0.008387896707426023,15,0.0457951027541478,1714547124.8372083,0.0027151988042560856,0.011103095511682108
10.931833267211914,7.179762125015259,16,0.007202722323812735,16,0.04225550907567978,1714547125.3727152,0.002126470650874331,0.009329192974687067
11.477545261383057,7.725387334823608,17,0.006376324022086306,17,0.04058902088682468,1714547125.9184272,0.0017319845300000762,0.008108308552086382
12.007725954055786,8.255625247955322,18,0.0055955460445081895,18,0.03718926654863849,1714547126.448608,0.0014976806957552205,0.00709322674026341
12.543051958084106,8.790935754776001,19,0.005219831561562055,19,0.0328164397995383,1714547126.983934,0.0012873551670862212,0.006507186728648276
13.048530101776123,9.296473979949951,20,0.005002101777087525,20,0.02961196251372111,1714547127.489412,0.0010163129345960873,0.006018414711683612
13.580522775650024,9.828467845916748,21,0.004689681485324097,21,0.026470188249568233,1714547128.0214047,0.0008238214835339961,0.0055135029688580936
14.123596429824829,10.371505975723267,22,0.004436769815469037,22,0.023312338081482534,1714547128.5644784,0.000659432986191296,0.005096202801660333
14.646781206130981,10.89468502998352,23,0.004273627988473281,23,0.02162398604112337,1714547129.0876632,0.0005063828275408771,0.0047800108160141585
15.143193483352661,11.391107082366943,24,0.0041165233556618875,24,0.02128142718902205,1714547129.5840755,0.0004361497501483239,0.004552673105810211
15.672658205032349,11.920522212982178,25,0.003960610469217775,25,0.021450340883028447,1714547130.1135402,0.00042223404498253713,0.004382844514200312
16.16867971420288,12.416632175445557,26,0.0037687359181168005,26,0.021057570567117184,1714547130.6095617,0.0004188140563921269,0.004187549974508927
16.699864387512207,12.947763204574585,27,0.0036655441424977113,27,0.02131131266337888,1714547131.1407464,0.00039249980007902705,0.004058043942576738
17.21146297454834,13.459326982498169,28,0.0035384307878271472,28,0.02175163122151224,1714547131.652345,0.00039138835505112815,0.003929819142878275
17.74546718597412,13.993414163589478,29,0.003409212291734589,29,0.0212697532024149,1714547132.1863492,0.0004027054531090878,0.003811917744843677
18.26537537574768,14.51328730583191,30,0.0033464241450552284,30,0.020123544010795812,1714547132.7062573,0.0003855232032644665,0.003731947348319695
18.76326823234558,15.011217832565308,31,0.0032895303716432545,31,0.01946375431976961,1714547133.2041502,0.00036457436473026573,0.0036541047363735204
19.270997047424316,15.5189049243927,32,0.0032223706883591674,32,0.018940036323479903,1714547133.711879,0.0003631001970508597,0.0035854708854100273
19.77898645401001,16.0266854763031,33,0.003148877354334085,33,0.018257542433947595,1714547134.2198684,0.0003521158885207727,0.0035009932428548577
20.278823375701904,16.526735544204712,34,0.0031015761745809187,34,0.01737128645883486,1714547134.7197053,0.0003325528766026117,0.0034341290511835302
20.77608299255371,17.023994207382202,35,0.0030593183244838943,35,0.016966983566997156,1714547135.216965,0.00029965997969521306,0.0033589783041791076
21.2764151096344,17.524207830429077,36,0.0030085536389688598,36,0.016207484668179922,1714547135.717297,0.000279405465326016,0.0032879591042948757
21.783188343048096,18.03110361099243,37,0.0029902371094788502,37,0.01527830731253236,1714547136.2240703,0.00025958610650603665,0.003249823215984887
22.29064965248108,18.538575649261475,38,0.0029556759703706637,38,0.014950689514081284,1714547136.7315316,0.00023590462468706742,0.0031915805950577312
22.820210933685303,19.068130493164062,39,0.0029261797574206753,39,0.014364224857757697,1714547137.261093,0.00022166552900079866,0.003147845286421474
23.321626663208008,19.56950092315674,40,0.00289904648972445,40,0.01295261249509461,1714547137.7625086,0.00019290575951368233,0.003091952249238132
