_runtime,_timestamp,loss_boundary,loss,l2_error,loss_interior,step,time,_step
5.960318326950073,1711638193.0335462,0.029843192091417906,36.31786462091587,0.2658447894202952,36.28802142882445,0,1.3949055671691895,0
6.225068807601929,1711638193.2982967,0.043018213916022716,29.617774312107766,0.28444046205282103,29.57475609819174,1,1.6598122119903564,1
6.444307565689087,1711638193.5175354,0.0494983214937689,28.86711399633276,0.28303904102167565,28.81761567483899,2,1.878936767578125,2
6.652133464813232,1711638193.7253613,0.049845344456411964,28.44816186981498,0.2578157394848932,28.39831652535857,3,2.086707592010498,3
6.899418830871582,1711638193.9726467,0.0309501315819128,27.10987604183483,0.23561581329480108,27.078925910252917,4,2.333933115005493,4
7.148222923278809,1711638194.2214508,0.029700408256845636,26.462029540293035,1.603073110434871,26.432329132036188,5,2.582659959793091,5
7.385347127914429,1711638194.458575,1.3511868677869858,18.48919327297272,1.9363252827917308,17.138006405185735,6,2.8198437690734863,6
7.603085517883301,1711638194.6763134,1.9432562996806448,17.23152400797488,1.911091166107665,15.288267708294233,7,3.0372443199157715,7
7.803785562515259,1711638194.8770134,1.9025922572612326,14.598296572757475,2.1026176537889065,12.695704315496242,8,3.2368974685668945,8
8.010482788085938,1711638195.0837107,2.2622517871260035,12.50278630011373,1.6053865268324674,10.240534512987727,9,3.444567918777466,9
8.219658851623535,1711638195.2928867,1.3645494269564116,9.523825006077201,0.9872672176264817,8.15927557912079,10,3.6541695594787598,10
8.441712856292725,1711638195.5149407,0.5131355800436668,5.377340502148252,1.1613813128225383,4.8642049221045855,11,3.876237392425537,11
8.662790775299072,1711638195.7360187,0.689756602977104,4.641499732727824,1.041580018561026,3.9517431297507195,12,4.097372055053711,12
8.882481098175049,1711638195.955709,0.5589890983984733,3.817581637137044,0.6286560248227919,3.258592538738571,13,4.3170459270477295,13
9.101808786392212,1711638196.1750367,0.21550801394613886,2.956501237302499,0.4110609672260055,2.74099322335636,14,4.5363264083862305,14
9.31878662109375,1711638196.3920145,0.10787888466363667,2.185920209754791,0.4508659636621969,2.0780413250911547,15,4.75335168838501,15
9.540465116500854,1711638196.613693,0.12123667980189524,1.9906177776863856,0.4999843344704242,1.8693810978844903,16,4.97502589225769,16
9.75929307937622,1711638196.832521,0.14383812665443815,1.6766693095412408,0.48669292208727166,1.5328311828868026,17,5.193737506866455,17
9.977640867233276,1711638197.0508687,0.1379640612669937,1.441083514551621,0.4395097139674902,1.3031194532846273,18,5.412274599075317,18
10.199256658554077,1711638197.2724845,0.11491124117513979,1.074813821796015,0.23363547693930647,0.9599025806208753,19,5.6338090896606445,19
10.417845964431763,1711638197.4910738,0.04442488736342559,0.5263063671885876,0.3961748683974332,0.481881479825162,20,5.852362155914307,20
10.639208555221558,1711638197.7124364,0.1053725003222254,0.3308311914685655,0.3338369163074078,0.2254586911463401,21,6.0737175941467285,21
10.861312866210938,1711638197.9345407,0.07759778569072755,0.26014812439734397,0.22527898941789323,0.18255033870661644,22,6.295466899871826,22
11.303891658782959,1711638198.3771195,0.027962184418411293,0.1487598020301333,0.1375762127587544,0.12079761761172202,24,6.738423109054565,23
11.523637056350708,1711638198.596865,0.01713458617364925,0.1270692386603524,0.13288429964257722,0.10993465248670316,25,6.958112716674805,24
11.746169090270996,1711638198.819397,0.01576797645614983,0.11389307321580734,0.12592016924545138,0.09812509675965751,26,7.180684804916382,25
12.191461324691772,1711638199.2646892,0.011910913131680136,0.08980573325833487,0.11288428333980742,0.07789482012665473,28,7.625971555709839,26
12.417266368865967,1711638199.4904943,0.010606828848155853,0.07870421433967438,0.11055288488907218,0.06809738549151853,29,7.851840972900391,27
12.867757797241211,1711638199.9409857,0.008659026722758232,0.06351022991961809,0.10197064772376,0.054851203196859856,31,8.301676988601685,28
13.092572212219238,1711638200.1658,0.007624483941870219,0.056958769689761005,0.10031927473087025,0.04933428574789079,32,8.526538372039795,29
13.55031418800354,1711638200.623542,0.006952353990449058,0.04838265665035526,0.09764855525219181,0.0414303026599062,34,8.984222173690796,30
14.004470109939575,1711638201.077698,0.006708985857844573,0.045269190326901645,0.09621088471673958,0.03856020446905707,36,9.438992261886597,31
14.470460414886475,1711638201.5436883,0.006590122938520582,0.04344003913969958,0.09424043651734132,0.036849916201178994,38,9.904411315917969,32
14.942026138305664,1711638202.015254,0.00653527500150247,0.04196904146585992,0.09331676280875223,0.03543376646435745,40,10.375906705856323,33
15.409103870391846,1711638202.4823318,0.0065569097379569894,0.039424522870902604,0.0922030833180193,0.03286761313294562,42,10.843623161315918,34
15.875680923461914,1711638202.9489088,0.006468278215505475,0.03654216957835161,0.09117987313483805,0.030073891362846134,44,11.310124635696411,35
16.59124231338501,1711638203.6644702,0.006161117665742284,0.03423639934851802,0.08872246644291334,0.02807528168277574,47,12.02569842338562,36
17.10876774787903,1711638204.1819956,0.00582571191318322,0.032290038332942445,0.08597793570390966,0.026464326419759227,49,12.542677879333496,37
17.779217958450317,1711638204.8524458,0.0053315713897318685,0.03027997374335036,0.08126747887753387,0.02494840235361849,52,13.213695049285889,38
18.27886390686035,1711638205.3520918,0.004916891395529228,0.028254155059607676,0.07736401652219596,0.02333726366407845,54,13.713343858718872,39
18.91060161590576,1711638205.9838295,0.004323552158223329,0.025606076343818597,0.07039943749415581,0.02128252418559527,57,14.345195055007935,40
19.54085111618042,1711638206.614079,0.003548010111493886,0.022047498007005013,0.06643839474224465,0.018499487895511126,60,14.975400686264038,41
20.421428680419922,1711638207.4946566,0.00313610124238942,0.018376442982008155,0.0638733644726835,0.015240341739618737,64,15.855542182922363,42
